ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
808,Maharashtra,1962,181,1,ACHALPUR,GEN,AMASAHEB SADASHIVRAO WATENE,M,,,IND,30184
809,Maharashtra,1962,181,2,ACHALPUR,GEN,KRISHNARAO GULABRAO DESHMUKH,M,,,INC,28056
810,Maharashtra,1962,181,3,ACHALPUR,GEN,DEVIDAS TUKARAM WANJORI,M,,,IND,913
811,Maharashtra,1962,181,4,ACHALPUR,GEN,BHIMRAO JURKUSHRAO AGHAM,M,,,IND,591
1679,Maharashtra,1967,111,1,ACHALPUR,GEN,DESHMUKH NARSINGRAO SHESHRAO,M,,,INC,31002
1680,Maharashtra,1967,111,2,ACHALPUR,GEN,DESHMUKH SUDAM WAMAN DATTATRAYA,M,,,CPI,20135
1681,Maharashtra,1967,111,3,ACHALPUR,GEN,M.B. PATIL,M,,,IND,8022
1682,Maharashtra,1967,111,4,ACHALPUR,GEN,K.B. HAWARE,M,,,BJS,3075
1683,Maharashtra,1967,111,5,ACHALPUR,GEN,H.G. BOBADE,M,,,IND,829
1684,Maharashtra,1967,111,6,ACHALPUR,GEN,S.G. GULDEOKAR,M,,,IND,507
2877,Maharashtra,1972,111,1,ACHALPUR,GEN,DESHMUKH NARSINGRAO SHESHRAO,M,,,INC,48971
2878,Maharashtra,1972,111,2,ACHALPUR,GEN,KISAN BAJIRAO WANKHADE,M,,,RPI,12266
2879,Maharashtra,1972,111,3,ACHALPUR,GEN,HAWARE KASHINATH BALIRAM,M,,,BJS,3151
4308,Maharashtra,1978,120,1,ACHALPUR,GEN,BHOKARE WAMAN RAJIRAO,M,,,IND,24178
4309,Maharashtra,1978,120,2,ACHALPUR,GEN,DESHMUKH SUDAM WAMAN DATTATRAYA,M,,,CPI,23446
4310,Maharashtra,1978,120,3,ACHALPUR,GEN,DESHMUKH NARSINGRAO SHESHRAO,M,,,INC,10560
4311,Maharashtra,1978,120,4,ACHALPUR,GEN,VINAYAKRAO KORDE,M,33,GEN,IND,9346
4312,Maharashtra,1978,120,5,ACHALPUR,GEN,WATANE GANGADHAR SADASHIV,M,,,JNP,8535
4313,Maharashtra,1978,120,6,ACHALPUR,GEN,WANKHEDE KISAN BAJIRAO,M,,,IND,1795
4314,Maharashtra,1978,120,7,ACHALPUR,GEN,INGALE BHAGWANTRAO RAMRAO,M,,,IND,1608
4315,Maharashtra,1978,120,8,ACHALPUR,GEN,UPADHYA KAMALKISHOR KACHRULAL,M,,,IND,389
4316,Maharashtra,1978,120,9,ACHALPUR,GEN,SISAT PRABHAKAR AMRUT,M,,,IND,215
4317,Maharashtra,1978,120,10,ACHALPUR,GEN,SHRIWAS SHAMBHUDAYAL BABULAL,M,,,IND,212
6074,Maharashtra,1980,120,1,ACHALPUR,GEN,DESHMUKH SUDAM WAMAN DATTATRAYA,M,,,CPI,47989
6075,Maharashtra,1980,120,2,ACHALPUR,GEN,BHOKARE WAMAN BAJIRAO,M,,,INC,13359
6076,Maharashtra,1980,120,3,ACHALPUR,GEN,THAKARE BHIMRAO BAKARAMJI,M,,,INC(U),1663
6077,Maharashtra,1980,120,4,ACHALPUR,GEN,ARVIND RAMBHAUSA BAHEKAR,M,,,IND,291
6078,Maharashtra,1980,120,5,ACHALPUR,GEN,A. SUJAULLAKHAN MAHERULLAKHAN,M,,,IND,151
7949,Maharashtra,1985,120,1,ACHALPUR,GEN,DESHMUKH SUDAM WAMAN DATTATRAYA,M,,,IND,38211
7950,Maharashtra,1985,120,2,ACHALPUR,GEN,DESHMUKH SUNIL PANJABRAO,M,,,INC,20123
7951,Maharashtra,1985,120,3,ACHALPUR,GEN,MOHAMAD JAHIRULHASAN MO. LATIFODDIN,M,,,IND,10874
7952,Maharashtra,1985,120,4,ACHALPUR,GEN,TANTARPALE PANJAB UTTAMRAO,M,,,IND,4673
7953,Maharashtra,1985,120,5,ACHALPUR,GEN,WANKHADE KISANRAO BAJIRAO,M,,,RPI,1607
7954,Maharashtra,1985,120,6,ACHALPUR,GEN,NIYAZ AHAMADKHAN NIYAMATKHAN,M,,,IND,988
7955,Maharashtra,1985,120,7,ACHALPUR,GEN,CHANDURKAR GANGASAGAR SHALIGRAM,M,,,IND,243
7956,Maharashtra,1985,120,8,ACHALPUR,GEN,MALU NARAYANDAS HEMRAJ,M,,,ICS,225
7957,Maharashtra,1985,120,9,ACHALPUR,GEN,PANDEY GANESHPRASAD AJAGARPRASAD,M,,,IND,118
7958,Maharashtra,1985,120,10,ACHALPUR,GEN,HIRULKAR NARHARI NARAYANRAO,M,,,IND,85
10538,Maharashtra,1990,120,1,ACHALPUR,GEN,VINAYAKRAO KORDE,M,55,GEN,BJP,37287
10539,Maharashtra,1990,120,2,ACHALPUR,GEN,BABANRAO ALIAS DATTARAYA MAGORAO METKAR,M,,,INC,18476
10540,Maharashtra,1990,120,3,ACHALPUR,GEN,M. JAHIRUL HASAN (JAHIR BHAI),M,,,IND,15684
10541,Maharashtra,1990,120,4,ACHALPUR,GEN,IJAJODDIN ALIAS BABUBHAI MOHIMOODIN,M,,,IND,7225
10542,Maharashtra,1990,120,5,ACHALPUR,GEN,ADMANE NANASAHEB LAXMAN,M,,,CPI,6038
10543,Maharashtra,1990,120,6,ACHALPUR,GEN,CHAUDHARI ARUN VISHWANATHRAO,M,,,IND,5117
10544,Maharashtra,1990,120,7,ACHALPUR,GEN,ASHOK INGALE VIDROHI,M,,,IND,1147
10545,Maharashtra,1990,120,8,ACHALPUR,GEN,SIRSAT DNYANESHWAR SOMAJI,M,,,IND,799
10546,Maharashtra,1990,120,9,ACHALPUR,GEN,SK. IMAM SK. LUKMAN,M,,,BSP,744
10547,Maharashtra,1990,120,10,ACHALPUR,GEN,MALU NARAYAN HEMRAJ,M,,,IND,732
10548,Maharashtra,1990,120,11,ACHALPUR,GEN,SHASHIBHAU OHALE,M,,,IND,722
10549,Maharashtra,1990,120,12,ACHALPUR,GEN,PRAVINCHANDRA TRIBHUVANDAS SANGHAVI,M,,,IND,322
10550,Maharashtra,1990,120,13,ACHALPUR,GEN,ASHOK RAMCHANDRA RATHOD,M,,,IND,302
10551,Maharashtra,1990,120,14,ACHALPUR,GEN,SHEIKH BABU RASHID SHEIKH ABADULLA,M,,,DMM,253
10552,Maharashtra,1990,120,15,ACHALPUR,GEN,NANDKISHORE KESHAO VISHROLIKAR (JOSHI),M,,,IND,245
10553,Maharashtra,1990,120,16,ACHALPUR,GEN,S. G. BHUMBER,M,,,IND,187
10554,Maharashtra,1990,120,17,ACHALPUR,GEN,M. SUJAULLAHKHAN M. MAHERULLA-KHAN,M,,,HJP,164
10555,Maharashtra,1990,120,18,ACHALPUR,GEN,LADOLE SHARD GANPATRAO,M,,,IND,145
10556,Maharashtra,1990,120,19,ACHALPUR,GEN,CHAUDHARI VIJAY MADHUKAR,M,,,IND,110
