ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
23250,Maharashtra,2009,69,1,AHERI,ST,ATRAM DEEPAKDADA,M,38,ST,IND,61894
23251,Maharashtra,2009,69,2,AHERI,ST,ATRAM DHARMARAOBABA,M,56,ST,NCP,36697
23252,Maharashtra,2009,69,3,AHERI,ST,MADAVI SANTOSH GATTU,M,25,ST,IND,8036
23253,Maharashtra,2009,69,4,AHERI,ST,BAJIRAO MITUJI KUMARE,M,61,ST,BJP,7583
23254,Maharashtra,2009,69,5,AHERI,ST,ATRAM SANTOSH MALLAJI,M,28,ST,BSP,3884
23255,Maharashtra,2009,69,6,AHERI,ST,TALANDI BAPU BONDA,M,47,ST,IND,3295
23256,Maharashtra,2009,69,7,AHERI,ST,GAWADE VENKATI PENTA,M,29,ST,IND,3047
23257,Maharashtra,2009,69,8,AHERI,ST,ATRAM PRAMOD RAMA,M,33,ST,GGP,2836
23258,Maharashtra,2014,69,1,AHERI,ST,AMBRISHRAO RAJE SATYAVANRAO ATRAM,M,28,ST,BJP,56418
23259,Maharashtra,2014,69,2,AHERI,ST,ATRAM DHARMARAOBABA,M,60,ST,NCP,36560
23260,Maharashtra,2014,69,3,AHERI,ST,ATRAM DEEPAKDADA,M,43,ST,IND,33555
23261,Maharashtra,2014,69,4,AHERI,ST,None of the Above,,,,NOTA,7349
23262,Maharashtra,2014,69,5,AHERI,ST,MUKTESHWAR LACHAMA GAWDE,M,67,ST,INC,4253
23263,Maharashtra,2014,69,6,AHERI,ST,RAGHUNATH GAJANAN TALANDE,M,44,ST,BSP,3737
23264,Maharashtra,2014,69,7,AHERI,ST,KAILASH GANPAT KORET,M,25,ST,IND,3113
23265,Maharashtra,2014,69,8,AHERI,ST,MADAVI DINESH ISHWARSHAHA,M,28,ST,IND,2706
23266,Maharashtra,2014,69,9,AHERI,ST,ATRAM SANTOSH MALLAJI,M,33,ST,IND,2031
23267,Maharashtra,2014,69,10,AHERI,ST,RAMSHAHA MADAVI,M,52,ST,SHS,1524
