ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
3338,Maharashtra,1972,200,1,AKKALKOT,GEN,MANE BABURAO TULSIRAM,M,,,INC,41268
3339,Maharashtra,1972,200,2,AKKALKOT,GEN,MULLA RAJEBHAI DADESAHEB,M,,,RPI,17342
3340,Maharashtra,1972,200,3,AKKALKOT,GEN,GOKHALE KESHAV DAMODHAR,M,,,IND,672
4975,Maharashtra,1978,214,1,AKKALKOT,GEN,PATEL INAYATALLI IMAMSAHEB,M,,,JNP,35305
4976,Maharashtra,1978,214,2,AKKALKOT,GEN,MANE BABURAO TULSHIRAM,M,,,INC,19692
4977,Maharashtra,1978,214,3,AKKALKOT,GEN,KESUR SHIVNINGAPPA CHANDRAMAPPA,M,,,INC,10740
4978,Maharashtra,1978,214,4,AKKALKOT,GEN,KULKARNI VYANKTESH NARSINH,M,,,IND,641
6587,Maharashtra,1980,214,1,AKKALKOT,GEN,MALGONDA PAWARTI GURNINGAPPA,F,,,INC,24480
6588,Maharashtra,1980,214,2,AKKALKOT,GEN,TANWADE BABASAHEB SHARANAPPA,M,,,BJP,19677
6589,Maharashtra,1980,214,3,AKKALKOT,GEN,PATEL INAYATALLI IMAMSAHEB,M,,,JNP,17979
6590,Maharashtra,1980,214,4,AKKALKOT,GEN,DESHPANDE MADHAVRAO RAGHUNATHRAO,M,,,IND,582
8728,Maharashtra,1985,214,1,AKKALKOT,GEN,PATIL MAHADEO KASHIRAYA,M,,,INC,41817
8729,Maharashtra,1985,214,2,AKKALKOT,GEN,KHEDAGI CHANDABASAPPA BASLINGAPPA,M,,,BJP,23585
8730,Maharashtra,1985,214,3,AKKALKOT,GEN,MADIKHAMBE SHARANAPP ADAPPA,M,,,IND,1371
8731,Maharashtra,1985,214,4,AKKALKOT,GEN,MULLA RAJE AHAMED DAUDSAHEB,M,,,IND,750
8732,Maharashtra,1985,214,5,AKKALKOT,GEN,WMSAINATH REVANSI DHAPPA SHAHAPURE,M,,,IND,102
12218,Maharashtra,1990,214,1,AKKALKOT,GEN,PATIL MAHADEO KASHIRAYA,M,,,INC,43045
12219,Maharashtra,1990,214,2,AKKALKOT,GEN,TANAWADE BABASAHEB SHARANAPPA,M,,,BJP,41213
12220,Maharashtra,1990,214,3,AKKALKOT,GEN,PATIL PARMOSHWAR YASHWANTARO,M,,,JD,3574
12221,Maharashtra,1990,214,4,AKKALKOT,GEN,ATNURE MALLIKARJUN DHULAPPA,M,,,IND,498
12222,Maharashtra,1990,214,5,AKKALKOT,GEN,KHALIFA HARUNRASHID DAUDSO,M,,,IND,188
12223,Maharashtra,1990,214,6,AKKALKOT,GEN,PATOLE VISHNU ANYABA,M,,,IND,70
12224,Maharashtra,1990,214,6,AKKALKOT,GEN,VALASANGKAR A. HAMID MASHAKSO,M,,,IND,70
12225,Maharashtra,1990,214,8,AKKALKOT,GEN,SAKHARE DATTARAYA SIDRAM,M,,,IND,69
12226,Maharashtra,1990,214,9,AKKALKOT,GEN,MADIKHAMBE SHARANAPPA ADAPPA,M,,,IND,66
12227,Maharashtra,1990,214,10,AKKALKOT,GEN,MAULAVI IBRAHIM NURAHMAD,M,,,IND,52
12228,Maharashtra,1990,214,11,AKKALKOT,GEN,BHARAMSHETTI HANMANT MAHADAPPA,M,,,IND,51
12229,Maharashtra,1990,214,12,AKKALKOT,GEN,HARWALKAR GURUPADAPPA CHANDRAMAPPA,M,,,IND,22
12230,Maharashtra,1990,214,13,AKKALKOT,GEN,BAGWAN MAHIBUB IMAM (VAKIL),M,,,IND,21
16712,Maharashtra,1995,214,1,AKKALKOT,GEN,TANAWADE BABASAHEB SHARANNAPPA,M,,,BJP,35442
16713,Maharashtra,1995,214,2,AKKALKOT,GEN,TINWALA M. SHAFI GULABSAHEB,M,,,INC,30802
16714,Maharashtra,1995,214,3,AKKALKOT,GEN,PATIL SIDRAMAPPA MALAKAPPA,M,,,IND,19937
16715,Maharashtra,1995,214,4,AKKALKOT,GEN,INAGALE CHANDRAKANT KONDIBA,M,,,IND,13667
16716,Maharashtra,1995,214,5,AKKALKOT,GEN,KHALIFA HARUN RASHID DAWOOD,M,,,IND,791
16717,Maharashtra,1995,214,6,AKKALKOT,GEN,RATHOD PANDURANG HIRACHAND,M,,,BBMS,593
16718,Maharashtra,1995,214,7,AKKALKOT,GEN,HARAWALKAR GURPADAPPA CHANDRAMAPPA,M,,,IND,538
16719,Maharashtra,1995,214,8,AKKALKOT,GEN,SWAMI CHANDRAKANT SIDRAMAYYA,M,,,IND,279
16720,Maharashtra,1995,214,9,AKKALKOT,GEN,KOKARE LAXMAN MAHADEO,M,,,IND,252
16721,Maharashtra,1995,214,10,AKKALKOT,GEN,PATEL MALIL M. ALI,M,,,IND,241
16722,Maharashtra,1995,214,11,AKKALKOT,GEN,MALI DAREPPA DHULLAPPA,M,,,BSP,185
16723,Maharashtra,1995,214,12,AKKALKOT,GEN,PAWAR GANAPATI SOMLU,M,,,IND,143
16724,Maharashtra,1995,214,13,AKKALKOT,GEN,BALKOTE BALBHIM DHONDIBA,M,,,IND,114
16725,Maharashtra,1995,214,14,AKKALKOT,GEN,KULKARNI VYANKATESH NARSINH,M,,,IND,98
16726,Maharashtra,1995,214,15,AKKALKOT,GEN,PATIL BASVANTRAO AMRUTRAO,M,,,IND,91
19234,Maharashtra,1999,214,1,AKKALKOT,GEN,SIDDHARAM SATLINGAPPA MHETRE,M,38,GEN,INC,40917
19235,Maharashtra,1999,214,2,AKKALKOT,GEN,PATIL SURESH SHAMRAO,M,,,BJP,35118
19236,Maharashtra,1999,214,3,AKKALKOT,GEN,TINWALA M. SHAFI GULABSAHEB,M,,,NCP,17703
21803,Maharashtra,2004,214,8,AKKALKOT,GEN,MULKA BABULAL MUJAWAR,M,46,GEN,IND,428
21804,Maharashtra,2004,214,4,AKKALKOT,GEN,BHALERAO MADHU SHAM,M,39,GEN,BSP,1671
21805,Maharashtra,2004,214,7,AKKALKOT,GEN,GAYAGAWALI SHARANAPPA,M,35,GEN,IND,656
21806,Maharashtra,2004,214,6,AKKALKOT,GEN,PEERZADE PATIL WAHIDPASHA,M,71,GEN,IND,1114
21807,Maharashtra,2004,214,3,AKKALKOT,GEN,MINAKSHITAI SURESH PATIL,F,38,GEN,JSS,1798
