ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
22360,Maharashtra,2009,1,1,AKKALKUWA,ST,PADVI ADV K. C.,M,49,ST,INC,52273
22361,Maharashtra,2009,1,2,AKKALKUWA,ST,PARADAKE VIJAYSING RUPSING,M,39,ST,IND,49714
22362,Maharashtra,2009,1,3,AKKALKUWA,ST,PADAVI NARENDRASING  BHAGATSING,M,50,ST,IND,25238
22363,Maharashtra,2009,1,4,AKKALKUWA,ST,VALVI HEMANT BHIKA,M,29,ST,IND,6741
22364,Maharashtra,2009,1,5,AKKALKUWA,ST,VALVI MANGALSING KOMA,M,44,ST,SHS,6184
22365,Maharashtra,2009,1,6,AKKALKUWA,ST,VASAVE ABHIJEET ATYA,M,30,ST,BSP,3151
22366,Maharashtra,2014,1,1,AKKALKUWA,ST,PADAVI ADV. K.C.,M,57,ST,INC,64410
22367,Maharashtra,2014,1,2,AKKALKUWA,ST,PARADAKE VIJAYSING RUPSING,M,47,ST,NCP,48635
22368,Maharashtra,2014,1,3,AKKALKUWA,ST,PADAVI NAGESH DILWARSING,M,39,ST,BJP,32701
22369,Maharashtra,2014,1,4,AKKALKUWA,ST,AAMSHYA FULJI PADAVI,M,46,ST,SHS,10349
22370,Maharashtra,2014,1,5,AKKALKUWA,ST,PADAVI NARENDRASING  BHAGATSING,M,55,ST,IND,7905
22371,Maharashtra,2014,1,6,AKKALKUWA,ST,None of the Above,,,,NOTA,4161
22372,Maharashtra,2014,1,7,AKKALKUWA,ST,MAMATA RAVINDRA VALAVI,F,38,ST,MNS,2026
22373,Maharashtra,2014,1,8,AKKALKUWA,ST,MADAN JAHANGIR PADAVI,M,41,ST,IND,1961
22374,Maharashtra,2014,1,9,AKKALKUWA,ST,PADAVI MADHUKAR SHAMSING,M,43,ST,IND,1766
22375,Maharashtra,2014,1,10,AKKALKUWA,ST,ADV. RANJIT JUGLA PADAVI,M,35,ST,BMUP,1178
