ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
762,Maharashtra,1962,172,1,AKOLA,GEN,MADHUSUDHAN ATMARAM VAIRALE,M,,,INC,18452
763,Maharashtra,1962,172,2,AKOLA,GEN,HARIHAR KRISHNARAO PURADU PANDHYA,M,,,JS,9258
764,Maharashtra,1962,172,3,AKOLA,GEN,BUPENDRANATH JAGDISHCHANDRA MUKARJEE,M,,,CPI,8980
765,Maharashtra,1962,172,4,AKOLA,GEN,BALASA VYANKATSA BHAROTE,M,,,IND,3741
766,Maharashtra,1962,172,5,AKOLA,GEN,ABBASALI MANOHALI,M,,,IND,747
767,Maharashtra,1962,172,6,AKOLA,GEN,MUJAFAR ALI SAFDAR ALI,M,,,IND,204
1645,Maharashtra,1967,103,1,AKOLA,GEN,J. S. GOENKA,M,,,INC,24113
1646,Maharashtra,1967,103,2,AKOLA,GEN,M. U. LAHANE,M,,,BJS,16466
1647,Maharashtra,1967,103,3,AKOLA,GEN,B. J. MUKHARJEE,M,,,CPM,8072
1648,Maharashtra,1967,103,4,AKOLA,GEN,P. R. MAHAJAN,M,,,IND,1382
1649,Maharashtra,1967,103,5,AKOLA,GEN,D. G. GARGE,M,,,IND,244
1650,Maharashtra,1967,103,6,AKOLA,GEN,D. B. SALAMPURIYA,M,,,IND,104
2847,Maharashtra,1972,103,1,AKOLA,GEN,JAMANLAL SHRIRAMJI GEONKA,M,,,INC,34006
2848,Maharashtra,1972,103,2,AKOLA,GEN,MESHRAM TOKARAM MAROTI,M,,,RPI,9013
2849,Maharashtra,1972,103,3,AKOLA,GEN,W. SHANKAR RAO DESHMUKH,M,,,BJS,8528
2850,Maharashtra,1972,103,4,AKOLA,GEN,SADASHIV MANNU PANDE,M,,,CPI,2369
2851,Maharashtra,1972,103,5,AKOLA,GEN,SHRIDHAR MUKUND DEO,M,,,FBL,1162
2852,Maharashtra,1972,103,6,AKOLA,GEN,BADRIPRASAD R. TIWARI,M,,,IND,408
4238,Maharashtra,1978,111,1,AKOLA,GEN,KHAN MOHAMMAD AZHAR HUSSAIN,M,,,INC,36853
4239,Maharashtra,1978,111,2,AKOLA,GEN,JAIN PRAMILA W/O SHRIPAL,F,,,JNP,23856
4240,Maharashtra,1978,111,3,AKOLA,GEN,GOENKAJAMANLAL SHRIRAMJI,M,,,INC,6832
4241,Maharashtra,1978,111,4,AKOLA,GEN,UTKHADE MADHUKARRAO NARAYANRAO,M,,,CPI,1283
4242,Maharashtra,1978,111,5,AKOLA,GEN,MIRZA UNUSBEG MIRZA HUSSAINIBEG,M,,,IND,1086
4243,Maharashtra,1978,111,6,AKOLA,GEN,MISHRA ONKAR PRASAD NAND GOPAL,M,,,IND,996
4244,Maharashtra,1978,111,7,AKOLA,GEN,RAHATE DYANDEO ZYNGOJI,M,,,IND,610
4245,Maharashtra,1978,111,8,AKOLA,GEN,CHANDKAPURE SHANKARRAO GANPATRAO,M,,,IND,197
4246,Maharashtra,1978,111,9,AKOLA,GEN,GOVINDRAO SHANKARRAO TARAPURE,M,,,IND,170
4247,Maharashtra,1978,111,10,AKOLA,GEN,LULLA KANHAILAL VASANDMAL,M,,,IND,124
4248,Maharashtra,1978,111,11,AKOLA,GEN,TIWARI BADRIPRASAD RADHAKISAN,M,,,IND,60
7874,Maharashtra,1985,111,1,AKOLA,GEN,GAIKWAD RAMDAS SHANKARRAO,M,,,INC,35436
7875,Maharashtra,1985,111,2,AKOLA,GEN,QAZI MOHAMMED ALI IBRAHIM ALI,M,,,IND,20138
7876,Maharashtra,1985,111,3,AKOLA,GEN,PRAMILA W/O VISHNU TOPLE,F,,,BJP,14479
7877,Maharashtra,1985,111,4,AKOLA,GEN,ABDUL JABSAR ABDUL RAHEMAN,M,,,IND,1213
7878,Maharashtra,1985,111,5,AKOLA,GEN,MHESRAM TUKARAM MAROTI,M,,,RPI,1212
7879,Maharashtra,1985,111,6,AKOLA,GEN,NANDKISHORE LAXMINARAYAN CHAUHAN,M,,,IND,157
7880,Maharashtra,1985,111,7,AKOLA,GEN,PACHKAWADE MAHADEOSA BHAGWANSA,M,,,IND,117
7881,Maharashtra,1985,111,8,AKOLA,GEN,NIYAZ ALI MOHAMMAD ALI,M,,,IND,106
7882,Maharashtra,1985,111,9,AKOLA,GEN,UJAWANE NANA ATMARAM,M,,,IND,104
7883,Maharashtra,1985,111,10,AKOLA,GEN,PRALHAD GOVIND INGOLE,M,,,IND,84
7884,Maharashtra,1985,111,10,AKOLA,GEN,AJAY MAHADEORAO BHUJADE,M,,,IND,84
7885,Maharashtra,1985,111,12,AKOLA,GEN,DESHMUKH SUMANT PURUSHOTTAMRAO,M,,,IND,73
10353,Maharashtra,1990,111,1,AKOLA,GEN,ARUN VISHNUJI DIVEKAR,M,,,INC,36146
10354,Maharashtra,1990,111,2,AKOLA,GEN,KELKAR DEEPAK KAMLAKAR,M,,,SHS,31023
10355,Maharashtra,1990,111,3,AKOLA,GEN,PATNAIK SUBASH BHAGWAT,M,,,BRP,13982
10356,Maharashtra,1990,111,4,AKOLA,GEN,NANASAHEB CHOUDHARI,M,,,JD,6849
10357,Maharashtra,1990,111,5,AKOLA,GEN,RAMDAS SHANKARRAO GAIKWAD,M,,,IND,2647
10358,Maharashtra,1990,111,6,AKOLA,GEN,AZIZ AHMAD GULAM RASOOL,M,,,IND,1649
10359,Maharashtra,1990,111,7,AKOLA,GEN,GADGIL CHANDRASHEKHAR SHAMBHURAO,M,,,IND,1581
10360,Maharashtra,1990,111,8,AKOLA,GEN,SHAIKH HASAN SHAIKH NADAN KADRI,M,,,IND,1136
10361,Maharashtra,1990,111,9,AKOLA,GEN,GHARDE NANDU UDHAO,M,,,BSP,235
10362,Maharashtra,1990,111,10,AKOLA,GEN,SHRIDHAR PATIL,M,,,PBI,191
10363,Maharashtra,1990,111,11,AKOLA,GEN,VERMA NANURAM MOHANLAL,M,,,ICS(SCS),161
10364,Maharashtra,1990,111,12,AKOLA,GEN,WANKHADE ASHOK SHAWAN,M,,,IND,144
10365,Maharashtra,1990,111,13,AKOLA,GEN,MANURYA SUKHRAJ MANGRU,M,,,IND,65
10366,Maharashtra,1990,111,14,AKOLA,GEN,BHOLE ASHOK MOTIRAM,M,,,DDP,63
10367,Maharashtra,1990,111,15,AKOLA,GEN,PRADEEP PRABHUDAYAL SHARMA,M,,,IND,58
10368,Maharashtra,1990,111,16,AKOLA,GEN,SHRIRAM TRIMBAK VYAS,M,,,JNP,48
10369,Maharashtra,1990,111,17,AKOLA,GEN,DALAL MULCHANDJI KANHAIYALALJI,M,,,HJP,45
10370,Maharashtra,1990,111,18,AKOLA,GEN,KHOKARE PRADIP NATTHU,M,,,IND,41
10371,Maharashtra,1990,111,19,AKOLA,GEN,BAJIRAO PATIL,M,,,IND,37
10372,Maharashtra,1990,111,20,AKOLA,GEN,SURYAPRAKASH SHRAWAN SHIRSAT,M,,,IND,32
10373,Maharashtra,1990,111,21,AKOLA,GEN,LULLA SACCHANAND KEWALRAM,M,,,IND,31
10374,Maharashtra,1990,111,22,AKOLA,GEN,BIPINCHANDRA PALDEODAS THAKKAR,M,,,IND,22
14464,Maharashtra,1995,111,1,AKOLA,GEN,GOVERDHAN MANGILAL SHARMA,M,46,GEN,BJP,59614
14465,Maharashtra,1995,111,2,AKOLA,GEN,ARUN VISHNUJI DIVEKAR,M,,,INC,25412
14466,Maharashtra,1995,111,3,AKOLA,GEN,WALI MOHMMAD ABDUL AZIZ,M,,,JD,15913
14467,Maharashtra,1995,111,4,AKOLA,GEN,PATNAIK SUBHASH BHAGAWATPRASAD,M,,,BBMS,12127
14468,Maharashtra,1995,111,5,AKOLA,GEN,ADV. QUAZI MOHAMMAD ALI,M,,,MUL,8761
14469,Maharashtra,1995,111,6,AKOLA,GEN,RANJITSINH GULABSING CHUNGADE,M,,,IND,2197
14470,Maharashtra,1995,111,7,AKOLA,GEN,RAMKRISHANA UNDRAJI GOPNARAYAN,M,,,IND,475
14471,Maharashtra,1995,111,8,AKOLA,GEN,LULLA SACHCHANAND KEWALRAM,M,,,IND,366
14472,Maharashtra,1995,111,9,AKOLA,GEN,MAYA MANIKRAO GHANBAHADUR,F,,,IND,308
14473,Maharashtra,1995,111,10,AKOLA,GEN,YUGALKISHOR KHUBCHAND BIYANI,M,,,IND,253
14474,Maharashtra,1995,111,10,AKOLA,GEN,RANBAWALE DINKAR SURYABHAN,M,,,IND,253
14475,Maharashtra,1995,111,12,AKOLA,GEN,NAYAK KIRTI MADHUKAR,F,,,IND,224
14476,Maharashtra,1995,111,13,AKOLA,GEN,GOND VISHNU SUPADAJI,M,,,IND,204
14477,Maharashtra,1995,111,14,AKOLA,GEN,TAJ MOHD. MOHMMAD ISMAIL,M,,,IND,202
14478,Maharashtra,1995,111,15,AKOLA,GEN,KAKAD MADHUKAR MAHADEO,M,,,IND,190
14479,Maharashtra,1995,111,16,AKOLA,GEN,NANA UDHAORAO GHARADE,M,,,BSP,180
14480,Maharashtra,1995,111,17,AKOLA,GEN,RAJKUMAR SHRIRAM AGRAWAL,M,,,IND,174
14481,Maharashtra,1995,111,18,AKOLA,GEN,WASNIK ARUNKUMAR RAMDAS,M,,,IND,127
14482,Maharashtra,1995,111,19,AKOLA,GEN,VITHAL NITYANAND MOHITE,M,,,IND,115
14483,Maharashtra,1995,111,20,AKOLA,GEN,MISHRA NARAYANPRASAD BENIPRASAD,M,,,IND,109
14484,Maharashtra,1995,111,21,AKOLA,GEN,BHALCHANDRA VASANTRAO KULKARNI,M,,,IND,106
14485,Maharashtra,1995,111,22,AKOLA,GEN,ADV. SUBHASHCHANDRA MADANLALJI HEDA,M,,,IND,103
14486,Maharashtra,1995,111,23,AKOLA,GEN,SHIRSAT SUNIL KISAN,M,,,IND,94
14487,Maharashtra,1995,111,24,AKOLA,GEN,PATIL SURESH JAGNNATH,M,,,IND,89
14488,Maharashtra,1995,111,25,AKOLA,GEN,SHRIDHAR BANDUJI PATIL,M,,,PSSS,65
14489,Maharashtra,1995,111,26,AKOLA,GEN,RAJESH YADAORAO WANAJARI,M,,,IND,61
14490,Maharashtra,1995,111,27,AKOLA,GEN,TIWARI KALIPRASAD SHABHUDAYALJI,M,,,IND,59
14491,Maharashtra,1995,111,28,AKOLA,GEN,ALONE SHAILENDRA MAHADEO,M,,,IND,57
14492,Maharashtra,1995,111,29,AKOLA,GEN,SIDHARTHA MANIKRAO KAMBLE,M,,,IND,55
14493,Maharashtra,1995,111,30,AKOLA,GEN,RAMESH GANPATRAO SHIRBHATE,M,,,IND,41
