ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
22680,Maharashtra,2009,30,1,AKOLA WEST,GEN,GOVARDHAN MANGILALJI,M,60,GEN,BJP,44156
22681,Maharashtra,2009,30,2,AKOLA WEST,GEN,KHETAN RAMAKANT,M,59,GEN,INC,32246
22682,Maharashtra,2009,30,3,AKOLA WEST,GEN,AZHAR HUSAIN,M,61,GEN,JSS,23060
22683,Maharashtra,2009,30,4,AKOLA WEST,GEN,HAJI SAJJAD HUSEN ALTAF,M,41,GEN,BBM,11909
22684,Maharashtra,2009,30,5,AKOLA WEST,GEN,PANKAJ DNYANESH SABLE,M,26,GEN,MNS,5660
22685,Maharashtra,2009,30,6,AKOLA WEST,GEN,NAKIRKHA AHEMADKHA,M,29,GEN,SP,2753
22686,Maharashtra,2009,30,7,AKOLA WEST,GEN,ABDUL MUNAF ABDUL,M,35,GEN,AIUDF,1578
22687,Maharashtra,2009,30,8,AKOLA WEST,GEN,SIMANT MADHUKAR TAYADE,M,31,SC,BSP,1380
22688,Maharashtra,2009,30,9,AKOLA WEST,GEN,SALIM DACTAR ABDUL KARIM,M,57,GEN,IND,841
22689,Maharashtra,2009,30,10,AKOLA WEST,GEN,DR. GONDCHAWAR,M,57,GEN,IND,575
22690,Maharashtra,2009,30,11,AKOLA WEST,GEN,MANOHAR PARASHRAM,M,36,GEN,IND,336
22691,Maharashtra,2009,30,12,AKOLA WEST,GEN,BAJPAI DIPAK SURYAPRASAD,M,58,GEN,IND,268
22692,Maharashtra,2009,30,13,AKOLA WEST,GEN,LATIF SHAH SIDDIQUE SHAH,M,39,GEN,IND,263
22693,Maharashtra,2009,30,14,AKOLA WEST,GEN,GOVARDHAN KRISHNARAO,M,34,GEN,IND,245
22694,Maharashtra,2009,30,15,AKOLA WEST,GEN,RAJESH SUDHAKAR,M,38,GEN,IND,213
22695,Maharashtra,2014,30,1,AKOLA WEST,GEN,GOVARDHAN MANGILALJI,M,64,GEN,BJP,66934
22696,Maharashtra,2014,30,2,AKOLA WEST,GEN,DESHMUKH VIJAY PUNDLIKRAO,M,48,GEN,NCP,26981
22697,Maharashtra,2014,30,3,AKOLA WEST,GEN,AASIF KHAN MUSTAFA  KHAN,M,49,GEN,BBM,23927
22698,Maharashtra,2014,30,4,AKOLA WEST,GEN,GAWANDE GULABRAO RAMRAO,M,60,GEN,SHS,10572
22699,Maharashtra,2014,30,5,AKOLA WEST,GEN,VIRAK USHA JAGAJITSINGH,F,57,GEN,INC,9164
22700,Maharashtra,2014,30,6,AKOLA WEST,GEN,MAHEMOOD USMAN SK. ANWAR,M,40,GEN,WPOI,1457
22701,Maharashtra,2014,30,7,AKOLA WEST,GEN,None of the Above,,,,NOTA,1047
22702,Maharashtra,2014,30,8,AKOLA WEST,GEN,SANGHPAL KASHIRAM SIRSAT,M,49,SC,BSP,1032
22703,Maharashtra,2014,30,9,AKOLA WEST,GEN,PANKAJ DNYANESH SABLE,M,31,GEN,MNS,532
22704,Maharashtra,2014,30,10,AKOLA WEST,GEN,PRASHANT SUDHAKAR MORE,M,33,GEN,IND,286
22705,Maharashtra,2014,30,11,AKOLA WEST,GEN,KASABE KAPIL VISHNU,M,32,SC,APOI,278
22706,Maharashtra,2014,30,12,AKOLA WEST,GEN,BANSILAL GULHIRAM PRAJAPATI,M,50,GEN,IND,262
22707,Maharashtra,2014,30,13,AKOLA WEST,GEN,DHOLE SANTOSH PANDHARI,M,30,GEN,IND,177
22708,Maharashtra,2014,30,14,AKOLA WEST,GEN,DAULAT BAXURAM CHOUTHANI,M,46,GEN,IND,168
22709,Maharashtra,2014,30,15,AKOLA WEST,GEN,AJMAL YUSUF KHAN,M,45,GEN,IND,164
22710,Maharashtra,2014,30,16,AKOLA WEST,GEN,DR. DHANANJAY PRALHADRAO NALAT,M,44,GEN,ARP,142
