ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
771,Maharashtra,1962,174,1,AKOT,GEN,GOPALRAO BAJIRAO KHEDKAR,M,,,INC,26603
772,Maharashtra,1962,174,2,AKOT,GEN,DEVIDAS MORITI KORALE,M,,,PWP,13967
773,Maharashtra,1962,174,3,AKOT,GEN,SAMPATRAO BHAOJI BHOPLE,M,,,IND,12632
774,Maharashtra,1962,174,4,AKOT,GEN,ANANT MAHADEO ASARKAR,M,,,JS,4382
775,Maharashtra,1962,174,5,AKOT,GEN,A. JABBAR SK. RASUL,M,,,IND,285
776,Maharashtra,1962,174,6,AKOT,GEN,TUKARAM PANDHARI TAYDE,M,,,IND,251
1634,Maharashtra,1967,101,1,AKOT,GEN,G. B. KHEDKAR,M,,,INC,33827
1635,Maharashtra,1967,101,2,AKOT,GEN,B. B. WANKHADE,M,,,BJS,21605
1636,Maharashtra,1967,101,3,AKOT,GEN,K. D. KULKARNI,M,,,IND,1635
1637,Maharashtra,1967,101,4,AKOT,GEN,V. S. UMARKAR,M,,,IND,677
1638,Maharashtra,1967,101,5,AKOT,GEN,M. K. SARDAR,M,,,IND,593
2838,Maharashtra,1972,101,1,AKOT,GEN,MANOHAR BHIKAJI TAYADE,M,,,INC,34114
2839,Maharashtra,1972,101,2,AKOT,GEN,BHIMRAO BHAURAO WANKHADE,M,,,IND,25866
2840,Maharashtra,1972,101,3,AKOT,GEN,WAMAN RAOJI BHATKAR,M,,,RPI,3733
2841,Maharashtra,1972,101,4,AKOT,GEN,RAJANINATH POTE,M,,,FBL,1146
4226,Maharashtra,1978,109,1,AKOT,GEN,GANGANE SUDHAKAR RAMKRISHNA,M,29,GEN,INC,36603
4227,Maharashtra,1978,109,2,AKOT,GEN,TIDKE KASHINATH SHAMRAO,M,,,JNP,24096
4228,Maharashtra,1978,109,3,AKOT,GEN,TAYADE MANOHAR BHIKAJI,M,,,INC,11063
4229,Maharashtra,1978,109,4,AKOT,GEN,TUMBADE MAHADEO SHANKER,M,,,IND,273
6007,Maharashtra,1980,109,1,AKOT,GEN,TAPRE MANOHAR BHIKAJI,M,,,INC,29616
6008,Maharashtra,1980,109,2,AKOT,GEN,BHOPLE SAMPATRAO BHAUJI,M,,,BJP,21538
6009,Maharashtra,1980,109,3,AKOT,GEN,KHOBRAGADE BHAURAO NATHUJI,M,,,RPK,7519
6010,Maharashtra,1980,109,4,AKOT,GEN,CHAUKHANDE BABARAO RAJARAM,M,,,IND,3233
7859,Maharashtra,1985,109,1,AKOT,GEN,GANGANE SUDHAKAR RAMKRISHNA,M,36,GEN,INC,41426
7860,Maharashtra,1985,109,2,AKOT,GEN,ATMARAM TULSHIRAM BHOPLE,M,,,IND,21922
7861,Maharashtra,1985,109,3,AKOT,GEN,DEEPAK RAMBHAU GAWANDE,M,,,BJP,9093
7862,Maharashtra,1985,109,4,AKOT,GEN,SHREERAMBHAU RAJARAMJI MANKAR,M,,,IND,403
7863,Maharashtra,1985,109,5,AKOT,GEN,ONKAR YESHWANTRAO CHEDE,M,,,IND,282
7864,Maharashtra,1985,109,6,AKOT,GEN,SAPKAL RAMRAO WAMANRAO,M,,,IND,136
10317,Maharashtra,1990,109,1,AKOT,GEN,JAGANNATH SITARAMJI DHONE,M,,,SHS,35436
10318,Maharashtra,1990,109,2,AKOT,GEN,GANGANE SUDHAKAR RAMKRISHNA,M,41,GEN,INC,25926
10319,Maharashtra,1990,109,3,AKOT,GEN,MENKAR PRABHAKAR TULSHIRAM,M,,,MMS,17649
10320,Maharashtra,1990,109,4,AKOT,GEN,ATMARAM TULSHIRAM BHOPALE,M,,,BRP,12818
10321,Maharashtra,1990,109,5,AKOT,GEN,S. SHARIF S. SIKANDAR,M,,,IND,5171
10322,Maharashtra,1990,109,6,AKOT,GEN,SAWARKAR PRABHAKARRAO VISHWA NATHRAO,M,,,PWP,1037
10323,Maharashtra,1990,109,7,AKOT,GEN,BELSARE RADHA DILIP,F,,,IND,273
10324,Maharashtra,1990,109,8,AKOT,GEN,WANARE RAVIKUMAR GANPATRAO,M,,,BSP,175
10325,Maharashtra,1990,109,9,AKOT,GEN,JAIPRAKASH RAMDEOJI PANDE,M,,,IND,172
10326,Maharashtra,1990,109,10,AKOT,GEN,NANAKRAM SUGNAMAL MANWANI,M,,,IND,151
10327,Maharashtra,1990,109,11,AKOT,GEN,SK. SHABBIR SK. ISMAIL,M,,,IND,125
10328,Maharashtra,1990,109,12,AKOT,GEN,DAGA DILIP KUMAR MUKUNDDAS,M,,,IND,112
10329,Maharashtra,1990,109,13,AKOT,GEN,BAJRANG HARIPRASAD JHUNJHUNWAL,M,,,IND,96
10330,Maharashtra,1990,109,14,AKOT,GEN,PACHKAVADE MAHADEORAO BHAGWANSA,M,,,DDP,87
10331,Maharashtra,1990,109,15,AKOT,GEN,PUNDKAR GAJANAN GOPALRAO,M,,,IND,36
14413,Maharashtra,1995,109,1,AKOT,GEN,KARALE RAMESHWAR WASUDEO,M,,,SHS,39104
14414,Maharashtra,1995,109,2,AKOT,GEN,GANGANE SUDHAKAR RAMKRISHNA,M,46,GEN,INC,30613
14415,Maharashtra,1995,109,3,AKOT,GEN,JAGANNATH SITARAMJI DHONE,M,,,IND,22635
14416,Maharashtra,1995,109,4,AKOT,GEN,PURUSHOTTAM RAMCHANDRA SAGNE,M,,,BBMS,18592
14417,Maharashtra,1995,109,5,AKOT,GEN,PROF. SHARAD PATIL,M,,,IND,5336
14418,Maharashtra,1995,109,6,AKOT,GEN,GAWARGURU SANJAY MAHADEO,M,,,RPI,1893
14419,Maharashtra,1995,109,7,AKOT,GEN,KAHAR HARICHANDRA SHANKAR,M,,,IND,1326
14420,Maharashtra,1995,109,8,AKOT,GEN,VIJAY TULSHIRAMSING KHANNADE,M,,,IND,928
14421,Maharashtra,1995,109,9,AKOT,GEN,A. SADIQ A. RAZZAQUE ALIAS KALU PAHALWAN,M,,,IND,906
14422,Maharashtra,1995,109,10,AKOT,GEN,GAJANAN GOPALRAO PUNDKAR,M,,,BSP,858
14423,Maharashtra,1995,109,11,AKOT,GEN,ONKAR SHANKAR TAYADE,M,,,IND,588
14424,Maharashtra,1995,109,12,AKOT,GEN,GHANBAHADUR ASHOK PUNDLIKRAO,M,,,IND,425
14425,Maharashtra,1995,109,13,AKOT,GEN,BHOPLE ATMARAM TULSHIRAM,M,,,IND,326
14426,Maharashtra,1995,109,14,AKOT,GEN,GUPTA SHIVPRASAD SITALPRASAD,M,,,IND,319
14427,Maharashtra,1995,109,15,AKOT,GEN,SALIMAHMAD KHAN SABZEKHAN,M,,,IND,302
14428,Maharashtra,1995,109,16,AKOT,GEN,TALOKAR JAGANNATH PRALHAD,M,,,IND,260
14429,Maharashtra,1995,109,17,AKOT,GEN,MADHUKAR RAMBHAU KADU,M,,,IND,213
14430,Maharashtra,1995,109,18,AKOT,GEN,SAU. MINATAI RAVINKUMAR WANARE,F,,,IND,122
14431,Maharashtra,1995,109,19,AKOT,GEN,MADHUKAR MAHADEORAO BODKHE,M,,,IND,116
