ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
176,Maharashtra,1962,39,1,ALIBAG,GEN,DATTATRAYA KRISHNAJI KHANVILKAR,M,,,INC,18762
177,Maharashtra,1962,39,2,ALIBAG,GEN,DATTATRAYA NARAYAN PATIL,M,,,PWP,13494
178,Maharashtra,1962,39,3,ALIBAG,GEN,PRABHAKAR KASHINATH KUNTE,M,,,PSP,2651
179,Maharashtra,1962,39,4,ALIBAG,GEN,ACHYUT MAHADEV OAK,M,,,JS,1586
1231,Maharashtra,1967,18,1,ALIBAG,GEN,D. N. PATIL,M,,,PWP,27011
1232,Maharashtra,1967,18,2,ALIBAG,GEN,D. K. KHANVILKAR,M,,,INC,24124
1233,Maharashtra,1967,18,3,ALIBAG,GEN,B. M. KATHE,M,,,BJS,2197
2457,Maharashtra,1972,18,1,ALIBAG,GEN,NARAYAN KANHOBA BHAGAT,M,,,INC,22279
2458,Maharashtra,1972,18,2,ALIBAG,GEN,VASANT RAJARAM RAUT,M,,,PWP,18685
2459,Maharashtra,1972,18,3,ALIBAG,GEN,K. D. KRISHNARAO,M,,,IND,16724
3663,Maharashtra,1978,16,1,ALIBAG,GEN,DATTA PATIL,M,,,PWP,34958
3664,Maharashtra,1978,16,2,ALIBAG,GEN,KHANVILKAR DATAJIRAO KRISHNANARAO,M,,,INC,21723
3665,Maharashtra,1978,16,3,ALIBAG,GEN,PATIL MADHUKAR POSU,M,,,JNP,15811
5482,Maharashtra,1980,16,1,ALIBAG,GEN,PATIL DATTATREY NARAYAN,M,,,PWP,41191
5483,Maharashtra,1980,16,2,ALIBAG,GEN,BHAGAT NARAYAN KANHOBA,M,,,INC,19623
7047,Maharashtra,1985,16,1,ALIBAG,GEN,DATTA PATIL,M,,,PWP,54368
7048,Maharashtra,1985,16,2,ALIBAG,GEN,A. G. (RAVI) PATIL,M,,,INC,22116
9264,Maharashtra,1990,16,1,ALIBAG,GEN,PATIL DATTATREY NARAYAN,M,,,PWP,58878
9265,Maharashtra,1990,16,2,ALIBAG,GEN,KAWALE VIJAY NAMDEV,M,,,INC,43596
9266,Maharashtra,1990,16,3,ALIBAG,GEN,ARJUN SHANTARAM PATIL,M,,,SHS,12316
9267,Maharashtra,1990,16,4,ALIBAG,GEN,UKARADE ARUN YASHAVANTRAO,M,,,IND,423
9268,Maharashtra,1990,16,5,ALIBAG,GEN,SINGH RAMADHAR GANGAPRASAD,M,,,DDP,165
13072,Maharashtra,1995,16,1,ALIBAG,GEN,MEENAKSHI PATIL,F,,,PWP,61569
13073,Maharashtra,1995,16,2,ALIBAG,GEN,KAWALE VIJAY NAMDEV,M,,,INC,38380
13074,Maharashtra,1995,16,3,ALIBAG,GEN,PARASHANT B. PATIL,M,,,SHS,26378
13075,Maharashtra,1995,16,4,ALIBAG,GEN,DAWOOR R. KANUJI,M,,,IND,5741
13076,Maharashtra,1995,16,5,ALIBAG,GEN,DATTA PATIL,M,,,IND,2052
13077,Maharashtra,1995,16,6,ALIBAG,GEN,ARVIND W. KALKARNI,M,,,IND,1231
13078,Maharashtra,1995,16,7,ALIBAG,GEN,VIJAY NARAYAN KAWALE,M,,,IND,536
