ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
659,Maharashtra,1962,149,1,AMALNER,ST,SHAHJAHANKHAN JALAMKHAN TADVI,M,,,INC,21817
660,Maharashtra,1962,149,2,AMALNER,ST,ANILKUMAR PRASHI CHAVAN,M,,,JS,6018
661,Maharashtra,1962,149,3,AMALNER,ST,BHAVANSING SAVAJI SOVAWANE,M,,,CPI,4484
662,Maharashtra,1962,149,4,AMALNER,ST,KAUTIK BAUDU BHIL,M,,,PSP,2772
663,Maharashtra,1962,149,5,AMALNER,ST,LAXMAN KHANDU BAGOLE,M,,,IND,1355
1550,Maharashtra,1967,84,1,AMALNER,GEN,K. M. PATIL,M,,,INC,25087
1551,Maharashtra,1967,84,2,AMALNER,GEN,G. W. PATIL,M,,,PSP,8452
1552,Maharashtra,1967,84,3,AMALNER,GEN,V. D. CHAVAN,M,,,CPI,6114
1553,Maharashtra,1967,84,4,AMALNER,GEN,D. D. AGAWAL,M,,,BJS,4076
2775,Maharashtra,1972,84,1,AMALNER,GEN,JAGATRAO VYANKATRAO PAWAR,M,,,INC,40223
2776,Maharashtra,1972,84,2,AMALNER,GEN,NAMDEO MAHARU PATIL,M,,,BJS,5034
2777,Maharashtra,1972,84,3,AMALNER,GEN,PRALAD RAMDAS BAVISKAR,M,,,IND,1110
2778,Maharashtra,1972,84,4,AMALNER,GEN,NATU NARAYAN CHAUDHAR,M,,,IND,402
4126,Maharashtra,1978,92,1,AMALNER,GEN,PATIL GULABRAO WAMANRAO,M,,,JNP,43697
4127,Maharashtra,1978,92,2,AMALNER,GEN,DABHADE RAMDAS SUGRAM,M,,,INC,20983
4128,Maharashtra,1978,92,3,AMALNER,GEN,PATIL MADHUKAR ATMARAM,M,,,RPI,12368
5911,Maharashtra,1980,92,1,AMALNER,GEN,GULABRAO WAMANRAO PATIL,M,,,JNP,36179
5912,Maharashtra,1980,92,2,AMALNER,GEN,CHAVAN SAMBHAJI GOVINDRAO,M,,,INC,29640
5913,Maharashtra,1980,92,3,AMALNER,GEN,PATIL PANDURANG BHILA,M,,,IND,544
7712,Maharashtra,1985,92,1,AMALNER,GEN,AMRUTRAO VAMANRAO PATIL,M,,,INC,43545
7713,Maharashtra,1985,92,2,AMALNER,GEN,GULABRAO WAMANRAO PATIL,M,,,JNP,38041
7714,Maharashtra,1985,92,3,AMALNER,GEN,PATIL PANDURANG BHILA,M,,,IND,499
10079,Maharashtra,1990,92,1,AMALNER,GEN,PATIL GULABRAO WAMANRAO,M,,,JD,44211
10080,Maharashtra,1990,92,2,AMALNER,GEN,DAJIBA PARVAT PATIL,M,,,INC,31714
10081,Maharashtra,1990,92,3,AMALNER,GEN,SUTAR DEVIDAS MOTIRAM,M,,,SHS,19208
10082,Maharashtra,1990,92,4,AMALNER,GEN,SHRAVAN SADA BRAHME,M,,,IND,2103
10083,Maharashtra,1990,92,5,AMALNER,GEN,MAHARU DAGADU PATIL,M,,,IND,1362
10084,Maharashtra,1990,92,6,AMALNER,GEN,PATIL PANDURANG BHILA,M,,,DDP,606
10085,Maharashtra,1990,92,7,AMALNER,GEN,SAMBHAJI KESHAV PATIL,M,,,IND,89
14150,Maharashtra,1995,92,1,AMALNER,GEN,DR. PATIL B.S.,M,,,BJP,35838
14151,Maharashtra,1995,92,2,AMALNER,GEN,PATIL AMRUTRAO WAMANRAO,M,,,INC,34934
14152,Maharashtra,1995,92,3,AMALNER,GEN,PATIL GULABRAO WAMANRAO,M,,,IND,30262
14153,Maharashtra,1995,92,4,AMALNER,GEN,BHANDARKAR SUBHASHCHANDRA DODHU,M,,,IND,8631
14154,Maharashtra,1995,92,5,AMALNER,GEN,LANDGE RAMCHANDRA DHOMAN,M,,,BBMS,3713
14155,Maharashtra,1995,92,6,AMALNER,GEN,KOLI BABURAO KALU,M,,,IND,2901
14156,Maharashtra,1995,92,7,AMALNER,GEN,PATIL CHIMANRAO RAMRAO,M,,,IND,2063
14157,Maharashtra,1995,92,8,AMALNER,GEN,PAWAR VIKAS YADAVARAO,M,,,IND,685
14158,Maharashtra,1995,92,9,AMALNER,GEN,PATIL RAJENDRA PUNDALIK,M,,,DDP,676
14159,Maharashtra,1995,92,10,AMALNER,GEN,MAHAJAN PUNDALIK MOTIRAM,M,,,IND,626
14160,Maharashtra,1995,92,11,AMALNER,GEN,PATIL RAVINDRA ARJUN,M,,,IND,546
18264,Maharashtra,1999,92,1,AMALNER,GEN,DR. PATIL B.S.,M,,,BJP,49523
18265,Maharashtra,1999,92,2,AMALNER,GEN,SHINDE ANIL NATHU,M,,,INC,22523
18266,Maharashtra,1999,92,3,AMALNER,GEN,PATIL GULABRAO WAMANRAO,M,,,JD(S),21351
18267,Maharashtra,1999,92,4,AMALNER,GEN,BAGUL GULABRAO WAMAN,M,,,IND,4562
18268,Maharashtra,1999,92,5,AMALNER,GEN,BHOI HIRALAL BABULAL,M,,,IND,1027
20425,Maharashtra,2004,92,7,AMALNER,GEN,SONAR DHANANJAY BANSILAL,M,37,GEN,BSP,1219
20426,Maharashtra,2004,92,4,AMALNER,GEN,SUNIL WALMIK DHABHADE (SONAR),M,32,GEN,IND,2009
20427,Maharashtra,2004,92,5,AMALNER,GEN,SALUNKHE DIPAKSINGH RAMBHAU,M,32,GEN,SP,1579
20428,Maharashtra,2004,92,2,AMALNER,GEN,ADV. MRS. LALITA SHAM PATIL,F,34,GEN,INC,50371
20429,Maharashtra,2004,92,6,AMALNER,GEN,SHAIKH NASIRODDIN HAJI,M,46,GEN,IND,1378
20430,Maharashtra,2004,92,1,AMALNER,GEN,DR. PATIL B.S.,M,59,GEN,BJP,51103
20431,Maharashtra,2004,92,8,AMALNER,GEN,DR. BHANUDAS SANTOSH PATIL,M,27,GEN,IND,1103
20432,Maharashtra,2004,92,9,AMALNER,GEN,N K PATIL,M,35,GEN,SVRP,658
20433,Maharashtra,2004,92,3,AMALNER,GEN,ASHOK PAWAR,M,49,GEN,IND,14348
22503,Maharashtra,2009,15,1,AMALNER,GEN,KRUSHIBHUSHAN SAHEBRAO PATIL,M,57,GEN,IND,55084
22504,Maharashtra,2009,15,2,AMALNER,GEN,ANIL BHAIDAS PATIL (AMALNER),M,41,GEN,BJP,44621
22505,Maharashtra,2009,15,3,AMALNER,GEN,ADV. MRS. LALITA SHAM PATIL,F,38,GEN,INC,25609
22506,Maharashtra,2009,15,4,AMALNER,GEN,DR. PATIL B.S.,M,64,GEN,IND,10422
22507,Maharashtra,2009,15,5,AMALNER,GEN,DR.DIPAK PANDHARINATH,M,29,GEN,MNS,3714
22508,Maharashtra,2009,15,6,AMALNER,GEN,ER.MILIND LAXMIKANT PATIL,M,49,GEN,IND,2315
22509,Maharashtra,2009,15,7,AMALNER,GEN,KRUSHI TADNYA SAHEBRAO,M,62,GEN,IND,1699
22510,Maharashtra,2009,15,8,AMALNER,GEN,NETKAR ARUN DAJIBA,M,59,SC,BSP,1166
22511,Maharashtra,2009,15,9,AMALNER,GEN,NANASO SHARAD VAMAN,M,55,GEN,IND,746
22512,Maharashtra,2009,15,10,AMALNER,GEN,N.K NANA PATIL,M,40,GEN,IND,626
