ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
789,Maharashtra,1962,178,1,AMRAVATI,GEN,UMERLALJI MATHURADAS KEDIA,M,,,INC,27838
790,Maharashtra,1962,178,2,AMRAVATI,GEN,GOPAL DATTATRAYA KALOTI,M,,,IND,20878
791,Maharashtra,1962,178,3,AMRAVATI,GEN,DEVIDAS VISHWANATH KHEDKAR,M,,,JS,2791
792,Maharashtra,1962,178,4,AMRAVATI,GEN,SHRIRAM SHALIGRAM MALVIYA,M,,,IND,1309
793,Maharashtra,1962,178,5,AMRAVATI,GEN,SITARAMPANT TRIMAKPANT POTDAR,M,,,RRP,311
794,Maharashtra,1962,178,6,AMRAVATI,GEN,SK. HASAN MUSKIL SK. MAHBOOB,M,,,IND,194
1694,Maharashtra,1967,114,1,AMRAVATI,GEN,K.N. NAWATHE,M,,,INC,21634
1695,Maharashtra,1967,114,2,AMRAVATI,GEN,B.D. KARANJIKAR,M,,,SSP,20663
1696,Maharashtra,1967,114,3,AMRAVATI,GEN,D.V. KHEDKAR,M,,,BJS,6147
1697,Maharashtra,1967,114,4,AMRAVATI,GEN,A.S. DOHLE,M,,,IND,662
1698,Maharashtra,1967,114,5,AMRAVATI,GEN,R.S. PANDE,M,,,IND,206
2890,Maharashtra,1972,114,1,AMRAVATI,GEN,DATTATRAYA NAGORAO METKAR,M,,,INC,41157
2891,Maharashtra,1972,114,2,AMRAVATI,GEN,KOLHE SATAPPA SHIOAPPA,M,,,BJS,4505
2892,Maharashtra,1972,114,3,AMRAVATI,GEN,DEVIDAS LAXMANRAO KAWARE,M,,,FBL,2227
2893,Maharashtra,1972,114,4,AMRAVATI,GEN,PRALHAD PANDURANG DHANKE,M,,,IND,470
4340,Maharashtra,1978,124,1,AMRAVATI,GEN,BHUYAR SURENDRA CHHATRAPAL,M,,,INC,38507
4341,Maharashtra,1978,124,2,AMRAVATI,GEN,MUNIRKHAN USMANKHAN,M,,,JNP,20296
4342,Maharashtra,1978,124,3,AMRAVATI,GEN,KEDIA UMARLALJI MATHURADASJI,M,,,INC,12843
4343,Maharashtra,1978,124,4,AMRAVATI,GEN,KOLHATKAR VASNATRAO RAMKRISHNARAO,M,,,IND,2837
4344,Maharashtra,1978,124,5,AMRAVATI,GEN,NURAL HASSAN ABDUI HASAN,M,,,IND,431
4345,Maharashtra,1978,124,6,AMRAVATI,GEN,BRAHMANE HARIBHAU ZAWARJI,M,,,IND,357
