ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
264,Maharashtra,1962,55,1,AMBEGAON,GEN,ANNASAHEB GOPALRAO AWATE,M,,,INC,22111
265,Maharashtra,1962,55,2,AMBEGAON,GEN,MURUTI SHRIPATI AWATE,M,,,PSP,4812
266,Maharashtra,1962,55,3,AMBEGAON,GEN,ANANT CHIMA ADHARI,M,,,PWP,4405
2214,Maharashtra,1967,226,1,AMBEGAON,GEN,D. G. WALASE,M,,,INC,25553
2215,Maharashtra,1967,226,2,AMBEGAON,GEN,D. K. KALE,M,,,PSP,9554
2216,Maharashtra,1967,226,3,AMBEGAON,GEN,K. R. MUNDHE,M,,,PWP,5698
2217,Maharashtra,1967,226,4,AMBEGAON,GEN,P. S. DUKE,M,,,IND,2781
2218,Maharashtra,1967,226,5,AMBEGAON,GEN,J. D. WATHARE,M,,,IND,791
3428,Maharashtra,1972,226,1,AMBEGAON,GEN,BANKHELE KISANRAO BABURAO,M,,,IND,38908
3429,Maharashtra,1972,226,2,AMBEGAON,GEN,DATTATRAYA V. PATIL,M,,,INC,12065
3430,Maharashtra,1972,226,3,AMBEGAON,GEN,MADHAVRAO DAHITULE,M,,,IND,342
5120,Maharashtra,1978,241,1,AMBEGAON,GEN,KALE B. D.,M,,,INC,24542
5121,Maharashtra,1978,241,2,AMBEGAON,GEN,TEMGIRE KISAN SHRIPATI,M,,,JNP,23967
5122,Maharashtra,1978,241,3,AMBEGAON,GEN,MARWADI RAJMAL CHUNILAL,M,,,IND,1693
5123,Maharashtra,1978,241,4,AMBEGAON,GEN,VASANTRAO TUKARAM GUNJAN,M,,,INC,852
6716,Maharashtra,1980,241,1,AMBEGAON,GEN,BANKHELE KISANRAO BABURAO,M,,,JNP,21056
6717,Maharashtra,1980,241,2,AMBEGAON,GEN,KALE B. D.,M,,,INC(U),14013
6718,Maharashtra,1980,241,3,AMBEGAON,GEN,VALASE GULABRAO BHIKAJI,M,,,INC,7398
6719,Maharashtra,1980,241,4,AMBEGAON,GEN,BORADE TUKARAM SAKHARAM,M,,,IND,7181
6720,Maharashtra,1980,241,5,AMBEGAON,GEN,BANGAR PATIL MAHADEO HARI,M,,,IND,2595
6721,Maharashtra,1980,241,6,AMBEGAON,GEN,BHOR HARI NARAYAN,M,,,IND,183
8887,Maharashtra,1985,241,1,AMBEGAON,GEN,BANKHELE KISANRAO BABURAO,M,,,JNP,35297
8888,Maharashtra,1985,241,2,AMBEGAON,GEN,PADVAL CHHAYATAI,F,,,INC,19530
8889,Maharashtra,1985,241,3,AMBEGAON,GEN,KENGALE SHANKAR VITHAL,M,,,IND,3753
8890,Maharashtra,1985,241,4,AMBEGAON,GEN,CHINCHODIKAR BAL KRISHNA MAHADEO,M,,,IND,854
8891,Maharashtra,1985,241,5,AMBEGAON,GEN,RAKSHE MARTAND MAHADEO,M,,,IND,725
8892,Maharashtra,1985,241,6,AMBEGAON,GEN,KHUDE GENU RAMA (GURUJI),M,,,IND,410
8893,Maharashtra,1985,241,7,AMBEGAON,GEN,KURHADE TUKARAM GOVIND,M,,,IND,145
12511,Maharashtra,1990,241,1,AMBEGAON,GEN,DILIP DATTATRAY WALSE PATIL,M,33,GEN,INC,30354
12512,Maharashtra,1990,241,2,AMBEGAON,GEN,PATIL SHIVARAJIRAO MARUTRAO,M,,,IND,20809
12513,Maharashtra,1990,241,3,AMBEGAON,GEN,MANDALIK SUDAM BAPUSAHEB,M,,,SHS,16526
12514,Maharashtra,1990,241,4,AMBEGAON,GEN,BORADE TUKARAM SAKHARAM,M,,,IND,6804
12515,Maharashtra,1990,241,5,AMBEGAON,GEN,BANGAR BAJRANG SHANKAR,M,,,JD,3406
12516,Maharashtra,1990,241,6,AMBEGAON,GEN,GABHALE SHRIRANG VISHINU,M,,,IND,2830
12517,Maharashtra,1990,241,7,AMBEGAON,GEN,THORAT NAMDEO RAJARAM,M,,,IND,570
12518,Maharashtra,1990,241,8,AMBEGAON,GEN,HINGE VITTALRAO RAMCHANDRA,M,,,IND,424
12519,Maharashtra,1990,241,9,AMBEGAON,GEN,UKIRDE GANAPAT ANATHA,M,,,IND,401
12520,Maharashtra,1990,241,10,AMBEGAON,GEN,KALE DASHARATH ANATRAO,M,,,IND,133
12521,Maharashtra,1990,241,11,AMBEGAON,GEN,SHINDE NAMDEO CHIMANAJI,M,,,IND,130
12522,Maharashtra,1990,241,12,AMBEGAON,GEN,SHAIKH MAGBUL MEHABOOB,M,,,IND,122
12523,Maharashtra,1990,241,13,AMBEGAON,GEN,HINGE VILAS KISAN,M,,,IND,119
17099,Maharashtra,1995,241,1,AMBEGAON,GEN,DILIP DATTATRAY WALSE PATIL,M,38,GEN,INC,57014
17100,Maharashtra,1995,241,2,AMBEGAON,GEN,KISANRAO B. BANKHELE,M,,,JD,50558
17101,Maharashtra,1995,241,3,AMBEGAON,GEN,NANDUBHAI SHEKHLAL MUJAWAR,M,,,IND,1412
17102,Maharashtra,1995,241,4,AMBEGAON,GEN,PROF. BANKHELE THAKSEN NATHAJI,M,,,IND,917
17103,Maharashtra,1995,241,5,AMBEGAON,GEN,NANDKUMAR BABURAO KALE,M,,,IND,526
17104,Maharashtra,1995,241,6,AMBEGAON,GEN,MARUTI BHAGUJI POKHARKAR,M,,,IND,501
17105,Maharashtra,1995,241,7,AMBEGAON,GEN,ADV. SUNIL RAMBHAU THORAT,M,,,IND,470
17106,Maharashtra,1995,241,8,AMBEGAON,GEN,LONDHE DATTATRAYA SHANKAR,M,,,IND,352
19402,Maharashtra,1999,241,1,AMBEGAON,GEN,DILIP DATTATRAY WALSE PATIL,M,42,GEN,NCP,50052
19403,Maharashtra,1999,241,2,AMBEGAON,GEN,AD. AVINASH RAHANE,M,31,GEN,SHS,33226
19404,Maharashtra,1999,241,3,AMBEGAON,GEN,GABHALE SHRIRANG VISHNU,M,,,INC,8107
19405,Maharashtra,1999,241,4,AMBEGAON,GEN,POPAT SAHADU BHOR,M,,,IND,1618
19406,Maharashtra,1999,241,5,AMBEGAON,GEN,PANDHARINATH GYANBHAU WALUNJ,M,,,IND,767
19407,Maharashtra,1999,241,6,AMBEGAON,GEN,VALSE PATIL GANPAT MARUTI,M,,,IND,495
19408,Maharashtra,1999,241,7,AMBEGAON,GEN,ASHOK HARINARAYAN GUPTA,M,,,IND,382
19409,Maharashtra,1999,241,8,AMBEGAON,GEN,SANJAY HANUMAN PATIL ALIAS RAJU PATIL,M,,,IND,117
22014,Maharashtra,2004,241,5,AMBEGAON,GEN,SUMANT RANGNATH DETHE,M,42,GEN,RPI(A),781
22015,Maharashtra,2004,241,4,AMBEGAON,GEN,ATMARAM RAMCHANDRA,M,44,GEN,IND,1234
22016,Maharashtra,2004,241,3,AMBEGAON,GEN,AVINASH DAGADU BHEKE,M,37,GEN,JD(U),1345
22017,Maharashtra,2004,241,2,AMBEGAON,GEN,AD. AVINASH RAHANE,M,36,GEN,SHS,42194
22018,Maharashtra,2004,241,1,AMBEGAON,GEN,DILIP DATTATRAY WALSE PATIL,M,47,GEN,NCP,81830
22019,Maharashtra,2004,241,6,AMBEGAON,GEN,CHANDRAKANT BABURAO KANADE,M,56,GEN,PWPI,427
24823,Maharashtra,2009,196,1,AMBEGAON,GEN,DILIP DATTATRAY WALSE PATIL,M,53,GEN,NCP,99851
24824,Maharashtra,2009,196,2,AMBEGAON,GEN,ADHALRAO KALPANA SHIVAJI,F,51,GEN,SHS,62502
24825,Maharashtra,2009,196,3,AMBEGAON,GEN,SUHAS CHANDRKANT,M,26,GEN,IND,1906
24826,Maharashtra,2009,196,4,AMBEGAON,GEN,ANAND GUNAJI SONAWANE,M,39,SC,BSP,1439
24827,Maharashtra,2009,196,5,AMBEGAON,GEN,CHAUDHARI PARMESHWAR,M,58,GEN,RPI(A),1400
24828,Maharashtra,2009,196,6,AMBEGAON,GEN,DHERANGE SANDEEP,M,29,GEN,MNS,1233
24829,Maharashtra,2009,196,7,AMBEGAON,GEN,BHASKAR NAMDEVRAO,M,44,GEN,IND,1079
24830,Maharashtra,2009,196,8,AMBEGAON,GEN,SURESH JAYRAM BHOR,M,55,GEN,IND,836
24831,Maharashtra,2009,196,9,AMBEGAON,GEN,SURESH LAXMAN BHOR,M,39,GEN,IND,649
24832,Maharashtra,2009,196,10,AMBEGAON,GEN,SAYYAD JAFAR ABBAS,M,36,GEN,IND,390
24833,Maharashtra,2009,196,11,AMBEGAON,GEN,TATYASAHEB BHAUSAHEB,M,37,SC,IND,364
24834,Maharashtra,2014,196,1,AMBEGAON,GEN,DILIP DATTATRAY WALSE PATIL,M,58,GEN,NCP,120235
24835,Maharashtra,2014,196,2,AMBEGAON,GEN,ARUN GOVINDRAO GIRE,M,45,GEN,SHS,62081
24836,Maharashtra,2014,196,3,AMBEGAON,GEN,ERANDE JAYSING MARUTI,M,52,GEN,BJP,4615
24837,Maharashtra,2014,196,4,AMBEGAON,GEN,BANKHELE SANDHYA DEVENDRA,F,41,GEN,INC,2408
24838,Maharashtra,2014,196,5,AMBEGAON,GEN,None of the Above,,,,NOTA,1300
24839,Maharashtra,2014,196,6,AMBEGAON,GEN,ADHARI VIJAY ANANT,M,47,ST,IND,1205
24840,Maharashtra,2014,196,7,AMBEGAON,GEN,DHASAL MAHENDRA JANARDAN,M,32,SC,BSP,974
24841,Maharashtra,2014,196,8,AMBEGAON,GEN,YUVRAJ BABAN PAVSHE,M,48,GEN,IND,374
24842,Maharashtra,2014,196,9,AMBEGAON,GEN,KATE SUHAS NAMDEV,M,47,GEN,IND,347
