ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
907,Maharashtra,1962,199,1,AMGAON,GEN,NARAYAN MOHANI BAHEKAR,M,,,PSP,9631
908,Maharashtra,1962,199,2,AMGAON,GEN,LAXMAN BISAN MANKAR,M,,,JS,5260
909,Maharashtra,1962,199,3,AMGAON,GEN,SUSHILABAI KESHAORAOJI IGLE,F,,,INC,4887
910,Maharashtra,1962,199,4,AMGAON,GEN,DULICHAND GANUJI GAJBIYE,M,,,IND,3289
911,Maharashtra,1962,199,5,AMGAON,GEN,CHHANUJI BAJIRAO,M,,,IND,1354
912,Maharashtra,1962,199,6,AMGAON,GEN,SHANTABAI DOYE,F,,,IND,888
913,Maharashtra,1962,199,7,AMGAON,GEN,UMRAOSSING MANNALALSING JAWHERI,M,,,IND,747
1838,Maharashtra,1967,136,1,AMGAON,GEN,L. B. MANKAR,M,,,BJS,13844
1839,Maharashtra,1967,136,2,AMGAON,GEN,N. M. BAHEKAR,M,,,SSP,13218
1840,Maharashtra,1967,136,3,AMGAON,GEN,S. S. MISHRA,M,,,INC,10211
1841,Maharashtra,1967,136,4,AMGAON,GEN,D. M. MADAVI,M,,,IND,2690
1842,Maharashtra,1967,136,5,AMGAON,GEN,S. B. PARDHI,M,,,IND,685
1843,Maharashtra,1967,136,6,AMGAON,GEN,D. G. GAJBHIYE,M,,,IND,290
1844,Maharashtra,1967,136,7,AMGAON,GEN,V. S. CHANDANKAR,M,,,IND,207
4540,Maharashtra,1978,148,1,AMGAON,GEN,SHIWANKAR MAHADEORAO SUKAJI,M,,,JNP,35727
4541,Maharashtra,1978,148,2,AMGAON,GEN,BHAKTAWARTI DAYARAM DASHRATH,M,,,INC,29197
4542,Maharashtra,1978,148,3,AMGAON,GEN,BAHEKAR NARAYANBHAU MOHANJI,M,,,INC,5522
4543,Maharashtra,1978,148,4,AMGAON,GEN,MARASKOLE RAGHUNATH ATMARAM,M,,,IND,2725
4544,Maharashtra,1978,148,5,AMGAON,GEN,SALEM HARICHANDRA BHIWRAM,M,,,IND,1182
4545,Maharashtra,1978,148,6,AMGAON,GEN,DOYE RAJESHKUMAR BALIRAMBHAU,M,,,IND,445
