ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1849,Maharashtra,1967,138,1,ARJUNI-MORGAON,GEN,A. S. PAULZAGADE,M,,,INC,19840
1850,Maharashtra,1967,138,2,ARJUNI-MORGAON,GEN,N. H. DIWATHE,M,,,BJS,15353
1851,Maharashtra,1967,138,3,ARJUNI-MORGAON,GEN,S. W. DAHIWELE,M,,,RPI,13124
1852,Maharashtra,1967,138,4,ARJUNI-MORGAON,GEN,S. T. NAHAMRUTE,M,,,IND,3848
1853,Maharashtra,1967,138,5,ARJUNI-MORGAON,GEN,R. G. SHAHARE,M,,,IND,821
3045,Maharashtra,1972,138,1,ARJUNI-MORGAON,GEN,PAULZAGADE ADKU SONU,M,,,INC,30414
3046,Maharashtra,1972,138,2,ARJUNI-MORGAON,GEN,NAMDEO HARBAJI DIWATHE,M,,,BJS,17018
3047,Maharashtra,1972,138,3,ARJUNI-MORGAON,GEN,RAMTEKE KEWALRAM DONU,M,,,RPK,10827
3048,Maharashtra,1972,138,4,ARJUNI-MORGAON,GEN,SHANKARRAO V. SHAHARE,M,,,RPI,3462
3049,Maharashtra,1972,138,5,ARJUNI-MORGAON,GEN,NARAYANSING UIKEY,M,,,SOP,3240
3050,Maharashtra,1972,138,6,ARJUNI-MORGAON,GEN,BARKU GOVINDA DESHMUKH,M,,,IND,707
23181,Maharashtra,2009,63,1,ARJUNI-MORGAON,SC,BADOLE RAJKUMAR SUDAM,M,47,SC,BJP,69856
23182,Maharashtra,2009,63,2,ARJUNI-MORGAON,SC,RAUT RAMLAL BUDHAJI,M,60,SC,INC,53549
23183,Maharashtra,2009,63,3,ARJUNI-MORGAON,SC,KIRAN YASHWANT KAMBLE,F,42,SC,IND,10428
23184,Maharashtra,2009,63,4,ARJUNI-MORGAON,SC,SHAHARE KARAMCHAND,M,48,SC,BSP,7119
23185,Maharashtra,2009,63,5,ARJUNI-MORGAON,SC,GHANADE MANIK SHAMRAO,M,51,SC,IND,3411
23186,Maharashtra,2009,63,6,ARJUNI-MORGAON,SC,RAMTEKE KABIRDAS SAWAJI,M,64,SC,BBM,2642
23187,Maharashtra,2009,63,7,ARJUNI-MORGAON,SC,GOPAL JAGAN ALIAS JAYESH,M,57,SC,IND,949
23188,Maharashtra,2009,63,8,ARJUNI-MORGAON,SC,SHUDHODAN RAJARAM,M,37,SC,JSS,801
23189,Maharashtra,2009,63,9,ARJUNI-MORGAON,SC,BORKAR MORESHWAR,M,58,SC,RPI(A),452
23190,Maharashtra,2009,63,10,ARJUNI-MORGAON,SC,TAGDE KALIDAS DHARMA,M,40,SC,JMM,430
23191,Maharashtra,2009,63,11,ARJUNI-MORGAON,SC,ADV. PRAKASH VIJAYDAS,M,36,SC,RPI(KH),259
23192,Maharashtra,2014,63,1,ARJUNI-MORGAON,SC,BADOLE RAJKUMAR SUDAMJI        ,M,52,SC,BJP,64401
23193,Maharashtra,2014,63,2,ARJUNI-MORGAON,SC,NANDAGAWALI RAJESH MULCHAND    ,M,42,SC,INC,34106
23194,Maharashtra,2014,63,3,ARJUNI-MORGAON,SC,MANOHAR GOVARDHAN CHANDRIKAPURE,M,59,SC,NCP,31893
23195,Maharashtra,2014,63,4,ARJUNI-MORGAON,SC,KIRAN YASHWANT KAMBLE          ,F,45,SC,SHS,15336
23196,Maharashtra,2014,63,5,ARJUNI-MORGAON,SC,MESHRAM BHIMRAO KARUJI         ,M,59,SC,BSP,10254
23197,Maharashtra,2014,63,6,ARJUNI-MORGAON,SC,AJAY SAMBHAJI LANJEWAR         ,M,38,SC,IND,4844
23198,Maharashtra,2014,63,7,ARJUNI-MORGAON,SC,GAJBHIYE PRAMOD HIRAMAN        ,M,43,SC,IND,3765
23199,Maharashtra,2014,63,8,ARJUNI-MORGAON,SC,DAHIWALE RATNADEEP SUKHDEVKUMAR,M,39,SC,IND,1925
23200,Maharashtra,2014,63,9,ARJUNI-MORGAON,SC,None of the Above              , ,,  ,NOTA,1528
23201,Maharashtra,2014,63,10,ARJUNI-MORGAON,SC,DILVART KUNJILAL RAMTEKE       ,M,42,SC,IND,1086
23202,Maharashtra,2014,63,11,ARJUNI-MORGAON,SC,ENGG.DILIPKUMAR LALDAS WALDE   ,M,35,SC,IND,733
23203,Maharashtra,2014,63,12,ARJUNI-MORGAON,SC,SHENDE MAHESH TARACHAND        ,M,36,SC,IND,671
23204,Maharashtra,2014,63,13,ARJUNI-MORGAON,SC,DHANPAL MITHU RAMTEKE          ,M,45,SC,BBM,503
23205,Maharashtra,2014,63,14,ARJUNI-MORGAON,SC,GADPAL JAGAN ALIAS JAYESH BARSUJI,M,62,SC,IND,288
