ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
940,Maharashtra,1962,205,1,ARMORI,GEN,MHASHAKHETRI JAGANNATH TEMSAJI,M,,,INC,23500
941,Maharashtra,1962,205,2,ARMORI,GEN,KOSARE HIRAMAN LAHANU,M,,,REP,14692
1861,Maharashtra,1967,140,1,ARMORI,ST,D. V. NARNAVARE,M,,,INC,15707
1862,Maharashtra,1967,140,2,ARMORI,ST,N. S. UIKEY,M,,,SSP,13601
1863,Maharashtra,1967,140,3,ARMORI,ST,RAJA F. S. SAYAM,M,,,IND,10148
3061,Maharashtra,1972,140,1,ARMORI,ST,MADAVI BABURAO NARAYAN,M,,,INC,31439
3062,Maharashtra,1972,140,2,ARMORI,ST,SUKHDEOBABU WUYEEKE,M,,,SOP,8692
3063,Maharashtra,1972,140,3,ARMORI,ST,HIRAMAN BENDUJI WARKHADE,M,,ST,IND,4028
4566,Maharashtra,1978,151,1,ARMORI,ST,NARNAWARE DINAJI VITHOBAJI,M,,,IND,30374
4567,Maharashtra,1978,151,2,ARMORI,ST,WEAKEY SUKHADEOBABU PUNDALIK,M,,,IND,19384
4568,Maharashtra,1978,151,3,ARMORI,ST,MADAVI BABURAO NARAYAN,M,,,INC,12873
4569,Maharashtra,1978,151,4,ARMORI,ST,MARKAM RAJENDRA SINGH SHAMSUNDER SINGH THAKUR,M,,,IND,2322
4570,Maharashtra,1978,151,5,ARMORI,ST,WARDHADE KESHAV DOMA,M,,,IND,342
6252,Maharashtra,1980,151,1,ARMORI,ST,MADAVI BABURAO NARAYAN,M,,,INC,31352
6253,Maharashtra,1980,151,2,ARMORI,ST,PRADHAN KRUSHNARAO BAPU BHAGIRATH BAPU,M,,,INC(U),9389
6254,Maharashtra,1980,151,3,ARMORI,ST,WEAKEY SUKHADEOBABOO PUNDALIK,M,,,JNP,6886
8242,Maharashtra,1985,151,1,ARMORI,ST,WEEKEY SUKHDEBBABU PUNDLIK,M,,,ICS,50356
8243,Maharashtra,1985,151,2,ARMORI,ST,MADAVI BABURAO NARAYAN,M,,,INC,18895
8244,Maharashtra,1985,151,3,ARMORI,ST,GENDAM GANESH HIRAMAN,M,,,RPK,4341
11225,Maharashtra,1990,151,1,ARMORI,ST,WARKHEDE HARIRAM ATMARAM,M,46,ST,SHS,36518
11226,Maharashtra,1990,151,2,ARMORI,ST,WEAKEY SUKHADEOBABU PUNDALIK,M,,,INC,28681
11227,Maharashtra,1990,151,3,ARMORI,ST,MARKAM RAJENDRASINGH SHYAMSUNDERSINGH THAKUR,M,,,JD,13613
11228,Maharashtra,1990,151,4,ARMORI,ST,USENDI MUKHARU SUNDERSHA,M,,,IND,3436
11229,Maharashtra,1990,151,5,ARMORI,ST,RAUT KESHAW HIRAMAN,M,,,IND,981
11230,Maharashtra,1990,151,6,ARMORI,ST,TARAM SITARAM MADHO,M,,,IND,963
11231,Maharashtra,1990,151,7,ARMORI,ST,PENDAM PARASRAM MANGARUJI,M,,,IND,686
11232,Maharashtra,1990,151,8,ARMORI,ST,WARKHADE KESHAO DOMAJI,M,,,IND,167
