ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
977,Maharashtra,1962,214,1,ARVI,GEN,NARAYANRAO RAJERAMJI KALE,M,,,IND,26337
978,Maharashtra,1962,214,2,ARVI,GEN,MAHADEO TUKARAM THAKRE,M,,,INC,25156
979,Maharashtra,1962,214,3,ARVI,GEN,BHAGWANT ZITRUJI BABHALE,M,,,REP,7247
980,Maharashtra,1962,214,4,ARVI,GEN,BALIRAMJI JAIRAMJI JALIT,M,,,IND,4590
981,Maharashtra,1962,214,5,ARVI,GEN,HANSRAJ HARISING JADHAO,M,,,IND,3813
1708,Maharashtra,1967,117,1,ARVI,GEN,J.G. KADAM,M,,,INC,29537
1709,Maharashtra,1967,117,2,ARVI,GEN,Z.Z. DAHAKE,M,,,IND,18562
1710,Maharashtra,1967,117,3,ARVI,GEN,V.T. MESHRAM,M,,,IND,16596
1711,Maharashtra,1967,117,4,ARVI,GEN,G.T. DONGRE,M,,,IND,2664
1712,Maharashtra,1967,117,5,ARVI,GEN,H.H. JADHAD,M,,,IND,976
2912,Maharashtra,1972,117,1,ARVI,GEN,DHAIRYASHILRAO VINAYAKRAO,M,,,IND,37485
2913,Maharashtra,1972,117,2,ARVI,GEN,B. M. DESHMUKH,M,,,INC,27772
2914,Maharashtra,1972,117,3,ARVI,GEN,B. SURYABHANJI DHAREPURE,M,,,IND,7657
2915,Maharashtra,1972,117,4,ARVI,GEN,VITHALRAO TUKARAM MESHRAM,M,,,IND,2669
2916,Maharashtra,1972,117,5,ARVI,GEN,M. RAO PANDURANG GOMKALE,M,,,IND,335
2917,Maharashtra,1972,117,6,ARVI,GEN,A. H. SHAIKH IBRAHIM,M,,,IND,78
4367,Maharashtra,1978,127,1,ARVI,GEN,CHUDIWALA SHIVCHAND GOWARDHANDAS,M,,,IND,64168
4368,Maharashtra,1978,127,2,ARVI,GEN,WAGH DHAIRYASHILRAO VINAYAKRAO,M,,,JNP,11890
4369,Maharashtra,1978,127,3,ARVI,GEN,MOHOD VISHWANATHJI YADAVRAO,M,,,INC,9981
4370,Maharashtra,1978,127,4,ARVI,GEN,ATRAM PUNJABRAO CHHANUJI,M,,,IND,1741
4371,Maharashtra,1978,127,5,ARVI,GEN,MESHRAM VITHALRAO TUKARAM,M,,,IND,1018
4372,Maharashtra,1978,127,6,ARVI,GEN,ABDUL HAFIZ SHEKH IBRAHIM,M,,,IND,659
4373,Maharashtra,1978,127,7,ARVI,GEN,BORADE KASHINATH NATHUJI,M,,,IND,585
4374,Maharashtra,1978,127,8,ARVI,GEN,SAHADEO SHANKARRAO BHURAJI,M,,,IND,432
6110,Maharashtra,1980,127,1,ARVI,GEN,CHUDIWALA SHIVCHAND GOWARDHANDAS,M,,,INC,44859
6111,Maharashtra,1980,127,2,ARVI,GEN,KALA SHARAD DADARAO,M,,,INC(U),22472
