ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1056,Maharashtra,1962,234,1,AUSA,GEN,MALLANATH GUNDANATH,M,,,PWP,25296
1057,Maharashtra,1962,234,2,AUSA,GEN,DEVISINGH VANETSINGH CHAUHAN,M,,,INC,24872
2099,Maharashtra,1967,196,1,AUSA,GEN,V. S. MUSANDE,M,,,INC,27882
2100,Maharashtra,1967,196,2,AUSA,GEN,M. G. MAHARAJ,M,,,PWP,21994
2101,Maharashtra,1967,196,3,AUSA,GEN,K. G. JADHAV,M,,,BJS,1584
2102,Maharashtra,1967,196,4,AUSA,GEN,H. N. S. HOLIKAR,M,,,IND,940
3324,Maharashtra,1972,196,1,AUSA,GEN,SONWANE KESHAV SITARAM,M,,,INC,44153
3325,Maharashtra,1972,196,2,AUSA,GEN,DINKARRAO FATEPURKAR,M,,,CPI,14216
3326,Maharashtra,1972,196,3,AUSA,GEN,JADHAV KASHINATH GUNAJI,M,,,BJS,2281
4954,Maharashtra,1978,210,1,AUSA,GEN,SONWANE KESHAV SITARAM,M,,,INC,19321
4955,Maharashtra,1978,210,2,AUSA,GEN,PATIL MADHAVRAO SANTARAM,M,,,IND,18393
4956,Maharashtra,1978,210,3,AUSA,GEN,JADHAV KASHINATH GUNAJI,M,,,JNP,11734
4957,Maharashtra,1978,210,4,AUSA,GEN,CHINCHOLIKAR VASANTRAO NANARAO,M,,,INC,6303
4958,Maharashtra,1978,210,5,AUSA,GEN,RACHATTE ( SHETE ) VIRBHADRAPPA MAHADAPPA,M,,,PWP,3407
4959,Maharashtra,1978,210,6,AUSA,GEN,GANGADHAR GOROBA,M,,,IND,2617
4960,Maharashtra,1978,210,7,AUSA,GEN,HASHAMI MAZHARULLAH KHAIRAT ALI,M,,,IND,1915
6570,Maharashtra,1980,210,1,AUSA,GEN,UTGE SHIVSHANKARAPPAN VISHWANATHAPPA,M,,,INC(U),28258
6571,Maharashtra,1980,210,2,AUSA,GEN,PATEL MUJEEBUDDIN ISMAIL SAHEB,M,,,INC,28144
6572,Maharashtra,1980,210,3,AUSA,GEN,DESHPANDE VASANTRAO HANMANTRAO,M,,,BJP,3733
8705,Maharashtra,1985,210,1,AUSA,GEN,JADHAV KISANRAO SAMPATRAO,M,,,ICS,42670
8706,Maharashtra,1985,210,2,AUSA,GEN,UTGE SHIVSHANKARAPPA VISHWANATHAPPA,M,,,INC,28216
8707,Maharashtra,1985,210,3,AUSA,GEN,PAWAR MONOHAR MADHAVRAO,M,,,IND,2560
8708,Maharashtra,1985,210,4,AUSA,GEN,JADHAV MANIK BHIMRAO,M,,,IND,2017
8709,Maharashtra,1985,210,5,AUSA,GEN,SARVADE GANGADHAR GOROBA,M,,,IND,649
8710,Maharashtra,1985,210,6,AUSA,GEN,BANSODE VITHAL BHUNGRAO,M,,,IND,560
8711,Maharashtra,1985,210,7,AUSA,GEN,HASHMI S. MAZARULLA S. KHAIRATALI,M,,,IND,118
12166,Maharashtra,1990,210,1,AUSA,GEN,JADHAV KISANRAO SAMPATRAO,M,,,INC,45272
12167,Maharashtra,1990,210,2,AUSA,GEN,JADHAV SURYABHAN NARAYANRAO,M,,,SHS,17102
12168,Maharashtra,1990,210,3,AUSA,GEN,PATIL CHANDRASHEKHAR KESHVRAO,M,,,IND,16223
12169,Maharashtra,1990,210,4,AUSA,GEN,PATIL MADHAVRAO SANTRAM,M,,,JD,10718
12170,Maharashtra,1990,210,5,AUSA,GEN,UTAGE BHIMASHANKARAPPA SHIVMURTIAPPA,M,,,IND,733
12171,Maharashtra,1990,210,6,AUSA,GEN,CHAVAN BALIRAM SITARAM,M,,,IND,647
12172,Maharashtra,1990,210,7,AUSA,GEN,KSHIRSAGAR SHRIMANT BABURAO,M,,,IND,438
12173,Maharashtra,1990,210,8,AUSA,GEN,JADHAV NARHARI DHENA,M,,,IND,328
12174,Maharashtra,1990,210,9,AUSA,GEN,PATIL RAMESH UTTAM,M,,,DDP,198
12175,Maharashtra,1990,210,10,AUSA,GEN,GAWALI MACHINDRA NARAYAN,M,,,IND,130
12176,Maharashtra,1990,210,11,AUSA,GEN,BUNDGE SAVITA SANTRAM,F,,,IND,118
12177,Maharashtra,1990,210,12,AUSA,GEN,KAMBLE KASHINATH SHIVRAM,M,,,IND,105
12178,Maharashtra,1990,210,13,AUSA,GEN,WAMAN SHIVRAM GHODKE,M,,,IND,85
12179,Maharashtra,1990,210,14,AUSA,GEN,BANKAR RAOSAHEB SHIVRAM,M,,,IND,77
12180,Maharashtra,1990,210,15,AUSA,GEN,THESE SHIDRAMAPPA MADOLAPPA,M,,,IND,54
16662,Maharashtra,1995,210,1,AUSA,GEN,JADHAV KISANRAO SAMPATRAO,M,,,INC,55603
16663,Maharashtra,1995,210,2,AUSA,GEN,JADHAV SURYABHAN NARAYANRAO,M,,,SHS,28084
16664,Maharashtra,1995,210,3,AUSA,GEN,KAKDE SHRIPATI NIVARATI,M,,,IND,23008
16665,Maharashtra,1995,210,4,AUSA,GEN,PATEL HASHAM ISMAIL,M,,,BBMS,9712
16666,Maharashtra,1995,210,5,AUSA,GEN,SHINDE TRIAMBAKRAO ISHWARA,M,,,IND,1798
16667,Maharashtra,1995,210,6,AUSA,GEN,TIKE NAGORAO SHANKAR,M,,,IND,825
16668,Maharashtra,1995,210,7,AUSA,GEN,RACHATTE SUBHASH VIRBHDRAPPA,M,,,PWP,615
16669,Maharashtra,1995,210,8,AUSA,GEN,RATHOD PRASHANT BHIMRAO,M,,,IND,552
16670,Maharashtra,1995,210,9,AUSA,GEN,SALUNKE KISHAN NAGORAO,M,,,IND,360
16671,Maharashtra,1995,210,10,AUSA,GEN,SURWASE LAXMAN GOPAL,M,,,IND,303
16672,Maharashtra,1995,210,11,AUSA,GEN,BHOSLE PRATAP PHUL CHAND,M,,,IND,215
16673,Maharashtra,1995,210,12,AUSA,GEN,KAKDE RAM NIVARATI,M,,,IND,195
16674,Maharashtra,1995,210,13,AUSA,GEN,BANSODE ASHOK NIVARATI,M,,,IND,143
16675,Maharashtra,1995,210,14,AUSA,GEN,BODKE RAOSAHEB RAMRAO,M,,,IND,130
19196,Maharashtra,1999,210,1,AUSA,GEN,DINKAR BABURAO MANE   ,M,37,GEN,SHS,41052
19197,Maharashtra,1999,210,2,AUSA,GEN,PATEL MUJEEBUDDIN ISMAIL SAHEB,M,,,INC,35243
19198,Maharashtra,1999,210,3,AUSA,GEN,JADHAV KISANRAO SAMPATRAO,M,,,NCP,27279
19199,Maharashtra,1999,210,4,AUSA,GEN,ARAB ASLAMBIN TALABSAHEB,M,,,IND,3692
19200,Maharashtra,1999,210,5,AUSA,GEN,JADHAV ANKUSH NAMDEO,M,,,IND,753
19201,Maharashtra,1999,210,6,AUSA,GEN,UGALE VASANTRAO VISHWANATH,M,,,IND,569
19202,Maharashtra,1999,210,7,AUSA,GEN,KOLHALE SHIVAJI NIVRUTI,M,,,IND,419
19203,Maharashtra,1999,210,8,AUSA,GEN,PAWAR SURESH SOPANRAO,M,,,IND,251
19204,Maharashtra,1999,210,9,AUSA,GEN,SALUNKE VENKET PANDU,M,,,IND,90
21764,Maharashtra,2004,210,9,AUSA,GEN,SUNIL RAMBHAU KAMBLE,M,37,SC,PRCP,225
21765,Maharashtra,2004,210,6,AUSA,GEN,PATIL MANOHAR ANANDRAO,M,38,GEN,IND,931
21766,Maharashtra,2004,210,2,AUSA,GEN,PATIL SHESHERAO TRIMBAKRAO,M,31,GEN,INC,49865
21767,Maharashtra,2004,210,4,AUSA,GEN,GHADAGE RAMRAO KISHANRAO,M,61,GEN,IND,3515
21768,Maharashtra,2004,210,7,AUSA,GEN,SURWASE SHIVAJI BABURAO,M,34,GEN,PWPI,651
21769,Maharashtra,2004,210,3,AUSA,GEN,SONTAKKE SHRIDHARRAO,M,36,GEN,BSP,6493
21770,Maharashtra,2004,210,1,AUSA,GEN,DINKAR BABURAO MANE   ,M,42,GEN,SHS,71324
21771,Maharashtra,2004,210,5,AUSA,GEN,YEVALE SHRIMANTH ARJUN,M,55,GEN,IND,1509
21772,Maharashtra,2004,210,8,AUSA,GEN,THORAT AMARDEEP SOPANRAO,M,39,GEN,RPI,366
25417,Maharashtra,2009,239,1,AUSA,GEN,BASAVRAJ MADHAVRAO PATIL    ,M,53,GEN,INC,84526
25418,Maharashtra,2009,239,2,AUSA,GEN,DINKAR BABURAO MANE   ,M,48,GEN,SHS,69731
25419,Maharashtra,2009,239,3,AUSA,GEN,SURYAWANSHI SHRIKANT,M,32,GEN,IND,3308
25420,Maharashtra,2009,239,4,AUSA,GEN,DAYANAND DNYANDEO,M,47,GEN,MNS,3271
25421,Maharashtra,2009,239,5,AUSA,GEN,ADV. GOVIND TRIMBAKRAO,M,25,GEN,SVRP,2344
25422,Maharashtra,2009,239,6,AUSA,GEN,LOHAR SATISH VISHWANATH,M,37,GEN,IND,1495
25423,Maharashtra,2009,239,7,AUSA,GEN,KAMBLE DHANRAJ VITHOBA,M,35,SC,IND,594
25424,Maharashtra,2009,239,8,AUSA,GEN,RUIKAR MANSOOR,M,31,GEN,IND,481
25425,Maharashtra,2009,239,9,AUSA,GEN,PATIL VYANKATRAO,M,65,GEN,IND,354
