ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
795,Maharashtra,1962,179,1,BADNERA,GEN,PURUSHOTTAM KASHIRAO DESHMUKH,M,,,INC,21025
796,Maharashtra,1962,179,2,BADNERA,GEN,SUKHADEORAO PHAGOJI TIDKE,M,,,REP,15941
797,Maharashtra,1962,179,3,BADNERA,GEN,PUNDLIKRAO SURYABHAN EPUKAR,M,,,IND,7855
798,Maharashtra,1962,179,4,BADNERA,GEN,JAIKUMAR MOTISA SAHARKAR,M,,,IND,2783
799,Maharashtra,1962,179,5,BADNERA,GEN,SHRIRAM RAMDAS UMEKAR,M,,,JS,2181
800,Maharashtra,1962,179,6,BADNERA,GEN,N. K. GHARJARE,M,,,IND,1262
801,Maharashtra,1962,179,7,BADNERA,GEN,HARISCHANDAJI RADHAKISAN KANODIYA,M,,,IND,391
802,Maharashtra,1962,179,8,BADNERA,GEN,EKNATH MAHADEORAO JADHAO,M,,,IND,293
1699,Maharashtra,1967,115,1,BADNERA,GEN,K.B. SHRUNGARE,M,,,RPI,31744
1700,Maharashtra,1967,115,2,BADNERA,GEN,P.K. DESHMUKH,M,,,INC,23091
1701,Maharashtra,1967,115,3,BADNERA,GEN,P.G. DEO,M,,,BJS,2977
1702,Maharashtra,1967,115,4,BADNERA,GEN,Y.B. KHANDARE,M,,,IND,1902
1703,Maharashtra,1967,115,5,BADNERA,GEN,R. KANODIA,M,,,PSP,351
2894,Maharashtra,1972,115,1,BADNERA,GEN,PURUSHOTTAM K. DESHMUKH,M,,,INC,41649
2895,Maharashtra,1972,115,2,BADNERA,GEN,KRISHN RAO B. SHRUNNGARE,M,,,RPI,12019
2896,Maharashtra,1972,115,3,BADNERA,GEN,DATTATRAYA T. CHAUDHARI,M,,,CPI,7313
2897,Maharashtra,1972,115,4,BADNERA,GEN,NILKANTH MAKARAM GAJBHIYE,M,,,IND,1674
2898,Maharashtra,1972,115,5,BADNERA,GEN,SUKHDEO FAGOJI TIDKE,M,,,RPK,1620
2899,Maharashtra,1972,115,6,BADNERA,GEN,WAGHAMARE SUDAM AKAJI,M,,,IND,1273
2900,Maharashtra,1972,115,7,BADNERA,GEN,YADAO SITARAM WATH,M,,,BJS,1233
2901,Maharashtra,1972,115,8,BADNERA,GEN,AMBULKAR PRALHAD GANPAT,M,,,IND,212
2902,Maharashtra,1972,115,9,BADNERA,GEN,HARIBHAU ZAWARAJI BRAHMNE,M,,,IND,73
4350,Maharashtra,1978,125,1,BADNERA,GEN,YADAO MANGALDAS BHOLARAM,M,,,INC,40828
4351,Maharashtra,1978,125,2,BADNERA,GEN,DHEPE PRAVIN PANJAB,M,,,IND,11908
4352,Maharashtra,1978,125,3,BADNERA,GEN,NANNAWARE GAJANAN DEWAJI,M,,,RPK,7999
4353,Maharashtra,1978,125,4,BADNERA,GEN,DIWANJI BHALCHANDRA KRUSHNARAO,M,,,CPI,4614
4354,Maharashtra,1978,125,5,BADNERA,GEN,SHRUNGARE KRISHNARAO BHANUJI,M,,,RPI,2643
4355,Maharashtra,1978,125,6,BADNERA,GEN,DHARIA J.M.,M,,,IND,591
4356,Maharashtra,1978,125,7,BADNERA,GEN,KHANDARE YESHWANTRAO BAPUJI,M,,,IND,587
4357,Maharashtra,1978,125,8,BADNERA,GEN,GUDAGHE KISHAN MAROTRAO,M,,,IND,186
6097,Maharashtra,1980,125,1,BADNERA,GEN,MEGHE RAM KRISHNARAO,M,,,INC,26380
6098,Maharashtra,1980,125,2,BADNERA,GEN,TIKHILE RAMDAS CHAMPATRAO,M,,,INC(U),8632
