ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
768,Maharashtra,1962,173,1,BALAPUR,GEN,SHRIRAM HARIBHAU MANKAR,M,,,IND,25173
769,Maharashtra,1962,173,2,BALAPUR,GEN,KAZI SYED GAYASUDDIN SYED NASIRUDDIN,M,,,INC,19561
770,Maharashtra,1962,173,3,BALAPUR,GEN,SAMPAT JAMUJI WANKHEDE,M,,,IND,1583
1651,Maharashtra,1967,104,1,BALAPUR,GEN,M. A. VIRALE,M,,,INC,28690
1652,Maharashtra,1967,104,2,BALAPUR,GEN,S. H. MANKAR,M,,,RPI,14888
1653,Maharashtra,1967,104,3,BALAPUR,GEN,B. A. INGLE,M,,,IND,8557
1654,Maharashtra,1967,104,4,BALAPUR,GEN,B. K. TAYDE,M,,,IND,1339
2853,Maharashtra,1972,104,1,BALAPUR,GEN,GOVINDRAO S. SARNAYAK,M,,,INC,36832
2854,Maharashtra,1972,104,2,BALAPUR,GEN,ANANDRAO S. BHUSKUTE,M,,,IND,9859
2855,Maharashtra,1972,104,3,BALAPUR,GEN,VISHWANATH KWANKHADE,M,,,RPI,6118
4249,Maharashtra,1978,112,1,BALAPUR,GEN,GUJARATHI PRAKASHCHANDRA ALIAS BANDUSETH,M,,,INC,22469
4250,Maharashtra,1978,112,2,BALAPUR,GEN,AKBAR VAKIL SHEIKH ABDAR,M,,,JNP,18434
4251,Maharashtra,1978,112,3,BALAPUR,GEN,VAIRALE MADHUSUDAN ATMARAM,M,,,INC,12523
4252,Maharashtra,1978,112,4,BALAPUR,GEN,KARALE DEVIDAS MAROTIRAO,M,,,PWP,11311
4253,Maharashtra,1978,112,5,BALAPUR,GEN,INGALE NAMDEO SHARWAN,M,,,IND,1353
4254,Maharashtra,1978,112,6,BALAPUR,GEN,INGLE BHAGWANTRAO RAMRAO,M,,,IND,1332
4255,Maharashtra,1978,112,7,BALAPUR,GEN,ANANDRAO AWADHUT MANKAR,M,,,IND,1107
4256,Maharashtra,1978,112,8,BALAPUR,GEN,MOTIRAM KISAN GADAGE,M,,,IND,881
4257,Maharashtra,1978,112,9,BALAPUR,GEN,INGLE WAMAN ARJUN,M,,,IND,464
4258,Maharashtra,1978,112,10,BALAPUR,GEN,GOMASE LAXMAN KISAN,M,,,IND,412
4259,Maharashtra,1978,112,11,BALAPUR,GEN,GAIKWAD TEJRAO GOVINDRAO,M,,,IND,387
6031,Maharashtra,1980,112,1,BALAPUR,GEN,KHODE PRALHADRAO NARAYANRAO,M,,,INC,20039
6032,Maharashtra,1980,112,2,BALAPUR,GEN,KHANDARE SHANKAR RAO SAMBHUJI,M,,,RPK,11739
6033,Maharashtra,1980,112,3,BALAPUR,GEN,AKBAR VAKIL SHEIKH ABDAR,M,,,BJP,10012
6034,Maharashtra,1980,112,4,BALAPUR,GEN,DR. TIRUKH DEVIDAS NAMDEO,M,,,INC(U),9758
6035,Maharashtra,1980,112,5,BALAPUR,GEN,GADGIL CHANDRASHEKAR SHAMBHURAO,M,,,IND,3008
6036,Maharashtra,1980,112,6,BALAPUR,GEN,NAWAKAR NAMDEORAO GANPAT,M,,,IND,1135
6037,Maharashtra,1980,112,7,BALAPUR,GEN,GUJRATHI PRAKASHCHANDRA NATHULAL,M,,,IND,911
6038,Maharashtra,1980,112,8,BALAPUR,GEN,KANJARKAR PRAKASH BHASKARRAO,M,,,IND,412
6039,Maharashtra,1980,112,9,BALAPUR,GEN,MANKIKAR LAXMIKANT KHUSHALRAO,M,,,IND,241
7886,Maharashtra,1985,112,1,BALAPUR,GEN,KHOTRE GOWARDHAN JANADAN,M,,,INC,29207
7887,Maharashtra,1985,112,2,BALAPUR,GEN,ABDULLAHA KHAN MANZER MANWERKHAN,M,,,IND,24206
7888,Maharashtra,1985,112,3,BALAPUR,GEN,DESHMUKH VASANTRAO BAPURAO,M,,,BJP,19395
7889,Maharashtra,1985,112,4,BALAPUR,GEN,GHATOL SHIVLAL SUKHADEO,M,,,IND,697
7890,Maharashtra,1985,112,5,BALAPUR,GEN,TRILOKINATH RAMESHI ROMANI MISHRA,M,,,IND,315
7891,Maharashtra,1985,112,6,BALAPUR,GEN,MAHESH VARTHE,M,,,RPI,254
7892,Maharashtra,1985,112,7,BALAPUR,GEN,PRAKASH BHASKARRAO KANZARKAR,M,,,IND,246
7893,Maharashtra,1985,112,8,BALAPUR,GEN,BADGE PRAMOD PRALHAD,M,,,IND,85
