ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
23292,Maharashtra,2009,72,1,BALLARPUR,GEN,MUNGANTIWAR SUDHIR,M,47,GEN,BJP,86196
23293,Maharashtra,2009,72,2,BALLARPUR,GEN,PUGLIYA RAHUL NARESH,M,32,GEN,INC,61460
23294,Maharashtra,2009,72,3,BALLARPUR,GEN,VINOD GAJANAN AHIRKAR,M,40,GEN,IND,10921
23295,Maharashtra,2009,72,4,BALLARPUR,GEN,DR. PODDAR AMAL SATISH,M,49,GEN,BSP,10245
23296,Maharashtra,2009,72,5,BALLARPUR,GEN,THULKAR BHARAT SOMAJI,M,55,SC,IND,1701
23297,Maharashtra,2009,72,6,BALLARPUR,GEN,DEODATTA HANSRAJ,M,51,SC,RPI(A),1580
23298,Maharashtra,2009,72,7,BALLARPUR,GEN,NASHIKRAO RAMCHANDRA,M,58,SC,IND,591
23299,Maharashtra,2009,72,8,BALLARPUR,GEN,MUKUNDARAO GOVINDA,M,49,ST,GGP,585
23300,Maharashtra,2014,72,1,BALLARPUR,GEN,MUNGANTIWAR SUDHIR,M,52,GEN,BJP,103718
23301,Maharashtra,2014,72,2,BALLARPUR,GEN,MULCHANDANI GHANSHYAM KHUSHIMAL,M,53,GEN,INC,60118
23302,Maharashtra,2014,72,3,BALLARPUR,GEN,SINGH RAJESH DURGASINGH,M,42,GEN,BSP,10344
23303,Maharashtra,2014,72,4,BALLARPUR,GEN,MANOJ DHARMA ATRAM,M,31,ST,GGP,6838
23304,Maharashtra,2014,72,5,BALLARPUR,GEN,KESHAVRAO BENIRAM KATRE,M,42,GEN,SHS,2555
23305,Maharashtra,2014,72,6,BALLARPUR,GEN,ADV. HARSHAL KUMAR CHIPLUNKAR,F,30,GEN,MNS,1964
23306,Maharashtra,2014,72,7,BALLARPUR,GEN,WAMAN DAUJI ZHADE,M,68,GEN,NCP,1867
23307,Maharashtra,2014,72,8,BALLARPUR,GEN,PRO. DAHIWADE RAMESHCHANDRA DATTATRAY,M,65,GEN,CPM,1571
23308,Maharashtra,2014,72,9,BALLARPUR,GEN,None of the Above,,,NOTA,NOTA,0.71
23309,Maharashtra,2014,72,10,BALLARPUR,GEN,PRAJYOT DEVIDAS NALE,M,46,GEN,IND,1089
23310,Maharashtra,2014,72,11,BALLARPUR,GEN,MANDADE RAJU NETAJI,M,41,GEN,BMUP,973
23311,Maharashtra,2014,72,12,BALLARPUR,GEN,WASUDEO PARSHURAM PIPRE,M,44,GEN,IND,788
23312,Maharashtra,2014,72,13,BALLARPUR,GEN,ADV. ANAND SIKANDAR LAKDE,M,39,SC,APOI,750
23313,Maharashtra,2014,72,14,BALLARPUR,GEN,SANJAY NILKANTH GAWANDE,M,50,SC,IND,628
23314,Maharashtra,2014,72,15,BALLARPUR,GEN,SANTOSH MUKA RAMTEKE,M,65,SC,RP(K),563
23315,Maharashtra,2014,72,16,BALLARPUR,GEN,VANDANA AJAY CHAVHAN,F,39,SC,RPI,452
