ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
242,Maharashtra,1962,51,1,BARAMATI,GEN,MALATIBAI MADHAVRAO SHIROLE,F,,,INC,14751
243,Maharashtra,1962,51,2,BARAMATI,GEN,MANSING MURLIDHAR TULE,M,,,PSP,5553
244,Maharashtra,1962,51,3,BARAMATI,GEN,JIJABA NANASAHEB GAVADE,M,,,PWP,4378
245,Maharashtra,1962,51,4,BARAMATI,GEN,VITHAL RAMCHANDRA SONAWALE,M,,,IND,3512
246,Maharashtra,1962,51,5,BARAMATI,GEN,ANNASAHEB NANASAHEB BHAPKAR,M,,,IND,1459
247,Maharashtra,1962,51,6,BARAMATI,GEN,DATTATRAY PIRAJI LONKAR,M,,,IND,949
248,Maharashtra,1962,51,7,BARAMATI,GEN,BABURAO PANDURANG HUMBRE,M,,,IND,874
2283,Maharashtra,1967,239,1,BARAMATI,GEN,PAWAR SHARADCHANDRA GOVINDRAO,M,,,INC,34160
2284,Maharashtra,1967,239,2,BARAMATI,GEN,B. S. KAKADE,M,,,PWP,17801
2285,Maharashtra,1967,239,3,BARAMATI,GEN,H. C. NAIDU,M,,,PSP,1706
2286,Maharashtra,1967,239,4,BARAMATI,GEN,J. N. GAVADE,M,,,IND,471
3484,Maharashtra,1972,239,1,BARAMATI,GEN,PAWAR SHARADCHANDRA GOVINDRAO,M,,,INC,49874
3485,Maharashtra,1972,239,2,BARAMATI,GEN,MORE VIJAYRAO HANMANTRAO,M,,,SOP,12401
3486,Maharashtra,1972,239,3,BARAMATI,GEN,SALAVE DADU PHULAJI,M,,,RPI,2451
3487,Maharashtra,1972,239,4,BARAMATI,GEN,KALE ARUNRAO RAMCHANDRA,M,,,BJS,808
3488,Maharashtra,1972,239,5,BARAMATI,GEN,SAHEBRAO KASHINATH PAWAR,M,,,IND,523
5212,Maharashtra,1978,255,1,BARAMATI,GEN,PAWAR SHARADCHANDRA GOVINDRAO,M,,,INC,49685
5213,Maharashtra,1978,255,2,BARAMATI,GEN,MORE VIJAY HANUMANTRAO,M,,,JNP,31047
5214,Maharashtra,1978,255,3,BARAMATI,GEN,TAKAWANE SHIVAJIRAO BALWANTRAO,M,,,IND,785
5215,Maharashtra,1978,255,4,BARAMATI,GEN,GAIKWAD ARVIND BAPURAO,M,,,IND,719
5216,Maharashtra,1978,255,5,BARAMATI,GEN,CHAVAN BAYAJI NARAYAN,M,,,IND,627
6800,Maharashtra,1980,255,1,BARAMATI,GEN,PAWAR SHARADCHANDRA GOVINDRAO,M,,,INC(U),54919
6801,Maharashtra,1980,255,2,BARAMATI,GEN,CHOPADE MARUTRAO DHONDIBA,M,,,INC,26550
6802,Maharashtra,1980,255,3,BARAMATI,GEN,AGHOR RAMCHANDRA PURUSHOTTAM,M,,,IND,296
6803,Maharashtra,1980,255,4,BARAMATI,GEN,PARANJAPE BALKRISHNA BHASKAR,M,,,IND,290
6804,Maharashtra,1980,255,5,BARAMATI,GEN,VISHVANATH KESHAV BHOSALE,M,,,IND,153
9008,Maharashtra,1985,255,1,BARAMATI,GEN,PAWAR SHARADCHANDRA GOVINDRAO,M,,,ICS,53545
9009,Maharashtra,1985,255,2,BARAMATI,GEN,KAKADE SHAHAJIRAJE MUGUTRAO,M,,,INC,35501
9010,Maharashtra,1985,255,3,BARAMATI,GEN,KOKARE HANUMANT KHANDERAO,M,,,IND,892
9011,Maharashtra,1985,255,4,BARAMATI,GEN,OHOL BHAUSAHEB VAKOBA,M,,,RPI,450
9012,Maharashtra,1985,255,5,BARAMATI,GEN,MANE RUKHMINI RANGHNATH,F,,,IND,273
9013,Maharashtra,1985,255,6,BARAMATI,GEN,SHELKE KISANRAO DHONDIBA,M,,,IND,198
9014,Maharashtra,1985,255,7,BARAMATI,GEN,ATOLE MARUTI ABA,M,,,IND,129
9015,Maharashtra,1985,255,8,BARAMATI,GEN,BAGWAN ABDUL KARIM HASANBHAI,M,,,IND,105
9016,Maharashtra,1985,255,9,BARAMATI,GEN,AGHOR RAMCHANDRA PURUSHOTTAM,M,,,IND,103
9017,Maharashtra,1985,255,10,BARAMATI,GEN,SABLE BHARAT SIDRAM,M,,,IND,81
12675,Maharashtra,1990,255,1,BARAMATI,GEN,PAWAR SHARADCHANDRA GOVINDRAO,M,,,INC,102066
12676,Maharashtra,1990,255,2,BARAMATI,GEN,CHOPADE MARUTRAO DHONDIBA,M,,,IND,13843
12677,Maharashtra,1990,255,3,BARAMATI,GEN,PALIWAL NANDLAL AMBARCHAND,M,,,IND,368
12678,Maharashtra,1990,255,4,BARAMATI,GEN,BHAGAT MADHUKAR JYOTIBA,M,,,IND,332
12679,Maharashtra,1990,255,5,BARAMATI,GEN,YADAV MUKHINATH SUMCHAN,M,,,IND,284
