ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
469,Maharashtra,1962,106,1,BARSI,GEN,PRABHATAI SHANKARRAO ZADBUKE,F,,,INC,32757
470,Maharashtra,1962,106,2,BARSI,GEN,NARSHING TATYA DESHMUKH,M,,,IND,7332
471,Maharashtra,1962,106,3,BARSI,GEN,RAMCHANDRA GENUJI KHANDALE,M,,,REP,5112
472,Maharashtra,1962,106,4,BARSI,GEN,CHANDMAL AMARCHAND GUGALE,M,,,IND,3021
473,Maharashtra,1962,106,5,BARSI,GEN,KRISHNA BANDU DAMARE,M,,,IND,970
474,Maharashtra,1962,106,6,BARSI,GEN,BAJARANG TATYABA NALWADE,M,,,IND,949
475,Maharashtra,1962,106,7,BARSI,GEN,NANA GOPAL PAGARE,M,,,IND,196
476,Maharashtra,1962,106,8,BARSI,GEN,BALBHIM DADA BARIDE,M,,,IND,111
2145,Maharashtra,1967,207,1,BARSI,GEN,P. S.ZADBUKE,F,,,INC,27161
2146,Maharashtra,1967,207,2,BARSI,GEN,P. P. SURANA,M,,,SSP,21369
2147,Maharashtra,1967,207,3,BARSI,GEN,B. T. NALWADE,M,,,IND,1439
2148,Maharashtra,1967,207,4,BARSI,GEN,V. D. KULKARNI,M,,,BJS,634
3363,Maharashtra,1972,207,1,BARSI,GEN,SHAILAJA SHITOLE,M,,,INC,30743
3364,Maharashtra,1972,207,2,BARSI,GEN,PATIL DNYANESHWAR TATYABA,M,,,PWP,26926
3365,Maharashtra,1972,207,3,BARSI,GEN,PAWAR RAMBHAU ABA,M,,,HMS,951
3366,Maharashtra,1972,207,4,BARSI,GEN,ALATMADHUKAR NAGNATH,M,,,BJS,793
5022,Maharashtra,1978,221,1,BARSHI,GEN,DESHMUKH KRISHNARAO NANASAHEB,M,,,INC,34859
5023,Maharashtra,1978,221,2,BARSHI,GEN,SURANA PANNALAL PREMRAJ,M,,,JNP,29067
5024,Maharashtra,1978,221,3,BARSHI,GEN,PATIL DNYANESHWAR TATYABA,M,,,PWP,3499
5025,Maharashtra,1978,221,4,BARSHI,GEN,PAWAR RAMBHAU ABBA,M,,,IND,772
5026,Maharashtra,1978,221,5,BARSHI,GEN,NALWADE BAJRANG TATYABA,M,,,IND,704
6624,Maharashtra,1980,221,1,BARSHI,GEN,NARKE BABURAO MAHADEO,M,,,INC,32455
6625,Maharashtra,1980,221,2,BARSHI,GEN,BARBOLE ARJUN AMBRUSHI,M,,,INC(U),30195
