ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
873,Maharashtra,1962,193,1,BHANDARA,GEN,DADA DA JIBAJI DHOTE,M,,,INC,17855
874,Maharashtra,1962,193,2,BHANDARA,GEN,SADANAND MANGALRAM RAMTEKE,M,,,REP,11364
875,Maharashtra,1962,193,3,BHANDARA,GEN,SAKHARAM BALAJI PARSHODKAR,M,,,IND,9780
876,Maharashtra,1962,193,4,BHANDARA,GEN,BHASKARRAO BALIRAM NINAWE,M,,,JS,3358
1815,Maharashtra,1967,132,1,BHANDARA,GEN,D. D. DHOTE,M,,,IND,27915
1816,Maharashtra,1967,132,2,BHANDARA,GEN,N. K. TIRAPUDE,M,,,INC,21608
1817,Maharashtra,1967,132,3,BHANDARA,GEN,H. A. KHOBARAGADE,M,,,RPI,8681
1818,Maharashtra,1967,132,4,BHANDARA,GEN,S. B. PARASODKAR,M,,,IND,800
1819,Maharashtra,1967,132,5,BHANDARA,GEN,N. T. HEDAWOO,M,,,BJS,588
1820,Maharashtra,1967,132,6,BHANDARA,GEN,T. H. GOSWAMI,M,,,IND,315
1821,Maharashtra,1967,132,7,BHANDARA,GEN,N. R. PALLIYA,M,,,IND,198
3020,Maharashtra,1972,132,1,BHANDARA,GEN,GOVIND RAMJI SHENDE,M,,,IND,41511
3021,Maharashtra,1972,132,2,BHANDARA,GEN,TIRPUDE N. KHANTADU,M,,,INC,24224
3022,Maharashtra,1972,132,3,BHANDARA,GEN,BANSON BHANUDASJI SEGO,M,,,RPK,3585
3023,Maharashtra,1972,132,4,BHANDARA,GEN,SHRIRAM SURYABHAN JKEY,M,,,RPI,665
4504,Maharashtra,1978,143,1,BHANDARA,GEN,DUBE VITHALPRASAD SITARAM,M,,,INC,30621
4505,Maharashtra,1978,143,2,BHANDARA,GEN,SHENDE GOVINDA (DADA) RAMJI,M,,,INC,22230
4506,Maharashtra,1978,143,3,BHANDARA,GEN,DESHKAR SHALINI MADHUKAR,F,,,JNP,13182
4507,Maharashtra,1978,143,4,BHANDARA,GEN,BHIOGADE ASHOK HARIRAM,M,,,IND,7074
4508,Maharashtra,1978,143,5,BHANDARA,GEN,RAUT MADHUKAR RAMJI,M,,,IND,1153
4509,Maharashtra,1978,143,6,BHANDARA,GEN,PARASORKAR PRABHAKAR SAKHARAMJI,M,,,IND,438
4510,Maharashtra,1978,143,7,BHANDARA,GEN,GOSEWADE DAMODAR RAGHUNATH,M,,,IND,182
