ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
277,Maharashtra,1962,58,1,BHOR,GEN,SHANKAR MAHADEO BHELKE,M,,,INC,23543
278,Maharashtra,1962,58,2,BHOR,GEN,JAYSING PARASHURAM MALI,M,,,IND,7890
279,Maharashtra,1962,58,3,BHOR,GEN,DADASAHEB ANANDRAO RAJESHSHIRKE,M,,,JS,3251
280,Maharashtra,1962,58,4,BHOR,GEN,YADAVRAO KRISHNA KONDE,M,,,PSP,2182
2290,Maharashtra,1967,241,1,BHOR,GEN,S. M. BHELKE,M,,,INC,24888
2291,Maharashtra,1967,241,2,BHOR,GEN,D. A. RAJESHIRKE,M,,,SSP,8983
2292,Maharashtra,1967,241,3,BHOR,GEN,M. K. KAMBALE,M,,,IND,2154
2293,Maharashtra,1967,241,4,BHOR,GEN,B.S. BAPAT,M,,,BJS,1438
3493,Maharashtra,1972,241,1,BHOR,GEN,THOPATE ANANTRAO NARAYAN,M,,,IND,27401
3494,Maharashtra,1972,241,2,BHOR,GEN,CHAUDHARI USHA SHAMKANT,M,,,INC,15425
3495,Maharashtra,1972,241,3,BHOR,GEN,ADSOL KRISHNA NAMDEO,M,,,IND,1991
5223,Maharashtra,1978,257,1,BHOR,GEN,JEDHE SAMPATRAO RAMCHANDRA,M,,,IND,27225
5224,Maharashtra,1978,257,2,BHOR,GEN,ANANTRAO NARAYAN THOPATE,M,,,INC,26727
5225,Maharashtra,1978,257,3,BHOR,GEN,SONAWANE PANDHARINATH SHIVRAM,M,,,IND,8252
5226,Maharashtra,1978,257,4,BHOR,GEN,KUNTE DHONDIRAM BALWANT,M,,,IND,866
5227,Maharashtra,1978,257,5,BHOR,GEN,BHOSALE BHIKAJI TUKARAM,M,,,INC,442
5228,Maharashtra,1978,257,6,BHOR,GEN,AWCHARE BAJIRAO,M,,,IND,424
6809,Maharashtra,1980,257,1,BHOR,GEN,THOPATE ANANTRAO NARAYAN,M,,,INC,33856
6810,Maharashtra,1980,257,2,BHOR,GEN,SAMPATRAO RAMCHANDRA JEDHE,M,,,INC(U),28543
6811,Maharashtra,1980,257,3,BHOR,GEN,SADASHIV BALU KUMBHAR,M,,,IND,732
6812,Maharashtra,1980,257,4,BHOR,GEN,GHADGE NAMDEO PANDURANG,M,,,IND,440
9025,Maharashtra,1985,257,1,BHOR,GEN,ANANTRAO THOPATE,M,,,INC,52038
9026,Maharashtra,1985,257,2,BHOR,GEN,KHATAPE VASANT MARUTI,M,,,ICS,24195
9027,Maharashtra,1985,257,3,BHOR,GEN,KUNTE DHONDIRAM BALWANT,M,,,IND,1261
12692,Maharashtra,1990,257,1,BHOR,GEN,ANANTRAO THOPATE,M,57,GEN,INC,51653
12693,Maharashtra,1990,257,2,BHOR,GEN,MADHAVRAO TAPARE,M,,,IND,21429
12694,Maharashtra,1990,257,3,BHOR,GEN,RAMNANA SONAWANE,M,,,JD,8583
12695,Maharashtra,1990,257,4,BHOR,GEN,WALGUDE MANSING HARIBHAU,M,,,SHS,5561
12696,Maharashtra,1990,257,5,BHOR,GEN,Y. G. ALIAS ABASAHEB SHINDE,M,,,IND,2918
12697,Maharashtra,1990,257,6,BHOR,GEN,KAMBLE RAMESH NANA,M,,,IND,1332
12698,Maharashtra,1990,257,7,BHOR,GEN,KHAN JABBAR MAHITAB,M,,,IND,826
12699,Maharashtra,1990,257,8,BHOR,GEN,GADE UTTAM DINKAR,M,,,IND,714
12700,Maharashtra,1990,257,9,BHOR,GEN,SHAIKH BADSHAH MAHAMAD,M,,,IND,253
12701,Maharashtra,1990,257,10,BHOR,GEN,MALUSARE SURESH LAXMAN,M,,,IND,122
12702,Maharashtra,1990,257,11,BHOR,GEN,POL BHAUSAHEB RAMCHANDRA,M,,,IND,87
17351,Maharashtra,1995,257,1,BHOR,GEN,ANANTRAO THOPATE,M,62,GEN,INC,57055
17352,Maharashtra,1995,257,2,BHOR,GEN,KASHINATH KHUTWAD,M,,,IND,40023
17353,Maharashtra,1995,257,3,BHOR,GEN,SANJAY DATTATRAY JAGTAP,M,,,SHS,5298
17354,Maharashtra,1995,257,4,BHOR,GEN,KAMBALE RAMESH NANA,M,,,IND,1651
17355,Maharashtra,1995,257,5,BHOR,GEN,KHUTWAD BHAGWAN RAMCHANDRA,M,,,IND,1047
17356,Maharashtra,1995,257,6,BHOR,GEN,NALAWADE DATTATRAY LAXMAN,M,,,IND,821
17357,Maharashtra,1995,257,7,BHOR,GEN,GAIKWAD ASHOK SOPAN,M,,,IND,815
17358,Maharashtra,1995,257,8,BHOR,GEN,DNYANOBA SAWALA MARATHE (PATIL),M,,,DDP,306
17359,Maharashtra,1995,257,9,BHOR,GEN,SHAIKH BADSHAH MAHAMMAD,M,,,IND,247
19517,Maharashtra,1999,257,1,BHOR,GEN,KASHINATH KHUTWAD,M,,,NCP,50063
19518,Maharashtra,1999,257,2,BHOR,GEN,ANANTRAO THOPATE,M,66,GEN,INC,41926
19519,Maharashtra,1999,257,3,BHOR,GEN,SHOBHA SHRIKANT PASALKAR,F,,,SHS,4249
19520,Maharashtra,1999,257,4,BHOR,GEN,AMRUTA CHANDRAKANT KAMBLE,M,,,ABHS,392
22148,Maharashtra,2004,257,1,BHOR,GEN,ANANTRAO THOPATE,M,71,GEN,INC,61536
22149,Maharashtra,2004,257,3,BHOR,GEN,ROHIDAS DHONDIBA JADHAV,M,30,SC,PRBP,2299
22150,Maharashtra,2004,257,5,BHOR,GEN,GAIKAWAD SURYAKANT NAMADEO,M,28,SC,BSP,1921
22151,Maharashtra,2004,257,6,BHOR,GEN,MANIKRAO PASALKAR,M,65,GEN,IND,544
22152,Maharashtra,2004,257,2,BHOR,GEN,DHUMAL MANSING KHANDERAO,M,41,GEN,SHS,43102
22153,Maharashtra,2004,257,4,BHOR,GEN,DNYANESHWAR TATYABA SHINDE,M,42,SC,IND,2173
24893,Maharashtra,2009,203,1,BHOR,GEN,SANGRAM ANANTRAO THOPATE,M,31,GEN,INC,59041
24894,Maharashtra,2009,203,2,BHOR,GEN,DHAMALE SHARAD BAJIRAO,M,44,GEN,SHS,40461
24895,Maharashtra,2009,203,3,BHOR,GEN,DHUMAL MANSING KHANDERAO,M,46,GEN,IND,26676
24896,Maharashtra,2009,203,4,BHOR,GEN,DARWATKAR REVANNATH,M,57,GEN,IND,20899
24897,Maharashtra,2009,203,5,BHOR,GEN,GARUDKAR RAVINDRA,M,42,GEN,MNS,14970
24898,Maharashtra,2009,203,6,BHOR,GEN,BALASAHEB RAMDAS,M,39,GEN,IND,14696
24899,Maharashtra,2009,203,7,BHOR,GEN,KADAM SHRIKANT RAGHU,M,41,SC,RPI(A),4611
24900,Maharashtra,2009,203,8,BHOR,GEN,LEKAWALE SANTOSH,M,30,GEN,IND,2771
24901,Maharashtra,2009,203,9,BHOR,GEN,GAIKWAD SATISH NIVRUTTI,M,32,SC,BSP,1472
24902,Maharashtra,2009,203,10,BHOR,GEN,GHARE MORESHWAR,M,29,GEN,IND,1309
24903,Maharashtra,2009,203,11,BHOR,GEN,BHOSALE VIKRAM VILAS,M,25,SC,IND,1262
24904,Maharashtra,2009,203,12,BHOR,GEN,PADALGHARE SUDHAKAR,M,52,GEN,IND,810
24905,Maharashtra,2009,203,13,BHOR,GEN,PATIL RANJIT APPASAHEB,M,28,GEN,IND,766
24906,Maharashtra,2014,203,1,BHOR,GEN,SANGRAM ANANTRAO THOPATE,M,36,GEN,INC,78602
24907,Maharashtra,2014,203,2,BHOR,GEN,KULDIP SUDAM KONDE,M,35,GEN,SHS,59651
24908,Maharashtra,2014,203,3,BHOR,GEN,VIKRAM KASHINATH KHUTWAD,M,32,GEN,NCP,50165
24909,Maharashtra,2014,203,4,BHOR,GEN,DHAMALE SHARAD BAJIRAO,M,49,GEN,BJP,24440
24910,Maharashtra,2014,203,5,BHOR,GEN,None of the Above,,,,NOTA,1740
24911,Maharashtra,2014,203,6,BHOR,GEN,GAIKWAD HARSHAVARDHAN ARJUN,M,28,SC,BSP,1533
24912,Maharashtra,2014,203,7,BHOR,GEN,KALURAM DNYANOBA JADHAV,M,51,GEN,IND,1352
24913,Maharashtra,2014,203,8,BHOR,GEN,DNYANESHWAR BHAGWAN KARALE,M,49,GEN,IND,603
24914,Maharashtra,2014,203,9,BHOR,GEN,PRAKASH MARUTI DAHIBHATE,M,43,GEN,IND,516
