ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
687,Maharashtra,1962,156,1,BHUSAWAL,GEN,DATTATRAYA SENU BHIRUD,M,,,INC,18807
688,Maharashtra,1962,156,2,BHUSAWAL,GEN,VITHAL KAMJI CHOUDHARI,M,,,PSP,9058
689,Maharashtra,1962,156,3,BHUSAWAL,GEN,KASHINATH SHIVRAM SAPKALE,M,,,JS,4088
690,Maharashtra,1962,156,4,BHUSAWAL,GEN,SHRIPAT SHIVRAM SAPKALE,M,,,REP,3408
691,Maharashtra,1962,156,5,BHUSAWAL,GEN,MAKARAND PRASAD KANAHIYA SHUKLA,M,,,SOC,1068
1574,Maharashtra,1967,90,1,BHUSAWAL,GEN,P. S. PHALAK,M,,,INC,28305
1575,Maharashtra,1967,90,2,BHUSAWAL,GEN,K. P. JOSHI,M,,,BJS,11723
1576,Maharashtra,1967,90,3,BHUSAWAL,GEN,S. S. MORE,F,,,RPI,5097
1577,Maharashtra,1967,90,4,BHUSAWAL,GEN,M. G. BHOLE,M,,,PSP,3592
1578,Maharashtra,1967,90,5,BHUSAWAL,GEN,G. T. DEORE,M,,,IND,759
2798,Maharashtra,1972,90,1,BHUSAWAL,GEN,PRABHAKAR SENU MAHAJAN,M,,,INC,37059
2799,Maharashtra,1972,90,2,BHUSAWAL,GEN,KANJI PREMJI JOSHI,M,,,BJS,9075
2800,Maharashtra,1972,90,3,BHUSAWAL,GEN,SATYABHAMABAI MORE,M,,,RPI,4092
4162,Maharashtra,1978,98,1,BHUSAWAL,GEN,BHOLE DEVIDAS NAMDEO,M,,,INC,22341
4163,Maharashtra,1978,98,2,BHUSAWAL,GEN,KHADKE PRAKASH JAGANNATH,M,,,INC,15362
4164,Maharashtra,1978,98,3,BHUSAWAL,GEN,SURWADE KISAN DULA,M,,,IND,14498
4165,Maharashtra,1978,98,4,BHUSAWAL,GEN,CHAUDHARI DAGADU KACHIRAM,M,,,IND,14315
4166,Maharashtra,1978,98,5,BHUSAWAL,GEN,JAIN NARENDRAKUMAR NANHELAL,M,,,IND,814
