ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
937,Maharashtra,1962,204,1,BRAHMAPURI,SC,GOVINDA BIJAJI MESHRAM,M,,,INC,23114
938,Maharashtra,1962,204,2,BRAHMAPURI,SC,NAMDEORAO VISHNUJI NAGDOVATE,M,,,REP,12419
939,Maharashtra,1962,204,3,BRAHMAPURI,SC,SHIORAM LAHU CHAHANDE,M,,,IND,3855
1885,Maharashtra,1967,146,1,BRAHMAPURI,GEN,B. M. GURPUDE,M,,,INC,23125
1886,Maharashtra,1967,146,2,BRAHMAPURI,GEN,S. JANI,M,,,IND,13743
1887,Maharashtra,1967,146,3,BRAHMAPURI,GEN,M. R. KAMBLE,M,,,RPI,11728
1888,Maharashtra,1967,146,4,BRAHMAPURI,GEN,S. B. UIKE BABU,M,,,PSP,6864
1889,Maharashtra,1967,146,5,BRAHMAPURI,GEN,K. S. THENGARE,M,,,IND,4174
1890,Maharashtra,1967,146,6,BRAHMAPURI,GEN,N. V. NAGDEOTE,M,,,IND,565
3087,Maharashtra,1972,146,1,BRAHMAPURI,GEN,GURPUDE BALIRAM MAROTRAO,M,,,INC,30963
3088,Maharashtra,1972,146,2,BRAHMAPURI,GEN,MORANDE NILKANTH GOPALRAO,M,,,IND,14312
3089,Maharashtra,1972,146,3,BRAHMAPURI,GEN,THENGRE NATTHU NARAYAN,M,,,FBL,13760
3090,Maharashtra,1972,146,4,BRAHMAPURI,GEN,NAMDEORAO NAGDEOTE,M,,,RPI,5566
3091,Maharashtra,1972,146,5,BRAHMAPURI,GEN,MEGHARAJ GAIKAWAD,M,,,IND,4289
3092,Maharashtra,1972,146,6,BRAHMAPURI,GEN,THAKRE RAGHUNATH KASHIRAM,M,,,IND,862
4607,Maharashtra,1978,157,1,BRAHMAPURI,GEN,BHENDARKAR BABURAO SHRAWANJI,M,,,INC,54717
4608,Maharashtra,1978,157,2,BRAHMAPURI,GEN,KAMBLE MAROTRAO RAKHADUJI,M,,,RPI,22053
4609,Maharashtra,1978,157,3,BRAHMAPURI,GEN,GURPUDE BALIRAM MAROTRAO,M,,,INC,8072
4610,Maharashtra,1978,157,4,BRAHMAPURI,GEN,THAKRE ANNAJI GOVINDRAO,M,,,IND,3155
4611,Maharashtra,1978,157,5,BRAHMAPURI,GEN,KALE SHANTABAI DAMODHAR,F,,,IND,582
4612,Maharashtra,1978,157,6,BRAHMAPURI,GEN,TUPAT WASUDEO NARAYAN,M,,,IND,576
6278,Maharashtra,1980,157,1,BRAHMAPURI,GEN,KHANORKAR SURESH CHINTAMAN,M,,,IND,57242
6279,Maharashtra,1980,157,2,BRAHMAPURI,GEN,DHAMMANI ABDUL AJIT BHANJIBHAI,M,,,INC,31868
6280,Maharashtra,1980,157,3,BRAHMAPURI,GEN,KHOBRAGADE CHARANDAS PUNDLIK,M,,,IND,2856
6281,Maharashtra,1980,157,4,BRAHMAPURI,GEN,MESHRAM MAHADEO ANTARAM,M,,,IND,570
8285,Maharashtra,1985,157,1,BRAHMAPURI,GEN,KHANORKAR SURESH CHINTAMANRAO,M,,,ICS,41306
8286,Maharashtra,1985,157,2,BRAHMAPURI,GEN,SHRIRAM NANAJI BHOYAR,M,,,IND,25456
8287,Maharashtra,1985,157,3,BRAHMAPURI,GEN,PREMLAL RAMKRUSHNA MESHRAM,M,,,RPI,14244
8288,Maharashtra,1985,157,4,BRAHMAPURI,GEN,JAGNADE DEVIDAS SHESHRAO,M,,,INC,13111
8289,Maharashtra,1985,157,5,BRAHMAPURI,GEN,AMLE KASHINATH VITHOBAJI,M,,,IND,4257
8290,Maharashtra,1985,157,6,BRAHMAPURI,GEN,MESHRAM GAJANAN TULSHIRAM,M,,,IND,796
8291,Maharashtra,1985,157,7,BRAHMAPURI,GEN,BORKUTE HIRACHAND YADOARAO,M,,,IND,535
8292,Maharashtra,1985,157,8,BRAHMAPURI,GEN,BALAKDAS DAJIRAO KHOBRAGADE,M,,,IND,452
11303,Maharashtra,1990,157,1,BRAHMAPURI,GEN,DONADKAR NAMDEO BAKARAM,M,,,SHS,39837
11304,Maharashtra,1990,157,2,BRAHMAPURI,GEN,DESHMUKH SHANTARAM TULSHIRAM,M,,,IND,18905
11305,Maharashtra,1990,157,3,BRAHMAPURI,GEN,KHANORKAR SURESH CHINTAMAN,M,,,ICS(SCS),17111
11306,Maharashtra,1990,157,4,BRAHMAPURI,GEN,MESHRAM PREMLAL RAMKISAN,M,,,RPI,9678
11307,Maharashtra,1990,157,5,BRAHMAPURI,GEN,AMALE KASHINATH VITHOBAJI,M,,,IND,7094
11308,Maharashtra,1990,157,6,BRAHMAPURI,GEN,SIDDHAM ANAND SHRIHARI,M,,,IND,5877
11309,Maharashtra,1990,157,7,BRAHMAPURI,GEN,LADE HARIDAS LAHANUJI,M,,,IND,3924
11310,Maharashtra,1990,157,8,BRAHMAPURI,GEN,WADHAI TUKARAM ZINGU,M,,,IND,3765
11311,Maharashtra,1990,157,9,BRAHMAPURI,GEN,ABHARE SUKRU GOPALA,M,,,IND,2709
11312,Maharashtra,1990,157,10,BRAHMAPURI,GEN,BRAMHANKAR GONVIDRAO KRISHNAJI,M,,,BSP,2057
11313,Maharashtra,1990,157,11,BRAHMAPURI,GEN,DENGE PANDURANG NATTHUJI,M,,,IND,1454
11314,Maharashtra,1990,157,12,BRAHMAPURI,GEN,TARARE GANPAT KASHINATH,M,,,IND,1251
11315,Maharashtra,1990,157,13,BRAHMAPURI,GEN,KHANDALE ASHOK VITHOBA,M,,,IND,846
11316,Maharashtra,1990,157,14,BRAHMAPURI,GEN,BANKAR MAROTRAO DONUJI,M,,,IND,821
11317,Maharashtra,1990,157,15,BRAHMAPURI,GEN,MESHRAM SIDDHARTH RAKHADU,M,,,IND,678
11318,Maharashtra,1990,157,16,BRAHMAPURI,GEN,JESANI SHAKIRALI GULAM ABBAS,M,,,IND,593
11319,Maharashtra,1990,157,17,BRAHMAPURI,GEN,BHAISARE KESHAORAO SITARAM,M,,,IND,375
11320,Maharashtra,1990,157,18,BRAHMAPURI,GEN,TUPPAT BABAN ATMARAM,M,,,IND,332
11321,Maharashtra,1990,157,19,BRAHMAPURI,GEN,SONKUSHARE DAMAYANTI MAHADEO,F,,,IND,213
11322,Maharashtra,1990,157,20,BRAHMAPURI,GEN,PANT CHHABILDAS DIGAMBAR,M,,,IND,189
15631,Maharashtra,1995,157,1,BRAHMAPURI,GEN,KHANORKAR SURESH (BABA) CHINTAMAN,M,,,JD,42525
