ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
707,Maharashtra,1962,161,1,BULDHANA,GEN,INDIRABAI RAMRAO KOTAMBKAR,F,,,INC,18266
708,Maharashtra,1962,161,2,BULDHANA,GEN,DAMODHAR ZIPRA VARHADE,M,,,JS,9465
709,Maharashtra,1962,161,3,BULDHANA,GEN,TUKARAM SHANKAR PATIL,M,,,IND,9196
710,Maharashtra,1962,161,4,BULDHANA,GEN,DHARAMAJI DAGDU INGLE,M,,,REP,4664
711,Maharashtra,1962,161,5,BULDHANA,GEN,PRABHAKAR DAGDU,M,,,IND,2517
1603,Maharashtra,1967,95,1,BULDHANA,GEN,S. S. PATIL,F,,,INC,27016
1604,Maharashtra,1967,95,2,BULDHANA,GEN,A. V. L. SETH,M,,,RPI,18849
1605,Maharashtra,1967,95,3,BULDHANA,GEN,D. Z. WARADE,M,,,BJS,13007
1606,Maharashtra,1967,95,4,BULDHANA,GEN,B. D. BORDE,M,,,IND,715
1607,Maharashtra,1967,95,5,BULDHANA,GEN,R. R. PALASKAR,M,,,SWA,606
2811,Maharashtra,1972,95,1,BULDHANA,GEN,RAMSINGH DEOSINGH BHONDE,M,,,INC,30540
2812,Maharashtra,1972,95,2,BULDHANA,GEN,MURLIDHAR CHANGO PATIL,M,,,IND,20878
2813,Maharashtra,1972,95,3,BULDHANA,GEN,PARVE SADASHIV ASARU,M,,,RPI,3965
2814,Maharashtra,1972,95,4,BULDHANA,GEN,DULICHAND MUNNALAL GUPTA,M,,,NCO,1654
2815,Maharashtra,1972,95,5,BULDHANA,GEN,DATTA GANGARAM HIWALE,M,,,RPK,817
2816,Maharashtra,1972,95,6,BULDHANA,GEN,PALASKAR RAGHUNANDAN RAMKRISWA,M,,,SWA,264
4189,Maharashtra,1978,103,1,BULDHANA,GEN,PATIL SHIVAJIRAO BHIKU,M,,,INC,35503
4190,Maharashtra,1978,103,2,BULDHANA,GEN,PAWAR ATMARAM TOTARAM,M,,,IND,26152
4191,Maharashtra,1978,103,3,BULDHANA,GEN,BHONDE RAMSING DEOSING,M,,,INC,12346
4192,Maharashtra,1978,103,4,BULDHANA,GEN,GUPTA DULICHAND MUNNALAL,M,,,JNP,7240
7805,Maharashtra,1985,103,1,BULDHANA,GEN,PATIL VITHALRAO SONAJI,M,,,INC,36277
7806,Maharashtra,1985,103,2,BULDHANA,GEN,PATIL SUMANBAI SHIVAJIRAO,F,,,ICS,31850
7807,Maharashtra,1985,103,3,BULDHANA,GEN,KHILLARE PUNDLIK KONDUJI,M,,,IND,7075
7808,Maharashtra,1985,103,4,BULDHANA,GEN,MORE BAPU JAIWANT,M,,,IND,5122
7809,Maharashtra,1985,103,5,BULDHANA,GEN,DESHMUKH MADHUKAR SAHEBRAO,M,,,IND,1974
7810,Maharashtra,1985,103,6,BULDHANA,GEN,PALWE ATMARAM DEVAJI,M,,,IND,590
7811,Maharashtra,1985,103,7,BULDHANA,GEN,GAWANDE TARABAI PRALHADRAO,F,,,IND,525
7812,Maharashtra,1985,103,8,BULDHANA,GEN,BAHEKAR KESHEORAO JAIWANTRAO,M,,,IND,465
7813,Maharashtra,1985,103,9,BULDHANA,GEN,UJJAINKAR NARAYAN RAMBHAU,M,,,IND,302
7814,Maharashtra,1985,103,10,BULDHANA,GEN,BEDARKAR LAXMAN SHAMA,M,,,IND,128
10211,Maharashtra,1990,103,1,BULDHANA,GEN,DR. GODE RAJENDRA VYANKATRAO,M,,,SHS,43244
10212,Maharashtra,1990,103,2,BULDHANA,GEN,SHINGANE BHASKARRAO SAMPATRAO,M,,,INC,42478
10213,Maharashtra,1990,103,3,BULDHANA,GEN,BHONDE RAMDAS VITTHAL,M,,,JD,16800
10214,Maharashtra,1990,103,4,BULDHANA,GEN,PUROHIT PREMSUKH MURLIDHAR,M,,,ICS(SCS),1930
10215,Maharashtra,1990,103,5,BULDHANA,GEN,DESHPANDE PADMAKAR RAMDAS,M,,,IND,1424
10216,Maharashtra,1990,103,6,BULDHANA,GEN,KOLTE SHOBHA NAMDEO,M,,,IND,937
10217,Maharashtra,1990,103,7,BULDHANA,GEN,DESHMUKH MADHUKAR SAHIBRAO,M,,,JNP,466
10218,Maharashtra,1990,103,8,BULDHANA,GEN,DANDGE VISHNU YADEO,M,,,IND,391
10219,Maharashtra,1990,103,9,BULDHANA,GEN,BANSOD SUKHDEO GYANUJI,M,,,IND,379
10220,Maharashtra,1990,103,10,BULDHANA,GEN,MORE TUKARAM TULSIRAM,M,,,RPI,368
10221,Maharashtra,1990,103,11,BULDHANA,GEN,JADHAO SHANTARAM EKNATH,M,,,IND,286
10222,Maharashtra,1990,103,12,BULDHANA,GEN,PALVE ATMARAM DEVAJI,M,,,DDP,271
10223,Maharashtra,1990,103,13,BULDHANA,GEN,RATHOD NARSING MANOHAR,M,,,IND,164
10224,Maharashtra,1990,103,14,BULDHANA,GEN,INGLE AMBASDAS RAIBHAN,M,,,IND,159
10225,Maharashtra,1990,103,15,BULDHANA,GEN,PATIL KAMAL ASHRU,F,,,IND,142
10226,Maharashtra,1990,103,16,BULDHANA,GEN,INGLE PRALHAD IREBHAN,M,,,IND,133
10227,Maharashtra,1990,103,17,BULDHANA,GEN,SHAIKH A. GAFFAR SHAIKH MITTU,M,,,IND,96
10228,Maharashtra,1990,103,18,BULDHANA,GEN,PARLEWAR PRABHA MADHUKAR,F,,,IND,80
10229,Maharashtra,1990,103,19,BULDHANA,GEN,ARAKH PRAKASH BHANUDAS,M,,,IND,63
10230,Maharashtra,1990,103,20,BULDHANA,GEN,SAPKAL SURESH SANTOSHRAO,M,,,IND,56
10231,Maharashtra,1990,103,21,BULDHANA,GEN,SALWE ANANDRAO SOMA,M,,,IND,49
10232,Maharashtra,1990,103,22,BULDHANA,GEN,SYED AZARUDDIN SYED SHAMSHUDDIN,M,,,IND,26
14299,Maharashtra,1995,103,1,BULDHANA,GEN,VIJAYRAJ HARIBHAU SHINDE,M,30,GEN,SHS,48842
14300,Maharashtra,1995,103,2,BULDHANA,GEN,DR. GODE RAJENDRA VYANKATRAO,M,,,INC,39069
14301,Maharashtra,1995,103,3,BULDHANA,GEN,TEKADE SANJAYKUMAR RAMDAS,M,,,IND,26026
14302,Maharashtra,1995,103,4,BULDHANA,GEN,GORE ASHOK NATHUJI,M,,,BSP,6936
14303,Maharashtra,1995,103,5,BULDHANA,GEN,BHONDE RAMDAS VITTHALRAO,M,,,JD,6379
14304,Maharashtra,1995,103,6,BULDHANA,GEN,PARHAD MADHUKAR RUSTUMRAO,M,,,BBMS,4988
14305,Maharashtra,1995,103,7,BULDHANA,GEN,WANKHEDE ASHOK DAULATRAO,M,,,IND,3392
14306,Maharashtra,1995,103,8,BULDHANA,GEN,MOHANLAL MISHRILAL SANCHETI,M,,,IND,2103
14307,Maharashtra,1995,103,9,BULDHANA,GEN,DESHMUKH HASANRAO SHANKARRAO,M,,,IND,966
14308,Maharashtra,1995,103,10,BULDHANA,GEN,DIWAN DR. M. DAYAN M. SULTAN,M,,,IND,902
14309,Maharashtra,1995,103,11,BULDHANA,GEN,BEDARKAR LAXMAN SHAMRAO,M,,,SJP(M),876
14310,Maharashtra,1995,103,12,BULDHANA,GEN,JADHAO NARAYAN VISHNU,M,,,IND,653
14311,Maharashtra,1995,103,13,BULDHANA,GEN,ADHAO RAVIKANT RAMKRISHNA,M,,,IND,527
