ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
668,Maharashtra,1962,151,1,CHALISGAON,GEN,MOTIRAM SHAMRAO SURYANANSHI,M,,,INC,23368
669,Maharashtra,1962,151,2,CHALISGAON,GEN,DEORAM RAMJI CHAVAN,M,,,PSP,10687
670,Maharashtra,1962,151,3,CHALISGAON,GEN,HIRALAL BHILAJI CHAVAN,M,,,CPI,6607
671,Maharashtra,1962,151,4,CHALISGAON,GEN,DAULAT TANHAJI KOLI,M,,,IND,1690
1541,Maharashtra,1967,82,1,CHALISGAON,SC,D. D. CHAWAN,M,,,INC,22656
1542,Maharashtra,1967,82,2,CHALISGAON,SC,M. D. MORE,M,,,PSP,5770
1543,Maharashtra,1967,82,3,CHALISGAON,SC,P. V. MORE,M,,,RPI,5511
1544,Maharashtra,1967,82,4,CHALISGAON,SC,P. M. MORE,M,,,BJS,4616
1545,Maharashtra,1967,82,5,CHALISGAON,SC,S. B. CHAVAN,M,,,IND,1758
2770,Maharashtra,1972,82,1,CHALISGAON,SC,DINKAR DIWAN CHAVAN,M,,,INC,31340
2771,Maharashtra,1972,82,2,CHALISGAON,SC,ZALTE DHANJI RAGHO,M,,,RPI,5607
2772,Maharashtra,1972,82,3,CHALISGAON,SC,SUKLAL NATHU MOCHI,M,,,BJS,2715
4114,Maharashtra,1978,90,1,CHALISGAON,SC,CHAVAN DINKAR DIWAN,M,,,INC,34144
4115,Maharashtra,1978,90,2,CHALISGAON,SC,JADHAV MADHUKAR GOMAJE,M,,,IND,19575
4116,Maharashtra,1978,90,3,CHALISGAON,SC,BAGUL BHAGWAN SHANKAR,M,,,IND,6598
4117,Maharashtra,1978,90,4,CHALISGAON,SC,CHAVAN JIJABAI SHAMRAO,F,,,IND,1037
4118,Maharashtra,1978,90,5,CHALISGAON,SC,JAGTAP PARBHAKAR KAUTIK,M,,,IND,455
4119,Maharashtra,1978,90,6,CHALISGAON,SC,MORE DAYARAM MAHADU,M,,,IND,153
4120,Maharashtra,1978,90,7,CHALISGAON,SC,SONAWANE LAXMAN KASHIRAM,M,,,IND,139
4121,Maharashtra,1978,90,8,CHALISGAON,SC,MORE MAHADU DHONDU,M,,,IND,78
5899,Maharashtra,1980,90,1,CHALISGAON,SC,DINAKAR DIWAN CHAVAN,M,,,IND,30283
5900,Maharashtra,1980,90,2,CHALISGAON,SC,CHANGRE VASUDEORAO APURAM,M,,,INC,24405
5901,Maharashtra,1980,90,3,CHALISGAON,SC,TRYAMBAK MALHA JAGTAP,M,,,IND,852
5902,Maharashtra,1980,90,4,CHALISGAON,SC,ZALTE DHANAJI RAGHO,M,,,RPI,621
5903,Maharashtra,1980,90,5,CHALISGAON,SC,NANASAHEB S. B. CHAVAN,M,,,IND,153
7700,Maharashtra,1985,90,1,CHALISGAON,SC,CHANGARE VASUDEVRAO APURAM,M,,,ICS,33622
