ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
4587,Maharashtra,1978,155,1,CHANDRAPUR,GEN,PUGLIYA NARESKUMAR CHUNNALAL,M,,,INC,38018
4588,Maharashtra,1978,155,2,CHANDRAPUR,GEN,DUMBERE RAJARAM TULSIRAM,M,,,RPK,24857
4589,Maharashtra,1978,155,3,CHANDRAPUR,GEN,AMRUTKAR GANPATI GOVINDRAO,M,,,CPI,9124
4590,Maharashtra,1978,155,4,CHANDRAPUR,GEN,EKNATH SALVE,M,,,INC,4739
4591,Maharashtra,1978,155,5,CHANDRAPUR,GEN,THAKRE MADHAO BALAJI,M,,,IND,893
4592,Maharashtra,1978,155,6,CHANDRAPUR,GEN,LAHAMAGE VISHWAS RAMRAO,M,,,IND,760
4593,Maharashtra,1978,155,7,CHANDRAPUR,GEN,SANT JANARDHAN GOVINDA,M,,,IND,328
4594,Maharashtra,1978,155,8,CHANDRAPUR,GEN,BHALLA GURUBECHANSINGH HAJARASINGH,M,,,IND,308
4595,Maharashtra,1978,155,9,CHANDRAPUR,GEN,ATTAL ANANDGOPAL HANUMANDAS,M,,,IND,277
4596,Maharashtra,1978,155,10,CHANDRAPUR,GEN,TODE GAUTAM ADKUJI,M,,,IND,230
4597,Maharashtra,1978,155,11,CHANDRAPUR,GEN,RAMCHANDRA NARAYAN KHOBARAGADE,M,,,IND,228
4598,Maharashtra,1978,155,12,CHANDRAPUR,GEN,TODSAM GOVINDA DOMAJI,M,,,IND,208
4599,Maharashtra,1978,155,13,CHANDRAPUR,GEN,BALKI SHRIDHARRAO SITARAM,M,,,IND,170
6264,Maharashtra,1980,155,1,CHANDRAPUR,GEN,PUGLIYA NARESH CHUNALAL,M,,,INC,29048
6265,Maharashtra,1980,155,2,CHANDRAPUR,GEN,CHANDEL CHANDANSINH SADHUSINH,M,,,BJP,16606
6266,Maharashtra,1980,155,3,CHANDRAPUR,GEN,DATTA PANDHARE,M,,,INC(U),8708
6267,Maharashtra,1980,155,4,CHANDRAPUR,GEN,AMRUTKAR GANPATRAO GOVINDRAO,M,,,CPI,6355
6268,Maharashtra,1980,155,5,CHANDRAPUR,GEN,SAYYAD MAJHERBHAI,M,,,RPK,3309
6269,Maharashtra,1980,155,6,CHANDRAPUR,GEN,THAKRE MADHAO BALAJIPANT,M,,,IND,774
6270,Maharashtra,1980,155,7,CHANDRAPUR,GEN,KESHAO RAMCHANDRA MANDAOGADE,M,,,IND,323
6271,Maharashtra,1980,155,8,CHANDRAPUR,GEN,DANGE RAMCHANDRA SAMBA,M,,,IND,296
8264,Maharashtra,1985,155,1,CHANDRAPUR,GEN,WANKHEDE SHYAM GOPALRAO,M,,,INC,49099
8265,Maharashtra,1985,155,2,CHANDRAPUR,GEN,KHOBRAGADE GIRISH DEWAJI,M,,,RPK,27133
8266,Maharashtra,1985,155,3,CHANDRAPUR,GEN,CHANDEL CHANDANSINGH SADHUSINH,M,,,BJP,14870
8267,Maharashtra,1985,155,4,CHANDRAPUR,GEN,RAJUKAR GULAB PANURANG,M,,,IND,695
8268,Maharashtra,1985,155,5,CHANDRAPUR,GEN,DHUBE LAXMAN TUKARAM,M,,,IND,524
8269,Maharashtra,1985,155,6,CHANDRAPUR,GEN,PANGANTTIWAR WASUDEO MALLAPPA,M,,,IND,252
8270,Maharashtra,1985,155,7,CHANDRAPUR,GEN,KARLEKAR VASANT ATMARAM,M,,,IND,202
8271,Maharashtra,1985,155,8,CHANDRAPUR,GEN,PATHAN HABIBKHAN CHANDKHAN,M,,,IND,168
8272,Maharashtra,1985,155,9,CHANDRAPUR,GEN,PATIL MADHAO SHIORAM,M,,,IND,155
8273,Maharashtra,1985,155,10,CHANDRAPUR,GEN,AWALE ANIL ALIAS RAMU DADAJI,M,,,IND,94
8274,Maharashtra,1985,155,11,CHANDRAPUR,GEN,SHENDE MADHUKAR REKHARANI,M,,,IND,91
11262,Maharashtra,1990,155,1,CHANDRAPUR,GEN,WANKHEDE SHYAM GOPALRAO,M,,,INC,57622
11263,Maharashtra,1990,155,2,CHANDRAPUR,GEN,TRIVEDI GAYACHARAM MAHAVIRAPRASAD,M,,,IND,24947
11264,Maharashtra,1990,155,3,CHANDRAPUR,GEN,PADWAEKAR JAYANTRAO PANDURANG,M,,,RPK,22486
11265,Maharashtra,1990,155,4,CHANDRAPUR,GEN,POTDUKHE DILIP RAMCHANDRA,M,,,SHS,12653
