ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
4025,Maharashtra,1978,75,1,CHANDWAD,GEN,DAWAKHAR KISANRAO DAMODAR,M,,,JNP,23168
4026,Maharashtra,1978,75,2,CHANDWAD,GEN,DEORE GYANDEO TUKARAM,M,,,RPI,20836
4027,Maharashtra,1978,75,3,CHANDWAD,GEN,HIRAY VYANKATRAO BHAUSAHEB,M,,,IND,17865
4028,Maharashtra,1978,75,4,CHANDWAD,GEN,PAGAR LAXMAN BHIKAJI,M,,,IND,1245
4029,Maharashtra,1978,75,5,CHANDWAD,GEN,AHER KAUTIKRAO MALJI,M,,,IND,873
4030,Maharashtra,1978,75,6,CHANDWAD,GEN,JADHAV CHINTAMAN RAMA,M,,,IND,782
5832,Maharashtra,1980,75,1,CHANDWAD,GEN,GAIKWAD NARAYAN KASHIRAM,M,,,INC,22027
5833,Maharashtra,1980,75,2,CHANDWAD,GEN,THAKARE NARHAR KARBHARI,M,,,INC(U),18690
5834,Maharashtra,1980,75,3,CHANDWAD,GEN,DEORE GYANANDEV TUKARAM,M,,,IND,18159
5835,Maharashtra,1980,75,4,CHANDWAD,GEN,CHAUHAN JAGANNATH JAIRAM,M,,,IND,468
7604,Maharashtra,1985,75,1,CHANDWAD,GEN,KASLIWAL JAICHAND DEEPCHAND,M,,,BJP,29659
7605,Maharashtra,1985,75,2,CHANDWAD,GEN,GAIKWAD NARAYAN KASHIRAM,M,,,INC,23621
7606,Maharashtra,1985,75,3,CHANDWAD,GEN,BHULERAO UTTAM GANPAT,M,24,GEN,IND,4410
7607,Maharashtra,1985,75,4,CHANDWAD,GEN,DEORE SHIVAJI JAYARAM,M,,,IND,2374
7608,Maharashtra,1985,75,5,CHANDWAD,GEN,BANKAR MANOHAR TULSHIRAM,M,,,IND,895
7609,Maharashtra,1985,75,6,CHANDWAD,GEN,AUDHESH NARAYAN GIRJASHANKAR MISHRA,M,,,IND,670
7610,Maharashtra,1985,75,7,CHANDWAD,GEN,AHIRE KACHARU BHIMJI,M,,,IND,632
7611,Maharashtra,1985,75,8,CHANDWAD,GEN,BANKAR KASHINATH DHAGUJI,M,,,IND,362
7612,Maharashtra,1985,75,9,CHANDWAD,GEN,GANGURDE JAGANNATH SUPDU,M,,,IND,298
9907,Maharashtra,1990,75,1,CHANDWAD,GEN,KASLIWAL JAICHAND DEEPCHAND,M,,,BJP,39514
9908,Maharashtra,1990,75,2,CHANDWAD,GEN,KOTWAL SHIRISHKUMAR VASANTRAO,M,,,INC,29264
9909,Maharashtra,1990,75,3,CHANDWAD,GEN,DEORE VISHWASRAO NAMDEO,M,,,ICS(SCS),7920
9910,Maharashtra,1990,75,4,CHANDWAD,GEN,MADHUKARANNA SHANKARRAO SONAWANE,M,,,IND,3239
9911,Maharashtra,1990,75,5,CHANDWAD,GEN,GAURAV SMITATAI CHANDRAKANT,F,,,JD,2259
9912,Maharashtra,1990,75,6,CHANDWAD,GEN,KEDARE NAVNATH KACHARNATHSWAMI,M,,,IND,1121
9913,Maharashtra,1990,75,7,CHANDWAD,GEN,KOLHE RAMKRISHNA MADHAVRAO,M,,,IND,776
9914,Maharashtra,1990,75,8,CHANDWAD,GEN,PAGAR LAXMAN BHIKAJI,M,,,IND,545
9915,Maharashtra,1990,75,9,CHANDWAD,GEN,KALE JAGANNATH BHAVAJI,M,,,DDP,173
9916,Maharashtra,1990,75,10,CHANDWAD,GEN,KHANDERAO ALIAS GAJANAN GAJANAN GANPATRAO,M,,,IND,171
9917,Maharashtra,1990,75,11,CHANDWAD,GEN,MADHUKAR KAXMAN JADHAV,M,,,IND,140
9918,Maharashtra,1990,75,12,CHANDWAD,GEN,DNYANESHWAR SITARAM BHADANE (PATIL),M,,,IND,137
9919,Maharashtra,1990,75,13,CHANDWAD,GEN,DESHMANE RAMESH MAHADU,M,,,IND,61
