ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
24414,Maharashtra,2009,161,1,CHARKOP,GEN,YOGESH SAGAR,M,46,GEN,BJP,58687
24415,Maharashtra,2009,161,2,CHARKOP,GEN,BHARAT PAREKH,M,55,GEN,INC,42324
24416,Maharashtra,2009,161,3,CHARKOP,GEN,DEEPAK AMRUT DESAI,M,43,GEN,MNS,23268
24417,Maharashtra,2009,161,4,CHARKOP,GEN,AKHILESH N. GAUD,M,43,GEN,CPI,1539
24418,Maharashtra,2009,161,5,CHARKOP,GEN,KABARE PRADEEP,M,52,GEN,BVA,750
24419,Maharashtra,2009,161,6,CHARKOP,GEN,SINGH SANJAY RAJENDRA,M,38,GEN,SBSP,614
24420,Maharashtra,2009,161,7,CHARKOP,GEN,MACHHINDRANATH,M,33,GEN,IND,608
24421,Maharashtra,2009,161,8,CHARKOP,GEN,SAMIR DHIRENDRA TANNA,M,37,GEN,AHNP,351
24422,Maharashtra,2009,161,9,CHARKOP,GEN,JANARDAN SADANAND,M,51,GEN,RWS,164
24423,Maharashtra,2014,161,1,CHARKOP,GEN,YOGESH SAGAR,M,52,GEN,BJP,96097
24424,Maharashtra,2014,161,2,CHARKOP,GEN,SHUBHADA SUBHASH GUDEKAR,F,64,GEN,SHS,31730
24425,Maharashtra,2014,161,3,CHARKOP,GEN,BHARAT PAREKH,M,60,GEN,INC,21733
24426,Maharashtra,2014,161,4,CHARKOP,GEN,DEEPAK DESAI,M,48,GEN,MNS,5654
24427,Maharashtra,2014,161,5,CHARKOP,GEN,None of the Above,,,,NOTA,1363
24428,Maharashtra,2014,161,6,CHARKOP,GEN,SUNIL GIRI,M,39,GEN,BSP,973
24429,Maharashtra,2014,161,7,CHARKOP,GEN,SANDESH LAXMAN KONDVILKAR,M,61,GEN,NCP,839
24430,Maharashtra,2014,161,8,CHARKOP,GEN,BALAGANPATHI NAYAGAM,M,30,GEN,IND,422
24431,Maharashtra,2014,161,9,CHARKOP,GEN,PRAVIN SAKHARAM BANSODE,M,30,SC,PWPI,236
24432,Maharashtra,2014,161,10,CHARKOP,GEN,MANSURI SHAIKH FATEH MAHAMMAD,M,59,GEN,IND,174
24433,Maharashtra,2014,161,11,CHARKOP,GEN,MANOJ PATADE,M,44,GEN,BVA,172
24434,Maharashtra,2014,161,12,CHARKOP,GEN,SUBHASHCHANDRA B. VISHWAKARMA,M,44,GEN,IND,162
24435,Maharashtra,2014,161,13,CHARKOP,GEN,KAPIL KANTILAL SONI,M,35,GEN,IND,104
