ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
703,Maharashtra,1962,160,1,CHIKHLI,GEN,SANTOSHRAO NARAYAN PATIL,M,,,INC,34254
704,Maharashtra,1962,160,2,CHIKHLI,GEN,KESHAORAO JAYAWANTRAO,M,,,JS,18154
705,Maharashtra,1962,160,3,CHIKHLI,GEN,SYED HABIB RABI SYED FARID,M,,,REP,6300
706,Maharashtra,1962,160,4,CHIKHLI,GEN,KALU TUKARAM SARKATE,M,,,IND,2734
1608,Maharashtra,1967,96,1,CHIKHLI,GEN,T. B. KHEDEKAR,M,,,INC,23783
1609,Maharashtra,1967,96,2,CHIKHLI,GEN,K. J. BAHEKAR,M,,,BJS,20545
1610,Maharashtra,1967,96,3,CHIKHLI,GEN,D. T. MAHASAKI,M,,,IND,7847
1611,Maharashtra,1967,96,4,CHIKHLI,GEN,G. S. JADHAO,M,,,RPI,6982
1612,Maharashtra,1967,96,5,CHIKHLI,GEN,K. T. SARAKATE,M,,,IND,876
2817,Maharashtra,1972,96,1,CHIKHLI,GEN,BHARAT RAJABHAU BONDRE,M,,,INC,32110
2818,Maharashtra,1972,96,2,CHIKHLI,GEN,KESHAORAO BAHEKAR,M,,,BJS,17492
2819,Maharashtra,1972,96,3,CHIKHLI,GEN,SHANKARRAO SAKHARAM PATIL,M,,,NCO,9361
2820,Maharashtra,1972,96,4,CHIKHLI,GEN,SUGDEORAO BANDUJI JADHAO,M,,,RPI,4480
2821,Maharashtra,1972,96,5,CHIKHLI,GEN,CHAMPALAL MEWADE,M,,,IND,223
4193,Maharashtra,1978,104,1,CHIKHLI,GEN,BONDRE JANARDAN DATTUAPPA,M,,,INC,27785
4194,Maharashtra,1978,104,2,CHIKHLI,GEN,BHARAT RAJABHAU BONDRE,M,,,INC,27607
4195,Maharashtra,1978,104,3,CHIKHLI,GEN,KESHVRAO JAYAWANTARAO BAHEKAR,M,,,JNP,27447
