ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
933,Maharashtra,1962,203,1,CHIMUR,GEN,MAROTRAO DAMODHAR TUMPALLIWAR,M,,,INC,23479
934,Maharashtra,1962,203,2,CHIMUR,GEN,BALAJI DEORAO BORKAR,M,,,JS,9024
935,Maharashtra,1962,203,3,CHIMUR,GEN,LAXMAN SHIORAM JIWANE,M,,,REP,8753
936,Maharashtra,1962,203,4,CHIMUR,GEN,TRIMBAK PAIKAJI DHOK,M,,,IND,6258
1891,Maharashtra,1967,147,1,CHIMUR,GEN,M. D. TUMPALHWAR,M,,,INC,18256
1892,Maharashtra,1967,147,2,CHIMUR,GEN,G. K. KOREKAR,M,,,SSP,9545
1893,Maharashtra,1967,147,3,CHIMUR,GEN,K. S. NAKADE,M,,,BJS,8609
1894,Maharashtra,1967,147,4,CHIMUR,GEN,T. P. DHOK,M,,,IND,6427
1895,Maharashtra,1967,147,5,CHIMUR,GEN,D. L. KALE,M,,,IND,1395
1896,Maharashtra,1967,147,6,CHIMUR,GEN,N. V. NAGDEOTE,M,,,IND,758
3093,Maharashtra,1972,147,1,CHIMUR,GEN,BIRAJE G MOTIRAMBAPU,M,,,INC,20934
3094,Maharashtra,1972,147,2,CHIMUR,GEN,SONAWANE ADAKU SHIWAJI,M,,,IND,20689
3095,Maharashtra,1972,147,3,CHIMUR,GEN,GOPALRAO KOREKAR,M,,,SOP,6385
3096,Maharashtra,1972,147,4,CHIMUR,GEN,ALAMASIA GURUDASJI RAMDAS,M,,,BJS,5521
3097,Maharashtra,1972,147,5,CHIMUR,GEN,SAKHARE JANARDHAN YADAO,M,,,RPK,5492
3098,Maharashtra,1972,147,6,CHIMUR,GEN,NAGDEOTE SADASHIO TIMAJI,M,,,RPI,3292
4613,Maharashtra,1978,158,1,CHIMUR,GEN,SONWANE ADKUJI SHIWAJI,M,,,INC,55117
4614,Maharashtra,1978,158,2,CHIMUR,GEN,KOREKAR GOPALRAO KESHAORAO,M,,,JNP,24431
4615,Maharashtra,1978,158,3,CHIMUR,GEN,NARENDRA MAROTRAO YAWALE,M,,,INC,8897
4616,Maharashtra,1978,158,4,CHIMUR,GEN,NAGDEOTE NAMDEO VISHNUJI,M,,,IND,2249
6282,Maharashtra,1980,158,1,CHIMUR,GEN,BAJAJ YESHODHARA BHAGIRATHJI,F,,,INC,44264
6283,Maharashtra,1980,158,2,CHIMUR,GEN,POSHATTIWAR VASANTRAO YADAORAO,M,,,BJP,13168
6284,Maharashtra,1980,158,3,CHIMUR,GEN,SONWANE VITHALRAO GOMA,M,,,INC(U),12666
6285,Maharashtra,1980,158,4,CHIMUR,GEN,GEDAM HARIBHAU WATU,M,,,RPI,8765
6286,Maharashtra,1980,158,5,CHIMUR,GEN,PISE SHANKARRAO TUKARAM,M,,,IND,1465
6287,Maharashtra,1980,158,6,CHIMUR,GEN,BHAURAO LAXMANRAO DANDEKAR,M,,,IND,787
6288,Maharashtra,1980,158,7,CHIMUR,GEN,KALE DAMODHAR LAXMANRAO,M,,,IND,676
8293,Maharashtra,1985,158,1,CHIMUR,GEN,BAGDE BHUJANGRAO MUKUNDRAO,M,,,INC,45235
8294,Maharashtra,1985,158,2,CHIMUR,GEN,M. RAHEMTULLA ABDUL HAKIM,M,,,IND,13008
8295,Maharashtra,1985,158,3,CHIMUR,GEN,KAMDI NIWARUTTI VITHOBAJI,M,,,IND,10704
8296,Maharashtra,1985,158,4,CHIMUR,GEN,SIRSA BHASKAR SHANKAR,M,,,BJP,9244
8297,Maharashtra,1985,158,5,CHIMUR,GEN,MOON DAYARAM URKUDA,M,,,IND,4056
8298,Maharashtra,1985,158,6,CHIMUR,GEN,DANGE EKANATH HIRMANJI,M,,,IND,3447
8299,Maharashtra,1985,158,7,CHIMUR,GEN,NARADE VASANT MAHADEO,M,,,IND,823
8300,Maharashtra,1985,158,8,CHIMUR,GEN,KALE DAMODAR LAXMANRAO,M,,,IND,427
8301,Maharashtra,1985,158,9,CHIMUR,GEN,NANNAWARE ADAKU KAWADOO,M,,,IND,299
