ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
24915,Maharashtra,2009,205,1,CHINCHWAD,GEN,JAGTAP LAXMAN PANDURANG,M,47,GEN,IND,78741
24916,Maharashtra,2009,205,2,CHINCHWAD,GEN,APPA ALIAS SHRIRANG,M,45,GEN,SHS,72166
24917,Maharashtra,2009,205,3,CHINCHWAD,GEN,BHAUSAHEB SOPANRAO,M,42,GEN,INC,24684
24918,Maharashtra,2009,205,4,CHINCHWAD,GEN,NANDGUDE VILASRAO,M,49,GEN,IND,15561
24919,Maharashtra,2009,205,5,CHINCHWAD,GEN,VIJAY NIVRUTTI WAGHMARE,M,41,SC,BSP,2714
24920,Maharashtra,2009,205,6,CHINCHWAD,GEN,DR. SURESH BERI,M,65,GEN,IND,929
24921,Maharashtra,2009,205,7,CHINCHWAD,GEN,SHARMALE R . B. (,M,56,GEN,SP,827
24922,Maharashtra,2009,205,8,CHINCHWAD,GEN,DHORE DASHRATH VITHOBA,M,63,GEN,IND,437
24923,Maharashtra,2009,205,9,CHINCHWAD,GEN,KENDALE RAMDAS KAILAS,M,26,SC,IND,418
24924,Maharashtra,2009,205,10,CHINCHWAD,GEN,PRAMOD TUKARAM,M,38,GEN,IND,375
24925,Maharashtra,2009,205,11,CHINCHWAD,GEN,NADANA BALASO GAIKWAD,F,34,SC,BBM,371
24926,Maharashtra,2009,205,12,CHINCHWAD,GEN,PRADEEP JADHAV,M,43,GEN,IND,334
24927,Maharashtra,2009,205,13,CHINCHWAD,GEN,IMAM BASHIR SHAIKH,M,43,GEN,IND,195
24928,Maharashtra,2009,205,14,CHINCHWAD,GEN,AKKA ALIAS REKHA SANJAY,F,34,GEN,IND,176
24929,Maharashtra,2014,205,1,CHINCHWAD,GEN,JAGTAP LAXMAN PANDURANG,M,51,GEN,BJP,123786
24930,Maharashtra,2014,205,2,CHINCHWAD,GEN,KALATE RAHUL TANAJI,M,37,GEN,SHS,63489
24931,Maharashtra,2014,205,3,CHINCHWAD,GEN,VITTHAL ALIAS NANA KATE,M,40,GEN,NCP,42553
24932,Maharashtra,2014,205,4,CHINCHWAD,GEN,BHONDVE MORESHWAR MAHADU,M,48,GEN,IND,13952
24933,Maharashtra,2014,205,5,CHINCHWAD,GEN,KADAM KAILASH MAHADEV,M,47,GEN,INC,8643
24934,Maharashtra,2014,205,6,CHINCHWAD,GEN,ANANT SUBHASH KORHALE,M,39,GEN,MNS,8217
24935,Maharashtra,2014,205,7,CHINCHWAD,GEN,KADAM SATYAVAN KALU,M,38,GEN,BSP,3703
24936,Maharashtra,2014,205,8,CHINCHWAD,GEN,None of the Above,,,,NOTA,3203
24937,Maharashtra,2014,205,9,CHINCHWAD,GEN,LAXMAN PANDURANG JAGTAP,M,68,GEN,IND,808
24938,Maharashtra,2014,205,10,CHINCHWAD,GEN,VINODKUMAR TRILOKINATH SINGH,M,45,GEN,IND,523
24939,Maharashtra,2014,205,11,CHINCHWAD,GEN,JAGTAP LAXMAN PANDURANG,M,51,GEN,IND,518
24940,Maharashtra,2014,205,12,CHINCHWAD,GEN,NEETA SANJAY DHAMALE,F,37,GEN,IND,488
24941,Maharashtra,2014,205,13,CHINCHWAD,GEN,SHASHIKANT BHIKAJI OVHAL,M,41,SC,BMUP,473
24942,Maharashtra,2014,205,14,CHINCHWAD,GEN,SATYAM KUMAR SINGH,M,30,GEN,IND,388
24943,Maharashtra,2014,205,15,CHINCHWAD,GEN,VINOD VASANT CHANDGUDE,M,28,GEN,IND,328
24944,Maharashtra,2014,205,16,CHINCHWAD,GEN,PUNDE GANESH DIGAMBAR,M,28,GEN,IND,236
24945,Maharashtra,2014,205,17,CHINCHWAD,GEN,IMAM BASHIR SHAIKH,M,60,GEN,IND,214
24946,Maharashtra,2014,205,18,CHINCHWAD,GEN,ASHOK BABURAO SUBHEDAR,M,59,GEN,IND,179
24947,Maharashtra,2014,205,19,CHINCHWAD,GEN,RAJENDRA MARUTI KATE,M,45,GEN,IND,175
24948,Maharashtra,2014,205,20,CHINCHWAD,GEN,MILINDRAJE BHOSALE,M,30,SC,IND,165
24949,Maharashtra,2014,205,21,CHINCHWAD,GEN,SMITA PRAKASH BODAKE,F,42,GEN,BNS,128
24950,Maharashtra,2014,205,22,CHINCHWAD,GEN,DHARMPAL YASHWANTRAO TANTARPALE,M,44,SC,IND,120
24951,Maharashtra,2014,205,23,CHINCHWAD,GEN,SUDAM AJINATH BABAR,M,32,GEN,IND,120
24952,Maharashtra,2014,205,24,CHINCHWAD,GEN,UTTAMRAO PANDURANGRAO SHINDE SARKAR,M,47,GEN,IND,82
24953,Maharashtra,2014,205,25,CHINCHWAD,GEN,SANJAY JAGADISH CHANDALIYA,M,38,GEN,IND,66
