ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
300,Maharashtra,1962,63,1,CHIPLUN,GEN,PARSHARAM KRISHNAJI SAWANT,M,,,INC,18452
301,Maharashtra,1962,63,2,CHIPLUN,GEN,ABUBAKARKHAN MAHAMADKHAN DALWAI,M,,,PSP,5909
302,Maharashtra,1962,63,3,CHIPLUN,GEN,RAGHUNATH BHAVRAO SHINDE,M,,,JS,5317
303,Maharashtra,1962,63,4,CHIPLUN,GEN,SHANKAR GANU TAMBITKAR,M,,,CPI,3521
1196,Maharashtra,1967,10,1,CHIPLUN,GEN,P. K. SAWANT,M,,,INC,22528
1197,Maharashtra,1967,10,2,CHIPLUN,GEN,R. G. GHAG,M,,,BJS,10459
1198,Maharashtra,1967,10,3,CHIPLUN,GEN,S. B. MOHITE,M,,,IND,5472
1199,Maharashtra,1967,10,4,CHIPLUN,GEN,A. M. DALAWAI,M,,,PSP,3956
2438,Maharashtra,1972,10,1,CHIPLUN,GEN,PARSHURAM K. RAO SAWANT,M,,,INC,34379
2439,Maharashtra,1972,10,2,CHIPLUN,GEN,RAJARAM GANGARAM GHAG,M,,,BJS,5767
3637,Maharashtra,1978,9,1,CHIPLUN,GEN,SHINDE RAJARAM KESHAV,M,,,JNP,28293
3638,Maharashtra,1978,9,2,CHIPLUN,GEN,SHINDE VASANTRAO BALWANTRAO,M,,,INC,19128
3639,Maharashtra,1978,9,3,CHIPLUN,GEN,BETKAR KRISHNA LAXMAN,M,,,IND,11974
3640,Maharashtra,1978,9,4,CHIPLUN,GEN,SHINDE APPASAHEB BAPUJIRAO,M,,,INC,881
5453,Maharashtra,1980,9,1,CHIPLUN,GEN,RAJARAM SHINDE,M,,,JNP,22245
5454,Maharashtra,1980,9,2,CHIPLUN,GEN,SHINDE RAGHUNATH GOPALRAO,M,,,INC,15340
5455,Maharashtra,1980,9,3,CHIPLUN,GEN,GOVINDRAO NIKAM,M,,,IND,13110
5456,Maharashtra,1980,9,4,CHIPLUN,GEN,GAJANAN HANAMANTRAO MAHADIK,M,,,IND,208
7007,Maharashtra,1985,9,1,CHIPLUN,GEN,JOSHI NISHIKANI MADHAO,M,,,INC,30300
7008,Maharashtra,1985,9,2,CHIPLUN,GEN,VASANTRAO BALWANTRAO SHINDE,M,,,IND,11565
7009,Maharashtra,1985,9,3,CHIPLUN,GEN,ABU DALVAI,M,,,JNP,10026
7010,Maharashtra,1985,9,4,CHIPLUN,GEN,R. B. GAIKWAD,M,,,IND,4416
7011,Maharashtra,1985,9,5,CHIPLUN,GEN,LALMANI DUBE,M,,,IND,509
