ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
655,Maharashtra,1962,148,1,CHOPDA,GEN,DEORAO MADHAVRAO NIKAM,M,,,INC,30352
656,Maharashtra,1962,148,2,CHOPDA,GEN,DASHARATH HIRAMAN TAYADE,M,,,PWP,6818
657,Maharashtra,1962,148,3,CHOPDA,GEN,BHAGWAN HAMDEO MAHAJAN,M,,,JS,6267
658,Maharashtra,1962,148,4,CHOPDA,GEN,SUKLAL VITHOBA BARI,M,,,IND,1415
1554,Maharashtra,1967,85,1,CHOPDA,GEN,M. N. GUJRATHI,M,,,IND,24477
1555,Maharashtra,1967,85,2,CHOPDA,GEN,S. S. PATIL,F,,,INC,24011
1556,Maharashtra,1967,85,3,CHOPDA,GEN,D. M. TAYADE,M,,,PWP,7890
2779,Maharashtra,1972,85,1,CHOPDA,GEN,SHARADCHANDRIKABAI,M,,,INC,42125
2780,Maharashtra,1972,85,2,CHOPDA,GEN,BHIMRAO SAHEBRAO PATIL,M,,,BJS,6382
2781,Maharashtra,1972,85,3,CHOPDA,GEN,BHAGAWATPAHUJI THAKARE,M,,,PWP,2987
2782,Maharashtra,1972,85,4,CHOPDA,GEN,VAJIRSHAMU MAHAR,M,,,RPK,1557
4129,Maharashtra,1978,93,1,CHOPDA,GEN,CHAUDHARI MADHAVRAO KAUTIK,M,,,JNP,23637
4130,Maharashtra,1978,93,2,CHOPDA,GEN,PATIL DHOUNDU UKHAJI,M,,,INC,23322
4131,Maharashtra,1978,93,3,CHOPDA,GEN,SONAWANE MURLIDHAR TOTARAM,M,,,INC,16016
4132,Maharashtra,1978,93,4,CHOPDA,GEN,THAKRE BHAGWAT PAHUJI,M,,,PWP,2098
4133,Maharashtra,1978,93,5,CHOPDA,GEN,BHOI DAGADU MAHARU,M,,,IND,512
5914,Maharashtra,1980,93,1,CHOPDA,GEN,SHARADCHANDRIKA SURESH PATIL,F,,,INC,37435
5915,Maharashtra,1980,93,2,CHOPDA,GEN,DEVRAJ SITARAM GOBA,M,,,INC(U),23280
