ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
126,Maharashtra,1962,28,1,DAHANU,GEN,SHAMRAO RAMCHANDRA PATIL,M,,,INC,13533
127,Maharashtra,1962,28,2,DAHANU,GEN,GODAVARI SHAMRAO PARULEKAR,F,,,CPI,11403
128,Maharashtra,1962,28,3,DAHANU,GEN,PARSHURAM DHARMAJI CHURI,M,,,PSP,7733
1446,Maharashtra,1967,56,1,DAHANU,ST,M.G. KADU,M,,,INC,20627
1447,Maharashtra,1967,56,2,DAHANU,ST,N. R. OZARYA,M,,,CPM,14469
1448,Maharashtra,1967,56,3,DAHANU,ST,D. N. BENDAR,M,,,BJS,2813
1449,Maharashtra,1967,56,4,DAHANU,ST,K. N. BHIMARA,M,,,PSP,1592
2657,Maharashtra,1972,56,1,DAHANU,ST,MAHADEO GOPAL KADU,M,,,INC,26378
2658,Maharashtra,1972,56,2,DAHANU,ST,KOM LAHANU SHIDWA,M,,,CPM,23685
3955,Maharashtra,1978,63,1,DAHANU,ST,CHAVAN SHANKAR MARYA,M,,,CPM,26224
3956,Maharashtra,1978,63,2,DAHANU,ST,KADU MAHADEO GOPAL,M,,,INC,21514
3957,Maharashtra,1978,63,3,DAHANU,ST,LAHANU LADAKYA DHINDE,M,,,IND,7206
5766,Maharashtra,1980,63,1,DAHANU,ST,KADU MAHADEO GOPAL,M,,,INC,25522
5767,Maharashtra,1980,63,2,DAHANU,ST,CHAVAN SHANKAR MARYA,M,,,CPM,18753
7495,Maharashtra,1985,63,1,DAHANU,ST,NAM SHANKAR SAKHARAM,M,,,INC,34385
7496,Maharashtra,1985,63,2,DAHANU,ST,SUTAR GANGARAM DHAKAT,M,,,CPM,10685
7497,Maharashtra,1985,63,3,DAHANU,ST,DHINDE LAHANU LADKYA,M,,,JNP,7208
9769,Maharashtra,1990,63,1,DAHANU,ST,NAM SHANKAR SAKHARAM,M,,,INC,35981
9770,Maharashtra,1990,63,2,DAHANU,ST,KENY RAMKRISHNA MANGESH,M,,,SHS,19937
9771,Maharashtra,1990,63,3,DAHANU,ST,CHAVAN SHANKAR MARYA,M,,,CPM,17793
9772,Maharashtra,1990,63,4,DAHANU,ST,DAGLA MARHYA RADHYA,M,,,IND,14014
9773,Maharashtra,1990,63,5,DAHANU,ST,DAYAT LAXMAN SAVAJI,M,,,DDP,463
13804,Maharashtra,1995,63,1,DAHANU,ST,NAM SHANKAR SAKHARAM,M,,,INC,62813
13805,Maharashtra,1995,63,2,DAHANU,ST,KANBI KISAN LALLUBHAI,M,,,SHS,40458
13806,Maharashtra,1995,63,3,DAHANU,ST,KOM LAHANU SHIDVA,M,,,CPM,32689
13807,Maharashtra,1995,63,4,DAHANU,ST,DOMBRE SOMNATH RAMA,M,,,IND,3246
13808,Maharashtra,1995,63,5,DAHANU,ST,MARLE GAJANAN NARAYAN,M,,,DDP,845
18104,Maharashtra,1999,63,1,DAHANU,ST,GHODA KRISHNA ARJUN,M,,,NCP,40895
18105,Maharashtra,1999,63,2,DAHANU,ST,ISHWAR KISAN DHODI,M,,,SHS,29508
18106,Maharashtra,1999,63,3,DAHANU,ST,BABU LAKHAMA WAGHAT,M,,,INC,26230
