ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
777,Maharashtra,1962,175,1,DARYAPUR,GEN,JAGANNATH DEORAO PATIL,M,,,REP,32181
778,Maharashtra,1962,175,2,DARYAPUR,GEN,NARAYANRAO UTTAMRAO DESHMUKH,M,,,INC,25208
779,Maharashtra,1962,175,3,DARYAPUR,GEN,GULABRAO CHANDRABHANJI JAWANJALE,M,,,IND,1143
780,Maharashtra,1962,175,4,DARYAPUR,GEN,JAGDEV SONAJI CHOURPAGAR,M,,,IND,457
1673,Maharashtra,1967,109,1,DARYAPUR,GEN,N.U. DESHMUKH,M,,,INC,34467
1674,Maharashtra,1967,109,2,DARYAPUR,GEN,J.D. PATIL,M,,,RPI,33002
1675,Maharashtra,1967,109,3,DARYAPUR,GEN,A.P. MADGHE,M,,,BJS,374
2872,Maharashtra,1972,109,1,DARYAPUR,GEN,KOKILA JAGANNATH PATIL,M,,,INC,50010
2873,Maharashtra,1972,109,2,DARYAPUR,GEN,GAJANAN DEWAJI NANNAWARE,M,,,RPI,18246
2874,Maharashtra,1972,109,3,DARYAPUR,GEN,BANDUJI AKARAM GAWAI,M,,,RPK,996
4295,Maharashtra,1978,118,1,DARYAPUR,GEN,BOBADE SHANKARRAO KRUSHNARAO,M,,,FBL,38021
4296,Maharashtra,1978,118,2,DARYAPUR,GEN,GAWAI VASANTRAO SURYABHANJI,M,,,RPI,12678
4297,Maharashtra,1978,118,3,DARYAPUR,GEN,HUTKE RAMRAO SHESHRAO,M,,,PWP,10060
4298,Maharashtra,1978,118,4,DARYAPUR,GEN,ZOMBADE SHANKAR SADASHIV,M,,,JNP,9456
4299,Maharashtra,1978,118,5,DARYAPUR,GEN,PAKHARE MOHAN MAROTI,M,,,IND,817
4300,Maharashtra,1978,118,6,DARYAPUR,GEN,GULHANE RAMDAS BISANSA,M,,,IND,720
4301,Maharashtra,1978,118,7,DARYAPUR,GEN,PATIL KRISHNARAO TRIMBAKRAO,M,,,RPK,344
4302,Maharashtra,1978,118,8,DARYAPUR,GEN,BIJAWE GOVIND MANGUSA,M,,,IND,314
4303,Maharashtra,1978,118,9,DARYAPUR,GEN,SAWALE MANIKRAO KISANRAO,M,,,IND,270
4304,Maharashtra,1978,118,10,DARYAPUR,GEN,PATIL GANESHRAO UTTAMRAO,M,,,IND,165
6068,Maharashtra,1980,118,1,DARYAPUR,GEN,BOBDE SHANARRAO KRISHANA RAO,M,,,INC,27207
6069,Maharashtra,1980,118,2,DARYAPUR,GEN,HUTKE RAMRAO SHESHRAO,M,,,PWP,18581
6070,Maharashtra,1980,118,3,DARYAPUR,GEN,ABHYANKAR MADHUKAR SUKHDEO,M,,,RPI,8694
7936,Maharashtra,1985,118,1,DARYAPUR,GEN,RAOSAHEB PANDURANG HADOLE,M,,,INC,28043
7937,Maharashtra,1985,118,2,DARYAPUR,GEN,ASHOKSINHA LAXMANSINHA GAHARWAR,M,,,ICS,25742
7938,Maharashtra,1985,118,3,DARYAPUR,GEN,WANKHADE DEORAO GONDAJI,M,,,IND,10212
