ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
5197,Maharashtra,1978,253,1,DAUND,GEN,TAKAVANE RAJARAM BAJIRAO,M,,,JNP,26940
5198,Maharashtra,1978,253,2,DAUND,GEN,THORAT KRISHNA RAMA,M,,,INC,18662
5199,Maharashtra,1978,253,3,DAUND,GEN,BHAGWAT SITARAM VITTHALRAO,M,,,IND,13354
5200,Maharashtra,1978,253,4,DAUND,GEN,KATARIA PREMSUKH KISANDAS,M,,,IND,5890
5201,Maharashtra,1978,253,5,DAUND,GEN,SHANTINATH MAHARAJ,M,,,IND,4163
5202,Maharashtra,1978,253,6,DAUND,GEN,GADE ANANDRAO RAMCHANDRA,M,,,INC,2957
5203,Maharashtra,1978,253,7,DAUND,GEN,RAJ SALVE,M,,,IND,2237
5204,Maharashtra,1978,253,8,DAUND,GEN,KALE DAGDOBA PANDURANG,M,,,PWP,2030
5205,Maharashtra,1978,253,9,DAUND,GEN,SONAVANE SHANKARRAO KRISHANAJI,M,,,IND,1317
5206,Maharashtra,1978,253,10,DAUND,GEN,WABLE SAMPATRAO MALHARRAO,M,,,CPI,927
6792,Maharashtra,1980,253,1,DAUND,GEN,JAGADALE KRISHNARAO BAJIRAO,M,,,INC(U),29944
6793,Maharashtra,1980,253,2,DAUND,GEN,KADAM FAKKADRAO YEDUJI,M,,,INC,15981
6794,Maharashtra,1980,253,3,DAUND,GEN,TAKAWANE RAJARAM BAJIRAO,M,,,JNP,8994
6795,Maharashtra,1980,253,4,DAUND,GEN,SADAFULE CHANDRABHAGA RAJABHAU,F,,,IND,1924
6796,Maharashtra,1980,253,5,DAUND,GEN,WAGHMARE HARI CHIMAJI,M,,,IND,495
6797,Maharashtra,1980,253,6,DAUND,GEN,SHAIKH KHAJA KASAM,M,,,IND,282
8995,Maharashtra,1985,253,1,DAUND,GEN,USHADEVI -KRISHNARAO JAGDALE,F,,,ICS,33408
