ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
22906,Maharashtra,2009,45,1,DEOLI,GEN,RANJIT PRATAPRAO KAMBLE,M,45,GEN,INC,58575
22907,Maharashtra,2009,45,2,DEOLI,GEN,TADAS RAMDAS,M,55,GEN,BJP,54829
22908,Maharashtra,2009,45,3,DEOLI,GEN,DR. VIJAY GOVINDRAO RAUT,M,54,GEN,BSP,15757
22909,Maharashtra,2009,45,4,DEOLI,GEN,GHODMARE SHASHANK,M,40,GEN,IND,10834
22910,Maharashtra,2009,45,5,DEOLI,GEN,AAGLAVE VIJAY NAGORAO,M,52,GEN,IND,3933
22911,Maharashtra,2009,45,6,DEOLI,GEN,SHANKAR KAMALRAO,M,52,GEN,IND,1832
22912,Maharashtra,2009,45,7,DEOLI,GEN,YASHWANT NAMDEORAO,M,46,GEN,CPM,1797
22913,Maharashtra,2009,45,8,DEOLI,GEN,SHOBHA VISHWANATH,F,48,SC,IND,604
22914,Maharashtra,2009,45,9,DEOLI,GEN,KAMBLE PRAVIN RAMESH,M,34,SC,IND,509
22915,Maharashtra,2014,45,1,DEOLI,GEN,RANJIT PRATAPRAO KAMBLE,M,50,GEN,INC,62533
22916,Maharashtra,2014,45,2,DEOLI,GEN,SURESH GANPATRAO WAGHMARE,M,53,GEN,BJP,61590
22917,Maharashtra,2014,45,3,DEOLI,GEN,MHAISKAR UMESH MAHADEORAO,M,39,SC,BSP,24973
22918,Maharashtra,2014,45,4,DEOLI,GEN,SHASHANK GANGADHARRAO GHODMARE,M,45,GEN,NCP,6343
22919,Maharashtra,2014,45,5,DEOLI,GEN,NILESH RAMESH GULHANE,M,39,GEN,SHS,4609
22920,Maharashtra,2014,45,6,DEOLI,GEN,NAMDEORAO NATTHUJI MESHRAM,M,64,ST,IND,1907
22921,Maharashtra,2014,45,7,DEOLI,GEN,MANOJ MANVATKAR,M,43,SC,IND,1364
22922,Maharashtra,2014,45,8,DEOLI,GEN,PRAVIN FATING,M,30,GEN,IND,934
22923,Maharashtra,2014,45,9,DEOLI,GEN,SANJAY SHAMRAO KARAMORE,M,41,GEN,BMUP,725
22924,Maharashtra,2014,45,10,DEOLI,GEN,None of the Above,,,,NOTA,701
22925,Maharashtra,2014,45,11,DEOLI,GEN,DIPAK NATTHUJI FUSATE,M,45,SC,ARP,651
22926,Maharashtra,2014,45,12,DEOLI,GEN,KIRAN MAROTRAO PARISE,M,32,GEN,IND,583
22927,Maharashtra,2014,45,13,DEOLI,GEN,DHNANESHWAR MADHUKARRAO NIGHOT,M,41,GEN,IND,417
22928,Maharashtra,2014,45,14,DEOLI,GEN,RAMTEKE ASHOK SHIVRAM,M,62,SC,BBM,304
22929,Maharashtra,2014,45,15,DEOLI,GEN,TAGADE VISHWESHWAR AWADHUTRAO,M,51,SC,IND,263
22930,Maharashtra,2014,45,16,DEOLI,GEN,WANKHEDE MANIK KISANRAO,M,60,SC,IND,201
22931,Maharashtra,2014,45,17,DEOLI,GEN,AJAY SUBHASHRAO HIWANJ,M,37,GEN,IND,182
22932,Maharashtra,2014,45,18,DEOLI,GEN,ARUN AJABRAO PACHARE,M,52,GEN,IND,164
22933,Maharashtra,2014,45,19,DEOLI,GEN,WAGHMARE CHANDRAKANT NARAYAN,M,62,SC,RP(K),139
22934,Maharashtra,2014,45,20,DEOLI,GEN,MAHENDRA VISHWANATH MUNESHWAR,M,45,SC,RPI,120
