ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1462,Maharashtra,1967,61,1,DEVLALI,GEN,S. N. DESHMUKH,M,,,INC,17394
1463,Maharashtra,1967,61,2,DEVLALI,GEN,V. T. ARINGALE,M,,,IND,11066
1464,Maharashtra,1967,61,3,DEVLALI,GEN,S. D. DANI,F,,,RPI,9814
1465,Maharashtra,1967,61,4,DEVLALI,GEN,M. R. JOSHI,M,,,IND,1640
2674,Maharashtra,1972,61,1,DEVLALI,GEN,NIVRUTTIRAO B. GAIDHANI,M,,,IND,18224
2675,Maharashtra,1972,61,2,DEVLALI,GEN,SHANKARRAO N. DESHMUKH,M,,,INC,15723
2676,Maharashtra,1972,61,3,DEVLALI,GEN,GITABAI B. GAIKWAD,M,,,RPI,8437
2677,Maharashtra,1972,61,4,DEVLALI,GEN,PUNJAJINAVAJI GAIDHANI,M,,,PWP,289
2678,Maharashtra,1972,61,5,DEVLALI,GEN,SHAHUJI LAXMAN MORE,M,,,RPK,276
2679,Maharashtra,1972,61,6,DEVLALI,GEN,SHIVRAM GODSE VITTHAL,M,,,IND,84
3981,Maharashtra,1978,68,1,DEVLALI,SC,AHIRE BABURAO SOMA (BABLA),M,,,IND,37821
3982,Maharashtra,1978,68,2,DEVLALI,SC,REPORTE BABURAO BHAGAJI,M,,,RPI,14688
3983,Maharashtra,1978,68,3,DEVLALI,SC,OHOL SADASHIV GOPAL,M,,,IND,5207
3984,Maharashtra,1978,68,4,DEVLALI,SC,MOHEKAR HIRAMAN CHATRU,M,,,IND,1720
3985,Maharashtra,1978,68,5,DEVLALI,SC,NARAYANE BHAGWAN KESHAO,M,,,IND,660
3986,Maharashtra,1978,68,6,DEVLALI,SC,SATHE RAMCHANDRA GAMPAT,M,,,IND,552
3987,Maharashtra,1978,68,7,DEVLALI,SC,SANSANE PANDIT BABURAO,M,,,IND,398
3988,Maharashtra,1978,68,8,DEVLALI,SC,KALE SHIVALAL SITARAM,M,,,IND,249
3989,Maharashtra,1978,68,9,DEVLALI,SC,NIKAM NATHARAM SADASHIV,M,,,IND,230
3990,Maharashtra,1978,68,10,DEVLALI,SC,GAIKWAD SURESH KASHINATH,M,,,IND,177
3991,Maharashtra,1978,68,11,DEVLALI,SC,MORE SHAHUJI LAXMAN,M,,,IND,162
3992,Maharashtra,1978,68,12,DEVLALI,SC,KAMBLE SEVAKDAS DAMAJI,M,,,IND,157
3993,Maharashtra,1978,68,13,DEVLALI,SC,PAWAR GOPALA SAWALIRAM,M,,,IND,123
3994,Maharashtra,1978,68,14,DEVLALI,SC,DONDE HARIBHAU RAOBA,M,,,IND,119
3995,Maharashtra,1978,68,15,DEVLALI,SC,KALE AMRUTRAO TULSHIRAM,M,,,IND,117
3996,Maharashtra,1978,68,16,DEVLALI,SC,MARU ARJUN SHIVRAM,M,,,IND,88
5790,Maharashtra,1980,68,1,DEVLALI,SC,AHIRE BABULAL SOMA,M,,,INC(U),28876
5791,Maharashtra,1980,68,2,DEVLALI,SC,MOHEKAR HIRAMAN CHATARU,M,,,INC,18778
5792,Maharashtra,1980,68,3,DEVLALI,SC,KHOBRAGADE KISAN RAYBHAN,M,,,IND,3856
5793,Maharashtra,1980,68,4,DEVLALI,SC,REPORTE BABURAO BHAGAJI,M,,,IND,1419
5794,Maharashtra,1980,68,5,DEVLALI,SC,DIVEKAR CHANDAN NANAJI,M,,,IND,917
5795,Maharashtra,1980,68,6,DEVLALI,SC,KANADE BHAGWANT LAXMAN,M,,,PWP,355
5796,Maharashtra,1980,68,7,DEVLALI,SC,OHOL SADASHIV GOPAL,M,,,RPI,249
5797,Maharashtra,1980,68,8,DEVLALI,SC,GAIKWAD JAGANNATH PANDURANG,M,,,IND,248
5798,Maharashtra,1980,68,9,DEVLALI,SC,RAJBHOJ SHANKARRAO BABAJI,M,,,IND,237
5799,Maharashtra,1980,68,10,DEVLALI,SC,GANGURDE DEVIDAS NARAYAN,M,,,IND,124
5800,Maharashtra,1980,68,11,DEVLALI,SC,DANI UTTAMRAO KRISHNARAO,M,,,IND,121
5801,Maharashtra,1980,68,12,DEVLALI,SC,GANGURDE EKNATH SHIVRAM,M,,,IND,116
7530,Maharashtra,1985,68,1,DEVLALI,SC,DONDE BHIKCHAND HARIBHAU,M,,,BJP,23235
7531,Maharashtra,1985,68,2,DEVLALI,SC,SATHE RANCHANDRA GANPAT,M,,,INC,18986
7532,Maharashtra,1985,68,3,DEVLALI,SC,AHIRE BABULAL SOMA,M,,,IND,8696
7533,Maharashtra,1985,68,4,DEVLALI,SC,GANGURDE SHAILENDRA DAMODAR,M,,,IND,4985
7534,Maharashtra,1985,68,5,DEVLALI,SC,JAGTAP MADHUKAR BHAGWAT,M,,,IND,3034
7535,Maharashtra,1985,68,6,DEVLALI,SC,GHOLAP BABAN SHANKAR,M,31,SC,IND,2774
7536,Maharashtra,1985,68,7,DEVLALI,SC,BARVE BHASKAR SHIVRAM,M,,,RPK,2411
7537,Maharashtra,1985,68,8,DEVLALI,SC,BHALERAO NANASABEB BABURAO,M,,,IND,577
7538,Maharashtra,1985,68,9,DEVLALI,SC,GAIKWAD JAGANNATH PANDURANG,M,,,IND,362
7539,Maharashtra,1985,68,10,DEVLALI,SC,CHAVAN RAJARAM WAKU,M,,,IND,315
7540,Maharashtra,1985,68,11,DEVLALI,SC,UGHADE BALU YADAV,M,,,IND,168
7541,Maharashtra,1985,68,12,DEVLALI,SC,KANADE BHAGWAT LAXMAN,M,,,IND,114
7542,Maharashtra,1985,68,13,DEVLALI,SC,KATARE DIWAKAR NAMDEO,M,,,IND,77
7543,Maharashtra,1985,68,14,DEVLALI,SC,NIKAM RAMBHAU SAMPAT,M,,,IND,56
9805,Maharashtra,1990,68,1,DEVLALI,SC,GHOLAP BABAN SHANKAR,M,36,SC,SHS,53400
9806,Maharashtra,1990,68,2,DEVLALI,SC,SADAPHULE RAMDAS DAYARAM,M,39,SC,IND,21153
9807,Maharashtra,1990,68,3,DEVLALI,SC,NIKAM DADUBHAU NANAJI,M,,,IND,8913
9808,Maharashtra,1990,68,4,DEVLALI,SC,BHALERAO CHANDRAKANT WAMAN,M,,,JD,2629
9809,Maharashtra,1990,68,5,DEVLALI,SC,DONDE SHANKUNTALA BHIKCHAND,F,,,IND,1418
9810,Maharashtra,1990,68,6,DEVLALI,SC,DIVE ASHOK NAMDEO,M,,,IND,1202
9811,Maharashtra,1990,68,7,DEVLALI,SC,TANK CHARANSINHA RATANLAL,M,,,ICS(SCS),1171
9812,Maharashtra,1990,68,8,DEVLALI,SC,GANGURDE SHAILENDRA DAMODAR,M,,,RPI,521
9813,Maharashtra,1990,68,9,DEVLALI,SC,SALVE DEODHAR BARKU,M,,,IND,403
9814,Maharashtra,1990,68,10,DEVLALI,SC,NIRMALE TUKARAM BALVANT,M,,,IND,346
9815,Maharashtra,1990,68,11,DEVLALI,SC,RIPORTE BABURAO BHAGAJI,M,,,IND,341
9816,Maharashtra,1990,68,12,DEVLALI,SC,MESHARAM GUNVANT ALIAS GURU CHARAN NAMDEO,M,,,IND,329
9817,Maharashtra,1990,68,13,DEVLALI,SC,JAGTAP MADHUKAR BHASKAR (BHAGVAT:),M,,,IND,315
9818,Maharashtra,1990,68,14,DEVLALI,SC,BARVE SHASHIKANT KONDIRAM,M,,,BSP,313
9819,Maharashtra,1990,68,15,DEVLALI,SC,GHOLAP ROHIDAS UTTAM,M,,,DDP,288
9820,Maharashtra,1990,68,16,DEVLALI,SC,ALLAHAT CHANDRAKANT BABAN,M,,,IND,241
9821,Maharashtra,1990,68,17,DEVLALI,SC,PAGARE GAUTAM MADHUKAR,M,,,IND,194
9822,Maharashtra,1990,68,18,DEVLALI,SC,DONDE ;BUDHAJI SHANKAR,M,,,IND,166
9823,Maharashtra,1990,68,19,DEVLALI,SC,PAWAR BHAURAO NARAYAN,M,,,IND,155
9824,Maharashtra,1990,68,20,DEVLALI,SC,KANADE BHAGVAT LAXMAN,M,,,IND,131
