ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
22766,Maharashtra,2009,36,1,DHAMAMGAON RAILWAY,GEN,JAGTAP VIRENDRA WALMIK,M,46,GEN,INC,72755
22767,Maharashtra,2009,36,2,DHAMAMGAON RAILWAY,GEN,ADSAD ARUNBHAU JANARDANRAO,M,64,GEN,BJP,59307
22768,Maharashtra,2009,36,3,DHAMAMGAON RAILWAY,GEN,DR. DHOLE PANDURANG,M,58,GEN,BSP,29544
22769,Maharashtra,2009,36,4,DHAMAMGAON RAILWAY,GEN,TUKARAM JANGALAJI,M,52,GEN,CPI,5909
22770,Maharashtra,2009,36,5,DHAMAMGAON RAILWAY,GEN,BHAISE VIJAYRAO,M,60,GEN,IND,5236
22771,Maharashtra,2009,36,6,DHAMAMGAON RAILWAY,GEN,PIMPALE CHANDRASHEKHAR,M,43,GEN,MNS,3571
22772,Maharashtra,2009,36,7,DHAMAMGAON RAILWAY,GEN,WARGHAT ANIL RAMDAS,M,41,SC,IND,1699
22773,Maharashtra,2009,36,8,DHAMAMGAON RAILWAY,GEN,PAWAR BABUSING ASERAO,M,35,GEN,IND,997
22774,Maharashtra,2009,36,9,DHAMAMGAON RAILWAY,GEN,RENUKA KISANRAO SAPATE,F,29,GEN,IND,926
22775,Maharashtra,2009,36,10,DHAMAMGAON RAILWAY,GEN,RAMESH GULABRAO,M,59,GEN,IND,623
22776,Maharashtra,2009,36,11,DHAMAMGAON RAILWAY,GEN,ADV. YOGESHWAR ALIAS,M,32,GEN,IND,602
22777,Maharashtra,2009,36,12,DHAMAMGAON RAILWAY,GEN,ARUN VITTHALRAO MADAVI,M,27,ST,JMM,394
22778,Maharashtra,2009,36,13,DHAMAMGAON RAILWAY,GEN,NARESH BHAGWAN DHANKE,M,38,ST,IND,344
22779,Maharashtra,2009,36,14,DHAMAMGAON RAILWAY,GEN,MADAVI SANJAY,M,39,ST,GGP,321
22780,Maharashtra,2014,36,1,DHAMAMGAON RAILWAY,GEN,JAGTAP VIRENDRA WALMIK,M,51,GEN,INC,70879
22781,Maharashtra,2014,36,2,DHAMAMGAON RAILWAY,GEN,ADSAD ARUNBHAU JANARDANRAO,M,68,GEN,BJP,69905
22782,Maharashtra,2014,36,3,DHAMAMGAON RAILWAY,GEN,DHEPE ABHIJIT PRAVIN,M,40,GEN,BSP,29229
22783,Maharashtra,2014,36,4,DHAMAMGAON RAILWAY,GEN,SIDDHESHWAR RAGHUNATHRAO CHAVAN,M,44,GEN,SHS,14161
22784,Maharashtra,2014,36,5,DHAMAMGAON RAILWAY,GEN,DNYNESHWAR DHANE PATIL,M,55,GEN,MNS,3091
22785,Maharashtra,2014,36,6,DHAMAMGAON RAILWAY,GEN,SHARAD SHANKARRAO SURJUSE,M,61,GEN,CPI,2659
22786,Maharashtra,2014,36,7,DHAMAMGAON RAILWAY,GEN,PRAMOD BHASKARRAO KHADSE,M,41,SC,IND,1274
22787,Maharashtra,2014,36,8,DHAMAMGAON RAILWAY,GEN,PRASHANT PANDURANGJI SORGIOKAR,M,40,SC,IND,1112
22788,Maharashtra,2014,36,9,DHAMAMGAON RAILWAY,GEN,PRAMOD TARHEKAR,M,50,GEN,NCP,1068
22789,Maharashtra,2014,36,10,DHAMAMGAON RAILWAY,GEN,ADV. MAHENDRA HARIBHAU GAJABE,M,34,GEN,IND,938
22790,Maharashtra,2014,36,11,DHAMAMGAON RAILWAY,GEN,PRAKASH SHANKARRAO CHAWARE,M,46,SC,IND,910
22791,Maharashtra,2014,36,12,DHAMAMGAON RAILWAY,GEN,ADV.ARUN BALAPURE,M,64,GEN,IND,635
22792,Maharashtra,2014,36,13,DHAMAMGAON RAILWAY,GEN,VINAYAK TUKARAM DUDHE,M,58,GEN,BBM,615
22793,Maharashtra,2014,36,14,DHAMAMGAON RAILWAY,GEN,SANJAY KRUSHNARAO MADAVI,M,43,ST,GGP,577
22794,Maharashtra,2014,36,15,DHAMAMGAON RAILWAY,GEN,None of the Above,,,,NOTA,558
22795,Maharashtra,2014,36,16,DHAMAMGAON RAILWAY,GEN,BALKRISHNA NAMDEORAO JADHAO,M,65,SC,APOI,373
22796,Maharashtra,2014,36,17,DHAMAMGAON RAILWAY,GEN,VAIDYA RAMESH BAPURAO,M,45,SC,RP(K),364
22797,Maharashtra,2014,36,18,DHAMAMGAON RAILWAY,GEN,VINOD PRABHAKARRAO SHINGNAPURE,M,27,SC,BMUP,337
22798,Maharashtra,2014,36,19,DHAMAMGAON RAILWAY,GEN,PROF. UDDHAO R. PARWE,M,41,SC,RPI,243
22799,Maharashtra,2014,36,20,DHAMAMGAON RAILWAY,GEN,PUNDLIK DEVIDAS MOON,M,61,SC,ARP,149
