ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
4103,Maharashtra,1978,89,1,DHULE,GEN,KHOPADE KISANRAO MANIKRAO,M,,,INC,24933
4104,Maharashtra,1978,89,2,DHULE,GEN,NERKAR HIRAMAN DHUDKU,M,,,IND,16928
4105,Maharashtra,1978,89,3,DHULE,GEN,ANSARI ABDUL WAHEB ABDUL KADIR,M,,,IND,11284
4106,Maharashtra,1978,89,4,DHULE,GEN,KARANKAL KISANRAO SONU,M,,,INC,7487
4107,Maharashtra,1978,89,5,DHULE,GEN,CHOUDHARI RAMDAS BHAGWAN,M,,,IND,6010
4108,Maharashtra,1978,89,6,DHULE,GEN,PATOLE SUBHASH VITHAL,M,,,IND,540
4109,Maharashtra,1978,89,7,DHULE,GEN,ANSARI ABDUL LATIF AHMAD HASAN,M,,,IND,192
4110,Maharashtra,1978,89,8,DHULE,GEN,RAMRAJE NIRGUN VAJIR,M,,,RPI,179
4111,Maharashtra,1978,89,9,DHULE,GEN,LUND DAYANAND KESHIRAM,M,,,IND,175
4112,Maharashtra,1978,89,10,DHULE,GEN,RAJDHAR AWCHIT WAGH,M,,,IND,124
4113,Maharashtra,1978,89,11,DHULE,GEN,NAHAR MOTILAL RATANLAL,M,,,IND,64
5889,Maharashtra,1980,89,1,DHULE,GEN,AJMERA KAMALABAI CHHAGANLAL,F,,,INC,25541
5890,Maharashtra,1980,89,2,DHULE,GEN,KHOPADE KISANRAO MANIKRAO,M,,,IND,23661
5891,Maharashtra,1980,89,3,DHULE,GEN,CHAUK VIJAYA VISHNU,F,,,JNP,8078
5892,Maharashtra,1980,89,4,DHULE,GEN,NERKAR HIRAMAN DHUDAKU,M,,,IND,1485
5893,Maharashtra,1980,89,5,DHULE,GEN,DADABHAI JEMI ECHARSHA,M,,,IND,371
5894,Maharashtra,1980,89,6,DHULE,GEN,DAMODAR VALMIKRAO SUKDEORAM,M,,,RPK,193
5895,Maharashtra,1980,89,7,DHULE,GEN,GAIKWAD PREMNATH NARAYAN,M,,,IND,108
5896,Maharashtra,1980,89,8,DHULE,GEN,TAYADE BALWANT PANDURANG,M,,,IND,105
5897,Maharashtra,1980,89,9,DHULE,GEN,MANSURI A. RAJJAK SK. RASUL,M,,,IND,98
5898,Maharashtra,1980,89,10,DHULE,GEN,RAJDHAR AVACHIT WAGH,M,,,IND,36
7687,Maharashtra,1985,89,1,DHULE,GEN,SHALINI SUDHAKAR BORASE,F,,,INC,28562
7688,Maharashtra,1985,89,2,DHULE,GEN,ABASAHEB N. C. PATIL,M,,,ICS,20528
7689,Maharashtra,1985,89,3,DHULE,GEN,BHAI MADANE,M,,,IND,8734
7690,Maharashtra,1985,89,4,DHULE,GEN,M. G. DHIVARE,M,,,RPK,7435
7691,Maharashtra,1985,89,5,DHULE,GEN,ANDHARI SHAFIK FAJLU RAHEMAN,M,,,IND,3296
