ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
22408,Maharashtra,2009,6,1,DHULE RURAL,GEN,PROF.PATIL SHARAD MADHAVRAO,M,49,GEN,SHS,100562
22409,Maharashtra,2009,6,2,DHULE RURAL,GEN,PATIL ROHIDAS CHUDAMAN,M,69,GEN,INC,81580
22410,Maharashtra,2009,6,3,DHULE RURAL,GEN,MALI MOTILAL KAUTIK,M,42,GEN,IND,3513
22411,Maharashtra,2009,6,4,DHULE RURAL,GEN,DEORE BHIMRAO SHYAMRAO,M,64,GEN,BSP,2219
22412,Maharashtra,2009,6,5,DHULE RURAL,GEN,MALICH AMBAR MAHADU,M,42,GEN,IND,1681
22413,Maharashtra,2009,6,6,DHULE RURAL,GEN,DADASO.PANDITRAO PATIL,M,55,GEN,HJP,1679
22414,Maharashtra,2009,6,7,DHULE RURAL,GEN,GAIKWAD RAMESH DIPA,M,27,GEN,IND,1015
22415,Maharashtra,2009,6,8,DHULE RURAL,GEN,KAILAS JAGANNATH PATIL,M,39,GEN,IND,600
22416,Maharashtra,2014,6,1,DHULE RURAL,GEN,KUNAL (BABA) ROHIDAS PATIL,M,40,GEN,INC,119094
22417,Maharashtra,2014,6,2,DHULE RURAL,GEN,BHADANE MANOHAR DATTATRAY,M,48,GEN,BJP,73012
22418,Maharashtra,2014,6,3,DHULE RURAL,GEN,PATIL KIRAN GULABRAO,M,38,GEN,NCP,17682
22419,Maharashtra,2014,6,4,DHULE RURAL,GEN,PROF.PATIL SHARAD MADHAVRAO,M,55,GEN,SHS,15093
22420,Maharashtra,2014,6,5,DHULE RURAL,GEN,AJAY GOVINDRAO MALI,M,45,GEN,MNS,2452
22421,Maharashtra,2014,6,6,DHULE RURAL,GEN,CHAVHAN RAJ JAGANNATH,M,46,SC,BSP,2199
22422,Maharashtra,2014,6,7,DHULE RURAL,GEN,None of the Above,,,,NOTA,1676
22423,Maharashtra,2014,6,8,DHULE RURAL,GEN,ARUN KRISHNARAO PATIL,M,57,GEN,STBP,1203
22424,Maharashtra,2014,6,9,DHULE RURAL,GEN,MALI DINKAR SADASHIV,M,40,GEN,IND,889
22425,Maharashtra,2014,6,10,DHULE RURAL,GEN,AMBAR MAHADU MALICH,M,35,ST,IND,603
22426,Maharashtra,2014,6,11,DHULE RURAL,GEN,RAJDEEP BHATU AGALE,M,40,SC,BMUP,466
