ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
575,Maharashtra,1962,131,1,DINDORI,GEN,RAGHUNATH GOPALRAO GUNJAL,M,,,INC,14063
576,Maharashtra,1962,131,2,DINDORI,GEN,FAKIRRAO SAKHARAM DAWAKHAR,M,,,CPI,11290
577,Maharashtra,1962,131,3,DINDORI,GEN,MADHAV PANDURANG PATIL,M,,,IND,4408
578,Maharashtra,1962,131,4,DINDORI,GEN,PUNJA BHAVRAO THAKARE,M,,,PSP,3971
579,Maharashtra,1962,131,5,DINDORI,GEN,FAKIRA WALU KARATE,M,,,IND,1903
580,Maharashtra,1962,131,6,DINDORI,GEN,NAMDEO MADHAV AHER,M,,,IND,279
1504,Maharashtra,1967,70,1,DINDORI,ST,S. B. PTINDE,M,,,PWP,20861
1505,Maharashtra,1967,70,2,DINDORI,ST,K. B. RAUT,M,,,INC,17262
2718,Maharashtra,1972,70,1,DINDORI,ST,BHAU RAUT KACHRU,M,,,INC,24340
2719,Maharashtra,1972,70,2,DINDORI,ST,RAMCHANDRA MAKUNDA BHOYE,M,,,IND,8272
2720,Maharashtra,1972,70,3,DINDORI,ST,SHANKAR BHIKAJI POTINDE,M,,,PWP,4401
2721,Maharashtra,1972,70,4,DINDORI,ST,SAWLERAM BHIKAJI DHULE,M,,,IND,1765
2722,Maharashtra,1972,70,5,DINDORI,ST,TRYMBAK HARI BOMBALE,M,,,IND,1022
2723,Maharashtra,1972,70,6,DINDORI,ST,NARAYAN DHONDI MORE,M,,,CPM,632
4031,Maharashtra,1978,76,1,DINDORI,ST,GAIKWAD BHAGAWANT DHARMAJI,M,,,INC,23321
4032,Maharashtra,1978,76,2,DINDORI,ST,AMRITA KASHIRAM GAIKWAD,M,,,JNP,12101
4033,Maharashtra,1978,76,3,DINDORI,ST,POTINDE GOVIND SHANKARRAO,M,,,PWP,10748
4034,Maharashtra,1978,76,4,DINDORI,ST,RAUT KACHARU BHAU,M,,,INC,8596
4035,Maharashtra,1978,76,5,DINDORI,ST,PAGE VASANTRAO KALU,M,,,IND,1278
5836,Maharashtra,1980,76,1,DINDORI,ST,MAHALE HARI SHANKAR,M,,,JNP,29999
5837,Maharashtra,1980,76,2,DINDORI,ST,LILAKE RAMDAS GANAPAT,M,,,INC,16456
5838,Maharashtra,1980,76,3,DINDORI,ST,BOMBLE TRIMBAK HARI,M,,,PWP,3645
5839,Maharashtra,1980,76,4,DINDORI,ST,GAIKAWAD BHAGWANT DHARMAJI,M,,,IND,886
5840,Maharashtra,1980,76,5,DINDORI,ST,TONGARE POPAT RAMCHANDRA,M,,,IND,311
5841,Maharashtra,1980,76,6,DINDORI,ST,WAGHALE LAXMAN KISAN,M,,,IND,106
7613,Maharashtra,1985,76,1,DINDORI,ST,MAHALE HARI SHANKAR,M,,,JNP,36851
7614,Maharashtra,1985,76,2,DINDORI,ST,CHAVAN HARISCHANDRA DEORAM,M,,,INC,24292
7615,Maharashtra,1985,76,3,DINDORI,ST,KARATE DATTATRAY BALA,M,,,IND,3512
7616,Maharashtra,1985,76,4,DINDORI,ST,RAMCHANDRA PUNJA MAHALE,M,,,IND,1577
9922,Maharashtra,1990,76,1,DINDORI,ST,GAIKWAD BHAGAWANTRAO DHARMAJI,M,,,INC,41837
9923,Maharashtra,1990,76,2,DINDORI,ST,KHETADE RAMDAS DAULAT,M,,,SHS,22302
9924,Maharashtra,1990,76,3,DINDORI,ST,CHOUDHARI ANANDA BABU,M,,,JD,15714
9925,Maharashtra,1990,76,4,DINDORI,ST,POTINDE GOVINDRAO SHANKARRAO,M,,,IND,1068
9926,Maharashtra,1990,76,5,DINDORI,ST,HADAS NAMDEO PANDURANG,M,,,BSP,687
9927,Maharashtra,1990,76,6,DINDORI,ST,TONGARE POPAT RAMCHANDRA,M,,,HJP,331
9928,Maharashtra,1990,76,7,DINDORI,ST,BHIL RAMSINGH ZIPRU,M,,,DDP,179
13972,Maharashtra,1995,76,1,DINDORI,ST,CHAROSKAR KISAN GOVIND,M,,,INC,51970
13973,Maharashtra,1995,76,2,DINDORI,ST,GUMBADE SOMNATH SAKHARAM,M,,,SHS,42682
