ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
24203,Maharashtra,2009,143,1,DOMBIVALI,GEN,CHAVHAN RAVINDRA DATTATRAY   ,M,39,GEN,BJP,61104
24204,Maharashtra,2009,143,2,DOMBIVALI,GEN,RAJESH SHANTARAM KADAM,M,37,GEN,MNS,48777
24205,Maharashtra,2009,143,3,DOMBIVALI,GEN,SHANKARLAL MOTILAL PATEL,M,55,GEN,RPI,9064
24206,Maharashtra,2009,143,4,DOMBIVALI,GEN,COMRED KALU KOMASKAR,M,46,GEN,CPI,4607
24207,Maharashtra,2009,143,5,DOMBIVALI,GEN,MANGALA DEEPAK SULE,F,50,GEN,IND,2450
24208,Maharashtra,2009,143,6,DOMBIVALI,GEN,KIRATKAR DAYANAND,M,47,GEN,BSP,2370
24209,Maharashtra,2014,143,1,DOMBIVALI,GEN,CHAVHAN RAVINDRA DATTATRAY   ,M,44,GEN,BJP ,83872
24210,Maharashtra,2014,143,2,DOMBIVALI,GEN,DIPESH PUNDALIK MHATRE       ,M,30,GEN,SHS ,37647
24211,Maharashtra,2014,143,3,DOMBIVALI,GEN,HARISHCHANDRA KACHARU PATIL  ,M,61,GEN,MNS ,11978
24212,Maharashtra,2014,143,4,DOMBIVALI,GEN,KENE SANTOSH ARJUN           ,M,49,GEN,INC ,7048
24213,Maharashtra,2014,143,5,DOMBIVALI,GEN,VIKAS GAJANAN MHATRE         ,M,47,GEN,NCP ,6346
24214,Maharashtra,2014,143,6,DOMBIVALI,GEN,None of the Above            , ,,   ,NOTA,2013
24215,Maharashtra,2014,143,7,DOMBIVALI,GEN,KIRATKAR DAYANAND TULSHIRAM  ,M,52,GEN,BSP ,1495
24216,Maharashtra,2014,143,8,DOMBIVALI,GEN,SHIVA KRISHNAMURTHY IYER     ,M,52,GEN,IND ,269
24217,Maharashtra,2014,143,9,DOMBIVALI,GEN,REDIJ PRASHANT DATTARAM      ,M,40,GEN,IND ,266
24218,Maharashtra,2014,143,10,DOMBIVALI,GEN,SUBHASHCHANDRA BALIRAM BORADE,M,40,GEN,IND ,137
24219,Maharashtra,2014,143,11,DOMBIVALI,GEN,RUPESH ASHOK HONRAO          ,M,36,GEN,BVA ,121
24220,Maharashtra,2014,143,12,DOMBIVALI,GEN,GAUTAM ANANDA JADHAV         ,M,34,GEN,IND ,91
