ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
679,Maharashtra,1962,154,1,ERANDOL,GEN,DIGAMBAR SHANKAR PATIL,M,,,INC,22571
680,Maharashtra,1962,154,2,ERANDOL,GEN,YOGARAJASINHA SHANKARSINHA PARIHAR,M,,,IND,11955
681,Maharashtra,1962,154,3,ERANDOL,GEN,PITAMBAR ZINGA CHAVAN,M,,,PSP,6481
682,Maharashtra,1962,154,4,ERANDOL,GEN,BHIKA DAGDU PAWAR,M,,,SOC,2699
2783,Maharashtra,1972,86,1,ERANDOL,GEN,DIGAMBAR SHANKAR PATIL,M,,,INC,29248
2784,Maharashtra,1972,86,2,ERANDOL,GEN,M. DATTATRAYA DANDAWATE,M,,,SOP,12288
2785,Maharashtra,1972,86,3,ERANDOL,GEN,Y. S. PARIHAR,M,,,IND,9211
4134,Maharashtra,1978,94,1,ERANDOL,GEN,PATIL MAHENDRASINH DHARMSINH,M,26,GEN,JNP,25829
4135,Maharashtra,1978,94,2,ERANDOL,GEN,WAGH PARWATABAI CHANDRABHAN,F,,,INC,19267
4136,Maharashtra,1978,94,3,ERANDOL,GEN,PAWAR MURLIDHAR GANGARAM,M,,,INC,18937
4137,Maharashtra,1978,94,4,ERANDOL,GEN,PARIHAR YOGRAJSINH SHANKARSINH,M,,,IND,12419
4138,Maharashtra,1978,94,5,ERANDOL,GEN,DANDWATE LILA MADHUSUDAN,F,,,IND,272
5918,Maharashtra,1980,94,1,ERANDOL,GEN,WAGH PAUBAI CHANDRABHAN,F,,,INC,24111
5919,Maharashtra,1980,94,2,ERANDOL,GEN,PATIL VIJAN DHANAJI,M,,,JNP,17950
5920,Maharashtra,1980,94,3,ERANDOL,GEN,PARIHAR YOGRAJSINH SHANKARSING,M,,,IND,3400
5921,Maharashtra,1980,94,4,ERANDOL,GEN,PAWAR (PATIL) PANDURANG BALIRAM,M,,,BJP,3284
5922,Maharashtra,1980,94,5,ERANDOL,GEN,PATIL DAYARAM FAKIRA,M,,,IND,2161
5923,Maharashtra,1980,94,6,ERANDOL,GEN,SK. LUKMAN SK. KADAR MANSURI,M,,,IND,510
5924,Maharashtra,1980,94,7,ERANDOL,GEN,GAIKWAD RAMSING SONUSING,M,,,IND,350
7722,Maharashtra,1985,94,1,ERANDOL,GEN,WAGH PARUBHAI CHANDRABHAN,F,,,INC,27804
7723,Maharashtra,1985,94,2,ERANDOL,GEN,PATIL NIMBAJIRAO BALIRAM,M,,,IND,22846
7724,Maharashtra,1985,94,3,ERANDOL,GEN,PATIL VIJAY DHANAJI,M,,,JNP,18120
7725,Maharashtra,1985,94,4,ERANDOL,GEN,D.V. BADGUJAR,M,,,LKD,2478
7726,Maharashtra,1985,94,5,ERANDOL,GEN,PARIHAR YOGRAJSINGH SHANKRASINGH,M,,,IND,925
7727,Maharashtra,1985,94,6,ERANDOL,GEN,JAGDEV NAMDEV MHAZU,M,,,IND,805
7728,Maharashtra,1985,94,7,ERANDOL,GEN,PATIL JAGANNATH HEMRAJ,M,,,IND,481
7729,Maharashtra,1985,94,8,ERANDOL,GEN,BAPURAO WAMANRAO PATIL,M,,,IND,339
10099,Maharashtra,1990,94,1,ERANDOL,GEN,HARI ATMARAM MAHAJAN,M,,,SHS,36685
10100,Maharashtra,1990,94,2,ERANDOL,GEN,WAGH PARVATABAI CHANDRABHAN,F,,,INC,32068
10101,Maharashtra,1990,94,3,ERANDOL,GEN,PATIL MAHENDRASINH DHARMSINH,M,38,GEN,JD,25849
10102,Maharashtra,1990,94,4,ERANDOL,GEN,HILAL BHAGWAN PATIL,M,,,DDP,842
10103,Maharashtra,1990,94,5,ERANDOL,GEN,PATIL SUKDEO TUKARAM,M,,,ICS(SCS),660
10104,Maharashtra,1990,94,6,ERANDOL,GEN,PARIHAR YOGARAJSINH,M,,,IND,498
10105,Maharashtra,1990,94,7,ERANDOL,GEN,SINNARKAR MAHARAJ,M,,,IND,459
10106,Maharashtra,1990,94,8,ERANDOL,GEN,ARUN GANPAT SAPKALE,M,,,IND,361
10107,Maharashtra,1990,94,9,ERANDOL,GEN,PATIL NARSING DASHRATH,M,,,LKD(B),220
10108,Maharashtra,1990,94,10,ERANDOL,GEN,DIGAMBAR AUCHIT NANNAWARE,M,,,IND,190
10109,Maharashtra,1990,94,11,ERANDOL,GEN,BADGUJAR DODHU VANA,M,,,IND,94
10110,Maharashtra,1990,94,12,ERANDOL,GEN,NANNAWARE CHANDRAKANT ANANDA,M,,,IND,88
10111,Maharashtra,1990,94,13,ERANDOL,GEN,MANSURI LUKMAN SK. KADAR,M,,,IND,80
14172,Maharashtra,1995,94,1,ERANDOL,GEN,PATIL MAHENDRASINH DHARMSINH,M,43,GEN,JD,50391
14173,Maharashtra,1995,94,2,ERANDOL,GEN,MAHAJAN RAMESH JAGANNATH,M,,,SHS,31405
14174,Maharashtra,1995,94,3,ERANDOL,GEN,WAGH PARVATABAI CHANDRABHAN,F,,,INC,16875
14175,Maharashtra,1995,94,4,ERANDOL,GEN,PATIL ANANDRAO NAMDEORAO,M,,,IND,12798
14176,Maharashtra,1995,94,5,ERANDOL,GEN,PATHAN AYYUBKHA KHUDADKHA,M,,,IND,5156
14177,Maharashtra,1995,94,6,ERANDOL,GEN,VISAVE BHANUDAS SHANKAR,M,,,BSP,2250
14178,Maharashtra,1995,94,7,ERANDOL,GEN,JAIN SATISHKUMAR BHIKAMCHAND,M,,,IND,1864
14179,Maharashtra,1995,94,8,ERANDOL,GEN,SONAWANE RAJESH PITAMBAR,M,,,IND,1076
14180,Maharashtra,1995,94,9,ERANDOL,GEN,PATIL VIJAY DHANAJI,M,,,IND,1062
