ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1864,Maharashtra,1967,141,1,GADCHIROLI,ST,R. D. ATRAM,M,,,IND,23524
1865,Maharashtra,1967,141,2,GADCHIROLI,ST,M. R. NAROTE,M,,,INC,8338
1866,Maharashtra,1967,141,3,GADCHIROLI,ST,N. S. UIKE,M,,,IND,2040
3064,Maharashtra,1972,141,1,GADCHIROLI,ST,A. RAJE V. RAO DHRMARAO,M,,,IND,24832
3065,Maharashtra,1972,141,2,GADCHIROLI,ST,MADA I. DEVAJI TANU,M,,,INC,17702
3066,Maharashtra,1972,141,3,GADCHIROLI,ST,KASHINATH BISAN SEDAKME,M,,,IND,679
4571,Maharashtra,1978,152,1,GADCHIROLI,ST,MADAVI DEWAJI TANU,M,,,INC,26485
4572,Maharashtra,1978,152,2,GADCHIROLI,ST,ATRAM SATYAWANRAO RAJE VISHWESHWARRAO,M,,,IND,24396
4573,Maharashtra,1978,152,3,GADCHIROLI,ST,SAYAM RAJE FATTELAL SHAHA RAJE RANSHAHA,M,,,INC,4435
4574,Maharashtra,1978,152,4,GADCHIROLI,ST,KUNJAM LAKKHANSHAH CHHATARSHAH,M,,,IND,3359
4575,Maharashtra,1978,152,5,GADCHIROLI,ST,ATARAM KIRTIMANTRAO BHUJANGRAO,M,,,IND,1097
6255,Maharashtra,1980,152,1,GADCHIROLI,ST,KOWASE MAROTI SAINU,M,,,INC,25192
6256,Maharashtra,1980,152,2,GADCHIROLI,ST,MESHRAM BHAGWANSHAH JI,M,,,INC(U),11814
6257,Maharashtra,1980,152,3,GADCHIROLI,ST,MADAVI LAHUJI MANGRU,M,,,IND,7797
8245,Maharashtra,1985,152,1,GADCHIROLI,ST,WARKHADE HIRAMAN BENDUJI,M,,,JNP,28427
8246,Maharashtra,1985,152,2,GADCHIROLI,ST,KOWASE MAROTRAO SAINJUJI,M,,,INC,27559
8247,Maharashtra,1985,152,3,GADCHIROLI,ST,ALAM LALAJI GANPATRAO,M,,,IND,2778
8248,Maharashtra,1985,152,4,GADCHIROLI,ST,TALANDI TIKALABAI RAMCHANDRARAO,F,,,IND,1709
8249,Maharashtra,1985,152,5,GADCHIROLI,ST,MESHRAM BHAGWANSHAHA JIWANSHAHA,M,,,IND,1580
11233,Maharashtra,1990,152,1,GADCHIROLI,ST,KOWASE MAROTRAO SAINUJI,M,,,INC,37903
11234,Maharashtra,1990,152,2,GADCHIROLI,ST,KODAP VILAS SHAMRAO,M,,,SHS,34800
11235,Maharashtra,1990,152,3,GADCHIROLI,ST,WARKHADE HIRAMAN BENDUJI,M,,,JD,7896
11236,Maharashtra,1990,152,4,GADCHIROLI,ST,KULMETHE PARSHURAM SHRAWAN,M,,,IND,2155
11237,Maharashtra,1990,152,5,GADCHIROLI,ST,KODAP ARUNKUMAR RAMBHAU,M,,,IND,1685
11238,Maharashtra,1990,152,6,GADCHIROLI,ST,UIKE ARUN LAXAMAN,M,,,BSP,727
11239,Maharashtra,1990,152,7,GADCHIROLI,ST,KULMETHE MADHAORAO BAJIRAO,M,,,DDP,620
11240,Maharashtra,1990,152,8,GADCHIROLI,ST,MADAVI BABURAOJI NARAYAN,M,,,IND,520
11241,Maharashtra,1990,152,9,GADCHIROLI,ST,BOGA BAJIRAO SANAKU,M,,,IND,468
11242,Maharashtra,1990,152,10,GADCHIROLI,ST,MADAVI RATANSHAHA GOVINDSHAHA,M,,,IND,443
11243,Maharashtra,1990,152,11,GADCHIROLI,ST,GAWANDE PRAMILA JANGLUJI,F,,,IND,332
15544,Maharashtra,1995,152,1,GADCHIROLI,ST,KOWASE MAROTRAO SAINUJI,M,,,INC,59732
15545,Maharashtra,1995,152,2,GADCHIROLI,ST,KODAP VILAS SHAMRAO,M,,,BJP,38211
15546,Maharashtra,1995,152,3,GADCHIROLI,ST,NAITAM KEJURAM DAYARAM,M,,,IND,11652
15547,Maharashtra,1995,152,4,GADCHIROLI,ST,WARKHADDE HIRAMAN BENDUJI,M,,,IND,7298
15548,Maharashtra,1995,152,5,GADCHIROLI,ST,KUMRE BAJIRAO MITTHUJI,M,,,IND,6190
15549,Maharashtra,1995,152,6,GADCHIROLI,ST,KINAKE MORESHWAR RAMCHANDRA,M,,,BSP,4455
15550,Maharashtra,1995,152,7,GADCHIROLI,ST,TARAM SITARAM MADHAO,M,,,IND,4263
15551,Maharashtra,1995,152,8,GADCHIROLI,ST,MADAVI KAWDU GULAB,M,,,IND,3947
15552,Maharashtra,1995,152,9,GADCHIROLI,ST,ASHOK MAHADEORAO NETE,M,31,ST,IND,3290
15553,Maharashtra,1995,152,10,GADCHIROLI,ST,GAVALE MUKUNDA AASU,M,,,IND,1073
15554,Maharashtra,1995,152,11,GADCHIROLI,ST,NIRANGSHAHA BAPU LALSHAHA BAPU KATENGE,M,,,IND,1017
