ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1100,Maharashtra,1962,248,1,GANGAKHED,SC,DEVRAO MANDEO,M,,,INC,13637
1101,Maharashtra,1962,248,2,GANGAKHED,SC,TRIMBAK MAROTHI,M,,,REP,7868
1102,Maharashtra,1962,248,3,GANGAKHED,SC,MUNJAJI MARIBA,M,,,IND,982
1970,Maharashtra,1967,164,1,GANGAKHED,SC,NAMEORAO MAROTRAO,M,,,INC,14806
1971,Maharashtra,1967,164,2,GANGAKHED,SC,D. L. MORE,M,,,RPI,6511
1972,Maharashtra,1967,164,3,GANGAKHED,SC,T. M. SAWANT,M,,,IND,1149
3194,Maharashtra,1972,164,1,GANGAKHED,SC,SAWANT TRIMBAK MAROTI,M,,,INC,16750
3195,Maharashtra,1972,164,2,GANGAKHED,SC,MORE DAULAT NIMBAJI,M,,,RPI,10384
3196,Maharashtra,1972,164,3,GANGAKHED,SC,DHARBA BHIMRAO LOKHANDE,M,,,RPK,2176
3197,Maharashtra,1972,164,4,GANGAKHED,SC,KATKE TULSIRA CHANDRAKANT,M,,,NCO,686
4729,Maharashtra,1978,176,1,GANGAKHED,SC,GAIKWAD DNYANOBA HARI,M,,,PWP,16961
4730,Maharashtra,1978,176,2,GANGAKHED,SC,NANDAPURKAR SATWAJI SADBAJI,M,,,RPI,13663
4731,Maharashtra,1978,176,3,GANGAKHED,SC,SAWANT TRIMBAKRAO MAROTI,M,,,INC,6960
4732,Maharashtra,1978,176,4,GANGAKHED,SC,DAKE TULSIRAM GYANOBA,M,,,RPK,3016
4733,Maharashtra,1978,176,5,GANGAKHED,SC,GHOBALE LIMBAJI TULSIRAM,M,,,IND,1774
4734,Maharashtra,1978,176,6,GANGAKHED,SC,SALVE WAMANRAO PURBHAJI,M,,,IND,891
4735,Maharashtra,1978,176,7,GANGAKHED,SC,JONDHALE SHANKAR KISAN,M,,,IND,485
4736,Maharashtra,1978,176,8,GANGAKHED,SC,WAGHMARE HARIBHAU NARAYANRAO,M,,,IND,391
4737,Maharashtra,1978,176,9,GANGAKHED,SC,AMBADAS NARAYANRAO TOMPE,M,,,IND,298
4738,Maharashtra,1978,176,10,GANGAKHED,SC,SALVE BALIRAM NAGORAO,M,,,IND,202
6370,Maharashtra,1980,176,1,GANGAKHED,SC,GAIKWAD DNYANOBA HARI,M,,,PWP,17398
6371,Maharashtra,1980,176,2,GANGAKHED,SC,JANGLE VILAS MANIKRAO,M,,,INC,14375
6372,Maharashtra,1980,176,3,GANGAKHED,SC,NANDAPURKAR SATWAJI SADBAJI,M,,,INC(U),13238
6373,Maharashtra,1980,176,4,GANGAKHED,SC,BHALERAO PANDURANG GANGARAM,M,,,RPI,1077
8444,Maharashtra,1985,176,1,GANGAKHED,SC,GAIKWAD DNYANOBA HARI,M,,,PWP,39287
8445,Maharashtra,1985,176,2,GANGAKHED,SC,SAWANT IRAIMBAKRAO MARETIRAO,M,,,INC,19685
8446,Maharashtra,1985,176,3,GANGAKHED,SC,DAKE TULSIRAM GYENBARO,M,,,IND,1561
8447,Maharashtra,1985,176,4,GANGAKHED,SC,GUNDILE RAMRAO SAMBHAJI,M,,,IND,836
8448,Maharashtra,1985,176,5,GANGAKHED,SC,VHAVLE VAIJANATH KACHARUBA,M,,,RPI,804
8449,Maharashtra,1985,176,6,GANGAKHED,SC,GANACHARY VISHVANATH RAMLING,M,,,IND,783
8450,Maharashtra,1985,176,7,GANGAKHED,SC,WAGHMARE HARIBHAU NARAYANRAO,M,,,IND,436
11656,Maharashtra,1990,176,1,GANGAKHED,SC,GAIKWAD DAYANOBA HARI,M,,,PWP,40033
11657,Maharashtra,1990,176,2,GANGAKHED,SC,GHANDAT SITARAM CHIMAJI,M,,,BJP,27216
11658,Maharashtra,1990,176,3,GANGAKHED,SC,TOMPE AMBADAS NARAYANRAO,M,,,IND,2980
11659,Maharashtra,1990,176,4,GANGAKHED,SC,SALWE WAMANRAO PURBHAJI,M,,,IND,2510
11660,Maharashtra,1990,176,5,GANGAKHED,SC,SHEGAOKAR PRITAMKUMAR SAMPATRAO,M,,,IND,2167
11661,Maharashtra,1990,176,6,GANGAKHED,SC,GANACHARYA UMAKANT MALKARJUN,M,,,IND,1917
11662,Maharashtra,1990,176,7,GANGAKHED,SC,GAIKWAD VITHAL PURBHAJI,M,,,IND,1058
11663,Maharashtra,1990,176,8,GANGAKHED,SC,WAGHMARE HARIBHAU NARAYANRAO,M,,,IND,719
11664,Maharashtra,1990,176,9,GANGAKHED,SC,MALAJANGAMSWAMI,M,,,IND,342
11665,Maharashtra,1990,176,10,GANGAKHED,SC,KASBE SHARWANRAO NAGORAO MANDVEKAR,M,,,IND,259
11666,Maharashtra,1990,176,11,GANGAKHED,SC,KAMBLE BABASAHEB RAMJI,M,,,IND,240
11667,Maharashtra,1990,176,12,GANGAKHED,SC,GUNDALE MAROTI MANIKRAO,M,,,IND,59
16036,Maharashtra,1995,176,1,GANGAKHED,SC,GHANDAT SITARAM CHIMAJI,M,,,IND,29610
16037,Maharashtra,1995,176,2,GANGAKHED,SC,GAIKWAD DNYANOBA HARI,M,,,PWP,29134
16038,Maharashtra,1995,176,3,GANGAKHED,SC,SALVE SHIVAJI GUNAJIRAO,M,,,BJP,14666
16039,Maharashtra,1995,176,4,GANGAKHED,SC,KAMBLE MANIK RAMBHAU,M,,,IND,5466
16040,Maharashtra,1995,176,5,GANGAKHED,SC,KAMBLE DWARKABAI BABURAO,F,,,INC,5168
16041,Maharashtra,1995,176,6,GANGAKHED,SC,SAWANT TRIMBAK MARUTI,M,,,IND,5163
16042,Maharashtra,1995,176,7,GANGAKHED,SC,GADEKAR SHANTABAI SHANKARRAO,F,,,IND,3832
16043,Maharashtra,1995,176,8,GANGAKHED,SC,BHALERAO YESHWANT SANTRAMJI,M,,,BBMS,3484
16044,Maharashtra,1995,176,9,GANGAKHED,SC,KHURESHI SK. AKHTAR SK. MAHEBOOBSAB,M,,,IND,2395
16045,Maharashtra,1995,176,10,GANGAKHED,SC,HANWATE GAUTAM MAROTRAO,M,,,IND,1270
16046,Maharashtra,1995,176,11,GANGAKHED,SC,SAWANT DATTA SAKHARAM,M,,,IND,1195
16047,Maharashtra,1995,176,12,GANGAKHED,SC,GEJGE SATWAJI GANGARAM,M,,,IND,1182
16048,Maharashtra,1995,176,13,GANGAKHED,SC,HATTIAMBHIRE BHIMRAO NAGORAO,M,,,IND,1144
16049,Maharashtra,1995,176,14,GANGAKHED,SC,TUPSAUNDAR MAHARUDRA TUKARAM,M,,,IND,1044
16050,Maharashtra,1995,176,15,GANGAKHED,SC,MORTATE APPARAO BHIMRAO,M,,,IND,839
16051,Maharashtra,1995,176,16,GANGAKHED,SC,TONPE AMBADAS NARAYAN,M,,,IND,691
16052,Maharashtra,1995,176,17,GANGAKHED,SC,SAWALE LALU DAMAJI,M,,,IND,563
16053,Maharashtra,1995,176,18,GANGAKHED,SC,WAVALE WAMAN MARIBA,M,,,IND,341
16054,Maharashtra,1995,176,19,GANGAKHED,SC,SABNE BHAGWAN JANKIRAM,M,,,IND,318
16055,Maharashtra,1995,176,20,GANGAKHED,SC,SALVE BABURAO TATERAO,M,,,IND,289
16056,Maharashtra,1995,176,21,GANGAKHED,SC,PANDIT BANSIDHAR LAXMAN,M,,,IND,234
18914,Maharashtra,1999,176,1,GANGAKHED,SC,GHANDANT SITARAM CHIMAJI,M,,,IND,34332
18915,Maharashtra,1999,176,2,GANGAKHED,SC,DNYANOBA HARI GAIKWAD,M,,,PWPI,27536
18916,Maharashtra,1999,176,3,GANGAKHED,SC,GAIKWAD VITHAL PURBHAJI,M,,,BJP,17990
18917,Maharashtra,1999,176,4,GANGAKHED,SC,GAUTAM PANDURANGRAO BHALERAO,M,,,RPI,9509
18918,Maharashtra,1999,176,5,GANGAKHED,SC,JANGALE VILAS MANIKRAO,M,,,BBM,2226
18919,Maharashtra,1999,176,6,GANGAKHED,SC,SABNE SHANKAR MUNJAJI,M,,,IND,1093
18920,Maharashtra,1999,176,7,GANGAKHED,SC,GAIKWAD DNYANOBA RAMSEN,M,,,IND,609
18921,Maharashtra,1999,176,8,GANGAKHED,SC,HANWATE CHANDRASHEKHAR RAGHOJI,M,,,IND,522
18922,Maharashtra,1999,176,9,GANGAKHED,SC,GANACHARYA SAMBHA VISHWANATHA,M,,,ABHS,446
18923,Maharashtra,1999,176,10,GANGAKHED,SC,KAMBLE VAIJANATH TUKARAM,M,,,IND,433
21369,Maharashtra,2004,176,2,GANGAKHED,SC,GHANDAT SITARAM CHIMAJI,M,63,SC,IND,33764
21370,Maharashtra,2004,176,5,GANGAKHED,SC,DNYANOBA HARI GAIKWAD,M,59,SC,IND,5212
21371,Maharashtra,2004,176,11,GANGAKHED,SC,GHANGHAV BHARAT CHOKHOBA,M,29,SC,IND,918
21372,Maharashtra,2004,176,7,GANGAKHED,SC,HANVATE GAUTAM MAROTRAO,M,44,SC,IND,1252
21373,Maharashtra,2004,176,4,GANGAKHED,SC,JANGLE VILAS MANIKRAO,M,55,SC,BSP,6992
21374,Maharashtra,2004,176,10,GANGAKHED,SC,MUJMULE NAVNATH NAMDEVRAO,M,34,SC,RPI(A),1007
21375,Maharashtra,2004,176,6,GANGAKHED,SC,JAVADE VITTHAL KONDIBA,M,53,SC,NCP,2064
21376,Maharashtra,2004,176,1,GANGAKHED,SC,GAIKWAD VITTHAL PURBHAJI,M,55,SC,BJP,43065
21377,Maharashtra,2004,176,9,GANGAKHED,SC,HATTIAMBIRE VAIJNATH,M,30,SC,BMSP,1022
21378,Maharashtra,2004,176,8,GANGAKHED,SC,THITTE GOVIND NAGORAO,M,42,SC,IND,1195
21379,Maharashtra,2004,176,3,GANGAKHED,SC,VHAWALE DNYANOBA MAHADU,M,32,SC,PWPI,29395
23628,Maharashtra,2009,97,1,GANGAKHED,GEN,GHANDAT (MAMA),M,60,SC,IND,80404
23629,Maharashtra,2009,97,2,GANGAKHED,GEN,DR. KENDRE MADHUSUDAN,M,46,GEN,BJP,61524
23630,Maharashtra,2009,97,3,GANGAKHED,GEN,WARPUDKAR SURESH,M,60,GEN,NCP,48703
23631,Maharashtra,2009,97,4,GANGAKHED,GEN,DEVRAO GANPATRAO,M,40,SC,BSP,6145
23632,Maharashtra,2009,97,5,GANGAKHED,GEN,LAXMANRAO MADHAVRAO,M,74,GEN,PWPI,5972
23633,Maharashtra,2009,97,6,GANGAKHED,GEN,VIDYAVATI RAMCHANDRA,F,45,GEN,JSS,3370
23634,Maharashtra,2009,97,7,GANGAKHED,GEN,MO. SARVAR S. ISMAIL,M,45,GEN,IND,2358
23635,Maharashtra,2009,97,8,GANGAKHED,GEN,JONDHALE BALASAHEB,M,50,SC,IND,1530
23636,Maharashtra,2009,97,9,GANGAKHED,GEN,GORE CHANDRAKANT KERBA,M,30,SC,IND,1437
23637,Maharashtra,2009,97,10,GANGAKHED,GEN,SAGAR BALAJI MAROTI,M,50,GEN,IND,1336
23638,Maharashtra,2009,97,11,GANGAKHED,GEN,BUDHWARE VITTHAL RAWAN,M,53,GEN,IND,1213
23639,Maharashtra,2009,97,12,GANGAKHED,GEN,SHRIMANTRAO DATTARAO,M,70,GEN,BBM,1000
23640,Maharashtra,2009,97,13,GANGAKHED,GEN,RAMRAO DHANSING RATHOD,M,45,GEN,IND,735
23641,Maharashtra,2009,97,14,GANGAKHED,GEN,DR. NIVRUTI BAPURAO KALE,M,43,GEN,IND,732
23642,Maharashtra,2009,97,15,GANGAKHED,GEN,DESAI SURESH DIGAMBAR,M,34,GEN,IND,486
23643,Maharashtra,2009,97,16,GANGAKHED,GEN,NAGESHI BALASAHEB,M,39,SC,IND,381
23644,Maharashtra,2014,97,1,GANGAKHED,GEN,MADHUSUDAN MANIKRAO KENDRE,M,49,GEN,NCP,58415
23645,Maharashtra,2014,97,2,GANGAKHED,GEN,GUTTE RATNAKAR MANIKRAO,M,55,GEN,RSPS,56126
23646,Maharashtra,2014,97,3,GANGAKHED,GEN,GHANDAT MAMA,M,73,SC,IND,47714
23647,Maharashtra,2014,97,4,GANGAKHED,GEN,DR. DALNAR SHIVAJI VITTHALRAO,M,60,GEN,SHS,41915
23648,Maharashtra,2014,97,5,GANGAKHED,GEN,BALASAHEB RAMRAO DESAI,M,52,GEN,MNS,17816
23649,Maharashtra,2014,97,6,GANGAKHED,GEN,SRIKANT DIGAMBAR BHOSALE,M,36,GEN,IND,6119
23650,Maharashtra,2014,97,7,GANGAKHED,GEN,CHOUDHARI RAVIKANT (BALAKAKA),M,50,GEN,INC,5658
23651,Maharashtra,2014,97,8,GANGAKHED,GEN,PAITHANE SHIVRAJ PRABHAKAR,M,35,SC,BSP,3935
23652,Maharashtra,2014,97,9,GANGAKHED,GEN,CHITRABAI KASHINATH DUDHATE,F,42,GEN,PWPI,2973
23653,Maharashtra,2014,97,10,GANGAKHED,GEN,BHALERAO YASHWANT SANTRAM,M,50,SC,BBM,2315
23654,Maharashtra,2014,97,11,GANGAKHED,GEN,KHAN JAFAR AHEMAD,M,53,GEN,MBT,2227
23655,Maharashtra,2014,97,12,GANGAKHED,GEN,None of the Above,,,,NOTA,2024
23656,Maharashtra,2014,97,13,GANGAKHED,GEN,KALE VISHNU DNYANOBA,M,42,GEN,IND,1221
23657,Maharashtra,2014,97,14,GANGAKHED,GEN,SANJEEV DEVRAO PRADHAN,M,45,SC,IND,1215
23658,Maharashtra,2014,97,15,GANGAKHED,GEN,YUNUS SHAIKH SHAIKH ASHRAF ALI,M,36,GEN,IND,1189
