ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1828,Maharashtra,1967,134,1,GONDIA,GEN,G. S. BAJPEI,M,,,INC,27057
1829,Maharashtra,1967,134,2,GONDIA,GEN,H. G. MAHESHWARI,M,,,BJS,15053
1830,Maharashtra,1967,134,3,GONDIA,GEN,B. C. VERMA,M,,,RPI,14057
1831,Maharashtra,1967,134,4,GONDIA,GEN,S. K. DHOTE,M,,,IND,1082
1832,Maharashtra,1967,134,5,GONDIA,GEN,S. K. KAMDE,M,,,IND,550
3030,Maharashtra,1972,134,1,GONDIA,GEN,GOPALNARAYAN BAJPAI,M,,,INC,29290
3031,Maharashtra,1972,134,2,GONDIA,GEN,BHOJRAJ SAKHARAM RAMTEKE,M,,,CPI,12398
3032,Maharashtra,1972,134,3,GONDIA,GEN,MANOHAR WASUDEORAO BAPAT,M,,,BJS,7468
3033,Maharashtra,1972,134,4,GONDIA,GEN,JANARDHANJI PUNAJI GANVIT,M,,,RPI,5324
3034,Maharashtra,1972,134,5,GONDIA,GEN,ASHALATABAI,M,,,IND,602
4528,Maharashtra,1978,146,1,GONDIA,GEN,BAJPAYEE KAJKUMARI GOPALNARAYAN,F,,,INC,39729
4529,Maharashtra,1978,146,2,GONDIA,GEN,AGRAWAL RADHESHYAM HARISHCHANDRA,M,,,JNP,21033
4530,Maharashtra,1978,146,3,GONDIA,GEN,RAMTEKE BHOJRAJ SAKHARAM,M,,,CPI,8048
4531,Maharashtra,1978,146,4,GONDIA,GEN,DHOTE MANORAMABAI MAHADEORAO,F,,,INC,5783
4532,Maharashtra,1978,146,5,GONDIA,GEN,TURKAR BHAIYALAL TIKARAM,M,,,IND,740
4533,Maharashtra,1978,146,6,GONDIA,GEN,BAPAT MANOHAR WASUDEORAO,M,,,IND,659
4534,Maharashtra,1978,146,7,GONDIA,GEN,RAMTEKE LAXMINCHAND KASHIRAM,M,,,IND,350
4535,Maharashtra,1978,146,8,GONDIA,GEN,AGARWAL GAJANAN MANGALCHAND,M,,,IND,236
6226,Maharashtra,1980,146,1,GONDIYA,GEN,BAJPAYEE RAJKUMARI W/O GOPALNARAYAN,F,,,INC,24828
6227,Maharashtra,1980,146,2,GONDIYA,GEN,RAMTEKE BHOJRAJ SAKHARAM,M,,,CPI,13560
6228,Maharashtra,1980,146,3,GONDIYA,GEN,SHARMA TRILOKINATH SHIVDATTARAM,M,,,BJP,12777
6229,Maharashtra,1980,146,4,GONDIYA,GEN,NAGBHIRE BHUVANSING JITSING,M,,,INC(U),6302
6230,Maharashtra,1980,146,5,GONDIYA,GEN,BHAGAT MOUJILAL DHADUJI,M,,,IND,719
6231,Maharashtra,1980,146,6,GONDIYA,GEN,CHAWHAN HIRAMAN JOSHI,M,,,RPK,282
6232,Maharashtra,1980,146,7,GONDIYA,GEN,NATHU SOME MANDPE,M,,,IND,230
6233,Maharashtra,1980,146,8,GONDIYA,GEN,RAHANGDALE PURANLAL DHARMABHAU,M,,,JNP,179
8209,Maharashtra,1985,146,1,GONDIA,GEN,BAJPAI RAJKUMARI,F,,,INC,26104
8210,Maharashtra,1985,146,2,GONDIA,GEN,AGRAWAL RADHESHYAM HARINARAYAN,M,,,JNP,20631
8211,Maharashtra,1985,146,3,GONDIA,GEN,RAMTEKE BHOJRAJ SAKHARAM,M,,,CPI,10688
8212,Maharashtra,1985,146,4,GONDIA,GEN,BOMBARDE RAJKUMAR DHANUJI,M,,,IND,5335
8213,Maharashtra,1985,146,5,GONDIA,GEN,BHAGAT MAUJILAL DHADUJI,M,,,LKD,3010
8214,Maharashtra,1985,146,6,GONDIA,GEN,GONDANE BHAGWAN MAROTA,M,,,RPI,1348
8215,Maharashtra,1985,146,7,GONDIA,GEN,KHOBREKAR DIGAMBER NAKLU,M,,,IND,1081
8216,Maharashtra,1985,146,8,GONDIA,GEN,TUKAR BHAIYALAL TIKARAM,M,,,IND,468
8217,Maharashtra,1985,146,9,GONDIA,GEN,DAWARE KASHIRAM CHAITRAM,M,,,IND,250
8218,Maharashtra,1985,146,10,GONDIA,GEN,LANJEWAR MOTIRAM TULARAM,M,,,IND,197
11122,Maharashtra,1990,146,1,GONDIA,GEN,HARIHARBHAI MANIBHAI PATEL,M,,,INC,35856
11123,Maharashtra,1990,146,2,GONDIA,GEN,AGARWAL RADHESHYAM HARISHCHANDRA (BABLI),M,,,BJP,22995
11124,Maharashtra,1990,146,3,GONDIA,GEN,JAISWAL VIRENDRA KUMAR KASTURCHAND,M,,,BRP,14946
11125,Maharashtra,1990,146,4,GONDIA,GEN,DIGAMBAR SUNAU PACHE,M,,,IND,4093
11126,Maharashtra,1990,146,5,GONDIA,GEN,JAYANTILAL LALAJI PARMAR,M,,,JD,4056
11127,Maharashtra,1990,146,6,GONDIA,GEN,INGLE ASHOK KESHORAO,M,,,IND,3912
11128,Maharashtra,1990,146,7,GONDIA,GEN,MUNNA BHARADWAJ BUDHARAM BHARADWAJ,M,,,SHS,2691
11129,Maharashtra,1990,146,8,GONDIA,GEN,GOPLANI DEVIDAS POHUMAL,M,,,IND,1211
