ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
296,Maharashtra,1962,62,1,GUHAGAR,GEN,PURUSHOTTAM VASUDEO MANDLIK,M,,,PSP,8232
297,Maharashtra,1962,62,2,GUHAGAR,GEN,MAHADEO SOMA KESARKAR,M,,,INC,7590
298,Maharashtra,1962,62,3,GUHAGAR,GEN,RAMCHANDRA GOPAL MAHAJAN,M,,,JS,6079
299,Maharashtra,1962,62,4,GUHAGAR,GEN,SHANKAR MAHADEO DINGANKAR,M,,,IND,2279
1200,Maharashtra,1967,11,1,GUHAGAR,GEN,M. S. KOSARKAR,M,,,INC,18484
1201,Maharashtra,1967,11,2,GUHAGAR,GEN,P. R. ASAR,M,,,BJS,15614
1202,Maharashtra,1967,11,3,GUHAGAR,GEN,V. S. KADAM,M,,,IND,4763
1203,Maharashtra,1967,11,4,GUHAGAR,GEN,D. V. JOGALEKAR,M,,,IND,3113
1204,Maharashtra,1967,11,5,GUHAGAR,GEN,A. M. KUMBHAR,M,,,IND,1563
2440,Maharashtra,1972,11,1,GUHAGAR,GEN,NATU SHRIDHAR DATTATRAY,M,,,BJS,22145
2441,Maharashtra,1972,11,2,GUHAGAR,GEN,RAMCHANDRA S. BENDAL,M,,,INC,19866
2442,Maharashtra,1972,11,3,GUHAGAR,GEN,GANESH BABAJI PAWAR,M,,,IND,3054
2443,Maharashtra,1972,11,4,GUHAGAR,GEN,SHANTARAM SONU SOLAKAR,M,,,SHS,852
3635,Maharashtra,1978,8,1,GUHAGAR,GEN,NATU DR. SHRIDHAR DATTATRAY,M,,,JNP,40320
3636,Maharashtra,1978,8,2,GUHAGAR,GEN,NIKAM GOVIND SHIVAJIRAO,M,,,INC,20592
5450,Maharashtra,1980,8,1,GUHAGAR,GEN,BENDAL RAMCHANDRA SADASHIV,M,,,INC,25767
5451,Maharashtra,1980,8,2,GUHAGAR,GEN,NATU DR. SHRIDHAR DATTATRAY,M,,,BJP,25541
5452,Maharashtra,1980,8,3,GUHAGAR,GEN,MOHITE ARJUN DHONDU,M,,,IND,2140
7001,Maharashtra,1985,8,1,GUHAGAR,GEN,NATU SHRIDHAR DATTATRAY,M,,,BJP,30338
7002,Maharashtra,1985,8,2,GUHAGAR,GEN,GHANEKAR DHAKU BHAGOJI,M,,,IND,21245
7003,Maharashtra,1985,8,3,GUHAGAR,GEN,M. S. KESARKAR,M,,,INC,6051
7004,Maharashtra,1985,8,4,GUHAGAR,GEN,PRABHAKAR BALWANT JADHAV,M,,,IND,4363
7005,Maharashtra,1985,8,5,GUHAGAR,GEN,SHEKHASON,M,,,IND,1962
7006,Maharashtra,1985,8,6,GUHAGAR,GEN,YADAO LALSA SAHADEO,M,,,IND,779
9224,Maharashtra,1990,8,1,GUHAGAR,GEN,SHRIDHAR D. NATU,M,,,BJP,48116
9225,Maharashtra,1990,8,2,GUHAGAR,GEN,BENDAL RAMCHANDRA SADASHIV,M,,,INC,36716
9226,Maharashtra,1990,8,3,GUHAGAR,GEN,NANDUSHETH RAMCHANDRA THARWAL,M,,,JD,1597
9227,Maharashtra,1990,8,4,GUHAGAR,GEN,S. K. PATIL,M,,,BSP,899
13011,Maharashtra,1995,8,1,GUHAGAR,GEN,DR. NATU VINAY SHRIDHAR,M,,,BJP,57789
13012,Maharashtra,1995,8,2,GUHAGAR,GEN,ADV. MOHITE DAYANAND BHAGURAM,M,,,INC,20377
13013,Maharashtra,1995,8,3,GUHAGAR,GEN,GHANEKAR D.B.,M,,,IND,11711
13014,Maharashtra,1995,8,4,GUHAGAR,GEN,TATKARE SITARAM MAHADEV,M,,,IND,4606
13015,Maharashtra,1995,8,5,GUHAGAR,GEN,KADAM MAHENDRA (SADA),M,,,IND,1076
13016,Maharashtra,1995,8,6,GUHAGAR,GEN,PRABHAKAR KELKAR,M,,,DDP,993
13017,Maharashtra,1995,8,7,GUHAGAR,GEN,HAFIZBHAI SARGUROH,M,,,JD,847
13018,Maharashtra,1995,8,8,GUHAGAR,GEN,PAWAR ANANT VITHAL,M,,,IND,807
13019,Maharashtra,1995,8,9,GUHAGAR,GEN,CHANDRAKANT SANGALE,M,,,IND,363
17711,Maharashtra,1999,8,1,GUHAGAR,GEN,DR NATU VINAY SHRIDHAR,M,,,BJP,38861
17712,Maharashtra,1999,8,2,GUHAGAR,GEN,BAIT CHANDRAKANT DHONDU,M,,,NCP,25126
17713,Maharashtra,1999,8,3,GUHAGAR,GEN,PEDNEKAR PRALHAD DATTARAM,M,,,INC,6347
17714,Maharashtra,1999,8,4,GUHAGAR,GEN,VELHAL SUCHITA SUSHIL,F,,,IND,5350
17715,Maharashtra,1999,8,5,GUHAGAR,GEN,KAPADI MAHENDRA ALIES RAJAN NARAYAN,M,,,IND,2965
