ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
22966,Maharashtra,2009,50,1,HINGNA,GEN,GHODMARE VIJAYBABU,M,53,GEN,BJP,65039
22967,Maharashtra,2009,50,2,HINGNA,GEN,BANG RAMESHCHANDRA GOPIKISAN,M,64,GEN,NCP,64339
22968,Maharashtra,2009,50,3,HINGNA,GEN,RAJARAM GAYAPRASAD,M,48,GEN,BSP,9262
22969,Maharashtra,2009,50,4,HINGNA,GEN,RAJESH MANORANJAN,M,37,GEN,IND,8643
22970,Maharashtra,2009,50,5,HINGNA,GEN,DINESH TARACHAND,M,40,SC,RPI(A),6749
22971,Maharashtra,2009,50,6,HINGNA,GEN,SINGH UDAYABHAN LAXMAN,M,53,GEN,IND,2659
22972,Maharashtra,2009,50,7,HINGNA,GEN,DILIP MANGAL MADAVI,M,45,ST,GGP,1030
22973,Maharashtra,2009,50,8,HINGNA,GEN,ZIBAL JAIRAM WAGHADE,M,63,GEN,IND,678
22974,Maharashtra,2009,50,9,HINGNA,GEN,MADHUKAR NAMDEORAO,M,35,GEN,STBP,644
22975,Maharashtra,2009,50,10,HINGNA,GEN,DEORAO NATTHUJI,M,52,SC,IND,549
22976,Maharashtra,2009,50,11,HINGNA,GEN,FULKAR SANJAY,M,51,GEN,IND,541
22977,Maharashtra,2009,50,12,HINGNA,GEN,MILIND KESHAORAOJI PATIL,M,30,SC,IND,503
22978,Maharashtra,2009,50,13,HINGNA,GEN,DEVANAND PANDURANG,M,39,GEN,IND,285
22979,Maharashtra,2009,50,14,HINGNA,GEN,UIKEY SANGITA SURYABHAN,F,35,ST,JMM,261
22980,Maharashtra,2009,50,15,HINGNA,GEN,GURUDAS UDDHAO BAWANE,M,33,SC,IND,246
22981,Maharashtra,2014,50,1,HINGNA,GEN,MEGHE SAMEER DATTATRAYA,M,36,GEN,BJP,84139
22982,Maharashtra,2014,50,2,HINGNA,GEN,BANG RAMESHCHANDRA GOPIKISAN,M,69,GEN,NCP,60981
22983,Maharashtra,2014,50,3,HINGNA,GEN,KUNDA SHYAMDEO RAUT,F,38,GEN,INC,20573
22984,Maharashtra,2014,50,4,HINGNA,GEN,BHADANT MAHAPANT,M,64,GEN,BSP,19450
22985,Maharashtra,2014,50,5,HINGNA,GEN,PRAKASHBHAU JADHAO,M,48,GEN,SHS,6997
22986,Maharashtra,2014,50,6,HINGNA,GEN,COM KALE SHYAM,M,39,SC,CPI,1711
22987,Maharashtra,2014,50,7,HINGNA,GEN,DINESH TARACHAND BANSOD,M,46,SC,RPIE,1298
22988,Maharashtra,2014,50,8,HINGNA,GEN,KISHOR (NARENDRA) VINAYAKRAO SARAYKAR,M,46,GEN,MNS,1075
22989,Maharashtra,2014,50,9,HINGNA,GEN,CHAMDEO TUKARAM AATARAM,M,32,ST,GGP,821
22990,Maharashtra,2014,50,10,HINGNA,GEN,None of the Above,,,,NOTA,709
22991,Maharashtra,2014,50,11,HINGNA,GEN,MOON RAHUL VITHOBA,M,36,SC,IND,614
22992,Maharashtra,2014,50,12,HINGNA,GEN,SIDHARTH AKHADUJI BODILE,M,45,SC,APOI,597
22993,Maharashtra,2014,50,13,HINGNA,GEN,ANITA NAGDIGAMBAR TEKAM,F,37,ST,IND,295
22994,Maharashtra,2014,50,14,HINGNA,GEN,SHELKE RAGHUNATH SHANKARRAO,M,61,GEN,ARP,261
22995,Maharashtra,2014,50,15,HINGNA,GEN,GURUDAS UDDHAORAO BAWNE,M,38,SC,IND,252
22996,Maharashtra,2014,50,16,HINGNA,GEN,RAJESH NAVALKISHOR THAKUR,M,44,GEN,IND,229
22997,Maharashtra,2014,50,17,HINGNA,GEN,NANDLAL KISANRAO MAHULIKAR,M,41,GEN,BBM,188
22998,Maharashtra,2014,50,18,HINGNA,GEN,GAJANAN SHANKARRAOJI ASHTANKAR (ADVOCATE),M,61,GEN,IND,173
