ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
960,Maharashtra,1962,211,1,HINGANGHAT,GEN,VINAYAK MADHAORAO CHAUDHARY,M,,,IND,37523
961,Maharashtra,1962,211,2,HINGANGHAT,GEN,KESHAORAO MOTIRAM ZADE,M,,,INC,24847
962,Maharashtra,1962,211,3,HINGANGHAT,GEN,VASANTRAO YESHWANTRAO SARODE,M,,,JS,1666
963,Maharashtra,1962,211,4,HINGANGHAT,GEN,GULAM ABAS FIDAHUSSEN,M,,,IND,427
964,Maharashtra,1962,211,5,HINGANGHAT,GEN,CHOKHOBA DEWAJI KAMLE,M,,,IND,356
965,Maharashtra,1962,211,6,HINGANGHAT,GEN,BAPURAO URKUDA KITHE,M,,,IND,220
966,Maharashtra,1962,211,7,HINGANGHAT,GEN,DATUJI GOVINDA RAHATE,M,,,IND,201
2928,Maharashtra,1972,120,1,HINGANGHAT,GEN,KESHAORAO MOTIRAMJI ZADE,M,,,INC,33382
2929,Maharashtra,1972,120,2,HINGANGHAT,GEN,DEORAOJI ZHOLBAJI KOLHE,M,,,RPK,19092
2930,Maharashtra,1972,120,3,HINGANGHAT,GEN,PANDURANG REWATKAR,M,,,FBL,10304
2931,Maharashtra,1972,120,4,HINGANGHAT,GEN,VISHWANATH LAKHAJI BHAGAT,M,,,RPI,8328
2932,Maharashtra,1972,120,5,HINGANGHAT,GEN,VITHALRAO WKOSURKAR,M,,,BJS,2605
4386,Maharashtra,1978,130,1,HINGANGHAT,GEN,KOLHE DEORAOJI ZOLBAJI,M,,,INC,56668
4387,Maharashtra,1978,130,2,HINGANGHAT,GEN,HULKE PANDHARINATH VITHOBAJI,M,,,RPK,21226
4388,Maharashtra,1978,130,3,HINGANGHAT,GEN,ZOTHING KRISHNARAO MOTIRAMJI,M,,,INC,9190
4389,Maharashtra,1978,130,4,HINGANGHAT,GEN,SUTE BHOLANATH LAHANUJI,M,,,IND,3602
4390,Maharashtra,1978,130,5,HINGANGHAT,GEN,LOHKARE VIKRAM MAHIPATI,M,,,IND,1334
4391,Maharashtra,1978,130,6,HINGANGHAT,GEN,PISE RAMESHCHANDRA DHARMAJI,M,,,IND,755
