ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
566,Maharashtra,1962,129,1,IGATPURI,GEN,MULCHAND SHRIMAL GOTHI,M,,,INC,12829
567,Maharashtra,1962,129,2,IGATPURI,GEN,SHABAJI RAMCHANDRA KHATALE,M,,,CPI,11808
568,Maharashtra,1962,129,3,IGATPURI,GEN,JOQUIM SEMOES,M,,,PSP,5766
569,Maharashtra,1962,129,4,IGATPURI,GEN,PUNJARAM KALU SALWA,M,,,IND,449
1460,Maharashtra,1967,60,1,IGATPURI,ST,S. G. CHAVARE,M,,,INC,25788
1461,Maharashtra,1967,60,2,IGATPURI,ST,L. K. BOMBALE,M,,,CPI,13665
2669,Maharashtra,1972,60,1,IGATPURI,ST,GHARE VITHAL GANPAT,M,,,INC,23060
2670,Maharashtra,1972,60,2,IGATPURI,ST,WAGH BHAU SAKRU,M,,,BKD,10859
2671,Maharashtra,1972,60,3,IGATPURI,ST,AGIWALESHWARAVAN SOMA,M,,,IND,4312
2672,Maharashtra,1972,60,4,IGATPURI,ST,SAKHARAM NANA JADHAV,M,,,PWP,2151
2673,Maharashtra,1972,60,5,IGATPURI,ST,UTTAM THAMAJI BHARMAL,M,,,BJS,1299
3965,Maharashtra,1978,66,1,IGATPURI,ST,WAGH BHAU SAKRU,M,,,INC,20120
3966,Maharashtra,1978,66,2,IGATPURI,ST,DAMASE MADHAVRAO SAKHARAM,M,,,JNP,12850
3967,Maharashtra,1978,66,3,IGATPURI,ST,KHATLE NARAYAN BHAU,M,,,INC,10950
3968,Maharashtra,1978,66,4,IGATPURI,ST,BOMADE LAXMAN KRISHNA,M,,,CPI,6042
3969,Maharashtra,1978,66,5,IGATPURI,ST,REVAL BHIKUNATH BENDUJI,M,,,IND,684
3970,Maharashtra,1978,66,6,IGATPURI,ST,MANDE LAXMAN DAGADU,M,,,IND,644
3971,Maharashtra,1978,66,7,IGATPURI,ST,MORE NANDLAL VITHAL,M,,,IND,587
3972,Maharashtra,1978,66,8,IGATPURI,ST,ADHAR BABABAI PHATUSHET,F,,,IND,531
5775,Maharashtra,1980,66,1,IGATPURI,ST,GHARE VITHALRAO GANPAT,M,,,INC,17389
5776,Maharashtra,1980,66,2,IGATPURI,ST,WAGH BHAU SAKRU,M,,,INC(U),10798
5777,Maharashtra,1980,66,3,IGATPURI,ST,ACHARI GANPAT SOMA,M,,,IND,8483
5778,Maharashtra,1980,66,4,IGATPURI,ST,DAMSE MADHAVRAO SAKHARAM,M,,,JNP,7051
5779,Maharashtra,1980,66,5,IGATPURI,ST,ZOLE SHIVARAM SHANKAR,M,,,IND,4581
5780,Maharashtra,1980,66,6,IGATPURI,ST,BOMBALE SHIVARAM MAHADEV,M,,,IND,260
7509,Maharashtra,1985,66,1,IGATPURI,ST,ZOLE SHIVRAM SHANKAR,M,,,ICS,21168
7510,Maharashtra,1985,66,2,IGATPURI,ST,GHARE VITHALRAO GANPAT,M,,,INC,17073
7511,Maharashtra,1985,66,3,IGATPURI,ST,BAMALE YADAVRAO ANANDRAO,M,,,IND,7052
7512,Maharashtra,1985,66,4,IGATPURI,ST,KAMADI SOMA SONU,M,,,IND,6007
7513,Maharashtra,1985,66,5,IGATPURI,ST,CHANDRE CHANDER BHAU,M,,,IND,2030
7514,Maharashtra,1985,66,6,IGATPURI,ST,PAWAR MADHUKAR PANDIT,M,,,IND,322
9783,Maharashtra,1990,66,1,IGATPURI,ST,YADAVRAO ANANDRAO BAMBALE,M,,,BJP,22656
9784,Maharashtra,1990,66,2,IGATPURI,ST,GHARE VITTHALRAO GANPAT,M,,,IND,19632
9785,Maharashtra,1990,66,3,IGATPURI,ST,SHIVRAM SHANKAR ZOLE,M,,,INC,18924
9786,Maharashtra,1990,66,4,IGATPURI,ST,AGIWALE KACHARU YASHAWANT,M,,,ICS(SCS),4926
9787,Maharashtra,1990,66,5,IGATPURI,ST,KHATELE NARAYAN BAHU,M,,,PWP,2106
9788,Maharashtra,1990,66,6,IGATPURI,ST,SHANKARRAO KALU ZOLE,M,,,IND,1039
9789,Maharashtra,1990,66,7,IGATPURI,ST,LANDE MADHUKAR MANAJI,M,,,IND,823
9790,Maharashtra,1990,66,8,IGATPURI,ST,BADADE VISHNU DHARAMAJI,M,,,IND,146
13817,Maharashtra,1995,66,1,IGATPURI,ST,ZOLE SHIVRAM SHANKAR,M,,,INC,33365
13818,Maharashtra,1995,66,2,IGATPURI,ST,GANGAD PANDOORANG CHAPU,M,,,PWP,26289
13819,Maharashtra,1995,66,3,IGATPURI,ST,ZOLE PANDURANG SHANKAR,M,,,SHS,24829
13820,Maharashtra,1995,66,4,IGATPURI,ST,BAMBALE YADAVRAO ANANDRAO,M,,,IND,8128
