ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
235,Maharashtra,1962,50,1,INDAPUR,GEN,SHANKARRAO BAJIRAO PATIL,M,,,INC,18676
236,Maharashtra,1962,50,2,INDAPUR,GEN,DINKARRAO SHANKARRAO PATIL,M,,,PWP,11122
237,Maharashtra,1962,50,3,INDAPUR,GEN,KERBA DHONDIBA VYAVHARE,M,,,IND,4974
238,Maharashtra,1962,50,4,INDAPUR,GEN,NARAYAN DATTATRAYA KULKARNI,M,,,IND,3263
239,Maharashtra,1962,50,5,INDAPUR,GEN,HANMANT SHRINIWAS DESHPANDE,M,,,JS,1190
240,Maharashtra,1962,50,6,INDAPUR,GEN,SHHANKAR KRUSHNAJEE SONAWANE,M,,,IND,561
241,Maharashtra,1962,50,7,INDAPUR,GEN,TUKARAM SHRIPATI NALAWADE,M,,,IND,476
2280,Maharashtra,1967,238,1,INDAPUR,GEN,S. B. PATIL,M,,,INC,32420
2281,Maharashtra,1967,238,2,INDAPUR,GEN,G. A. AWATE,M,,,PSP,20124
2282,Maharashtra,1967,238,3,INDAPUR,GEN,R. K. RASKAR,M,,,PWP,629
3480,Maharashtra,1972,238,1,INDAPUR,GEN,PATIL SHANKARRAO BAJIRAO,M,,,INC,42294
3481,Maharashtra,1972,238,2,INDAPUR,GEN,AWATE GANPAT ABAJI,M,,,SOP,21842
3482,Maharashtra,1972,238,3,INDAPUR,GEN,KAMBALE BHANUDASSAKHARAM,M,,,RPK,673
3483,Maharashtra,1972,238,4,INDAPUR,GEN,VAZE MUKUND ABAJI,M,,,BJS,205
5207,Maharashtra,1978,254,1,INDAPUR,GEN,PATIL SAHKARRAO BAJIRAO,M,,,INC,40332
5208,Maharashtra,1978,254,2,INDAPUR,GEN,AVATE GANAPT ABAJI,M,,,IND,28543
5209,Maharashtra,1978,254,3,INDAPUR,GEN,HEGDE ANNA MADHAV,M,,,JNP,8119
5210,Maharashtra,1978,254,4,INDAPUR,GEN,RANSING VISHWASRAO KRISHNAJI,M,,,INC,3039
5211,Maharashtra,1978,254,5,INDAPUR,GEN,ZENDE PANDURANG BAPU,M,,,IND,1201
6798,Maharashtra,1980,254,1,INDAPUR,GEN,GHOLAP RAJENDRA KUMAR BABURAO,M,,,INC,41619
6799,Maharashtra,1980,254,2,INDAPUR,GEN,MORE JAGANNATH MARUTRAO,M,,,INC(U),35826
9002,Maharashtra,1985,254,1,INDAPUR,GEN,GANPATRAO SITARAM PATIL,M,,,INC,45511
9003,Maharashtra,1985,254,2,INDAPUR,GEN,JAGANNATHRAO MARUTRAO MORE,M,,,ICS,40613
9004,Maharashtra,1985,254,3,INDAPUR,GEN,RATNAKAR MALHARI MAKHARE,M,,,IND,1933
9005,Maharashtra,1985,254,4,INDAPUR,GEN,L. D. BHOSALE,M,,,IND,1026
9006,Maharashtra,1985,254,5,INDAPUR,GEN,JOSHI ASHOK MARUTIRAO,M,,,IND,279
9007,Maharashtra,1985,254,6,INDAPUR,GEN,GAIKWAD MAGAN BAPU,M,,,IND,258
12670,Maharashtra,1990,254,1,INDAPUR,GEN,PATIL GANAPATRAO SITARAM,M,,,INC,62638
12671,Maharashtra,1990,254,2,INDAPUR,GEN,MORE JAGANNATHRAO MARUTRAO,M,,,IND,29135
12672,Maharashtra,1990,254,3,INDAPUR,GEN,JADHAO BALBHIM NARAYAN,M,,,SHS,12218
12673,Maharashtra,1990,254,4,INDAPUR,GEN,RANSING VISHWASRAO KRISHNAJI,M,,,JD,11281
12674,Maharashtra,1990,254,5,INDAPUR,GEN,SAYYAD HAMID MUBARAK,M,,,IND,214
17325,Maharashtra,1995,254,1,INDAPUR,GEN,PATIL HARSHWARDHAN,M,31,GEN,IND,59125
17326,Maharashtra,1995,254,2,INDAPUR,GEN,PATIL GANPATRAO SITARAM,M,,,INC,47949
17327,Maharashtra,1995,254,3,INDAPUR,GEN,GARATKAR PRADEEP PRABHAKAR,M,32,GEN,IND,38797
17328,Maharashtra,1995,254,4,INDAPUR,GEN,SONWANE SUNIL VISHWANTH,M,,,IND,3212
17329,Maharashtra,1995,254,5,INDAPUR,GEN,THORAT TANAJI SAHEBRAO,M,,,IND,1345
17330,Maharashtra,1995,254,6,INDAPUR,GEN,SAWANT VITHAL DNYANU,M,,,IND,508
17331,Maharashtra,1995,254,7,INDAPUR,GEN,KALE ANKUSH LANDHYA,M,,,BBMS,264
19497,Maharashtra,1999,254,1,INDAPUR,GEN,PATIL HARSHWARDHAN,M,36,GEN,IND,64840
19498,Maharashtra,1999,254,2,INDAPUR,GEN,NIMBALKAR MURLIDHAR SHANKARRAO,M,,,NCP,37898
19499,Maharashtra,1999,254,3,INDAPUR,GEN,GARATKAR PRADEEP PRABHAKAR,M,36,GEN,IND,25401
19500,Maharashtra,1999,254,4,INDAPUR,GEN,NARUTE KISAN SAKHARAM,M,,,INC,1655
19501,Maharashtra,1999,254,5,INDAPUR,GEN,MARKAD BAPU SHRIPATI,M,,,IND,593
22130,Maharashtra,2004,254,2,INDAPUR,GEN,GARATKAR PRADEEP PRABHAKAR,M,41,GEN,SHS,69836
22131,Maharashtra,2004,254,4,INDAPUR,GEN,KALE SUNIL GANAPAT,M,35,GEN,RSPS,1875
22132,Maharashtra,2004,254,1,INDAPUR,GEN,PATIL HARSHWARDHAN,M,41,GEN,IND,94409
22133,Maharashtra,2004,254,3,INDAPUR,GEN,PRADEEPKUMAR GIRIDHAR SABLE,M,33,GEN,BSP,3952
24863,Maharashtra,2009,200,1,INDAPUR,GEN,PATIL HARSHWARDHAN,M,46,GEN,INC,92729
24864,Maharashtra,2009,200,2,INDAPUR,GEN,DATTATRAY VITHOBA BHARNE,M,41,GEN,IND,84769
24865,Maharashtra,2009,200,3,INDAPUR,GEN,BHIMRAO MANIKRAO,M,48,GEN,SHS,4106
24866,Maharashtra,2009,200,4,INDAPUR,GEN,SHIVAJIRAO WAMAN,M,34,SC,IND,2634
24867,Maharashtra,2009,200,5,INDAPUR,GEN,SHAKIL MAKBUL SAYYAD,M,37,GEN,BSP,1742
24868,Maharashtra,2009,200,6,INDAPUR,GEN,LONDHE MAHADEV,M,35,SC,IND,998
24869,Maharashtra,2009,200,7,INDAPUR,GEN,ZENDE BHAURAO RAJARAM,M,40,SC,IND,939
24870,Maharashtra,2009,200,8,INDAPUR,GEN,POL SUDHIR ARJUN,M,39,SC,IND,715
24871,Maharashtra,2009,200,9,INDAPUR,GEN,MADANE MACHHINDRA,M,44,GEN,IND,452
24872,Maharashtra,2009,200,10,INDAPUR,GEN,GIRISH MADAN PATIL,M,25,GEN,IND,400
24873,Maharashtra,2009,200,11,INDAPUR,GEN,GAIKWAD VIKAS BHIMRAO,M,32,SC,IND,392
24874,Maharashtra,2009,200,12,INDAPUR,GEN,BHOSALE SHARAD UTTAM,M,39,GEN,IND,301
24875,Maharashtra,2009,200,13,INDAPUR,GEN,KADALE BHIMRAO ANNA,M,32,SC,IND,255
24876,Maharashtra,2009,200,14,INDAPUR,GEN,MORE VASANT GANPAT,M,39,GEN,SP,253
24877,Maharashtra,2014,200,1,INDAPUR,GEN,DATTATRAY VITHOBA BHARNE,M,46,GEN,NCP,108400
24878,Maharashtra,2014,200,2,INDAPUR,GEN,PATIL HARSHWARDHAN,M,51,GEN,INC,94227
24879,Maharashtra,2014,200,3,INDAPUR,GEN,CHAVARE DNYANDEO  ALIAS MAULI HARIBHAU,M,41,GEN,BJP,4260
24880,Maharashtra,2014,200,4,INDAPUR,GEN,BONDRE VISHAL SHIVRAM,M,57,GEN,SHS,2184
24881,Maharashtra,2014,200,5,INDAPUR,GEN,ZENDE SUNIL BHARAT,M,28,SC,BSP,1242
24882,Maharashtra,2014,200,6,INDAPUR,GEN,SHIVAJIRAO VAMAN MAKHARE,M,39,SC,IND,1110
24883,Maharashtra,2014,200,7,INDAPUR,GEN,SUDHIR ARJUN POL,M,40,SC,IND,1020
24884,Maharashtra,2014,200,8,INDAPUR,GEN,SHINDE SHANKARRAO LAXMAN,M,37,GEN,IND,993
24885,Maharashtra,2014,200,9,INDAPUR,GEN,KHATKALE NAGESH BHAGWAN,M,54,GEN,LAP,654
24886,Maharashtra,2014,200,10,INDAPUR,GEN,DIPAK ALIAS BABASAHEB DINKAR BHONG,M,40,GEN,BMUP,528
24887,Maharashtra,2014,200,11,INDAPUR,GEN,None of the Above,,,,NOTA,437
24888,Maharashtra,2014,200,12,INDAPUR,GEN,MAHADEV BHANUDAS ARJUN,M,48,GEN,IND,399
24889,Maharashtra,2014,200,13,INDAPUR,GEN,PAWAR VITTHAL NAMDEVRAO,M,50,GEN,STBP,385
24890,Maharashtra,2014,200,14,INDAPUR,GEN,PANDURANG SAMBHAJI RAYATE,M,42,GEN,IND,350
24891,Maharashtra,2014,200,15,INDAPUR,GEN,ABHAYSINH VITTHALRAO NIMBALKAR,M,33,GEN,IND,317
24892,Maharashtra,2014,200,16,INDAPUR,GEN,PATIL GIRISH MADAN,M,30,GEN,IND,263
24893,Maharashtra,2014,200,17,INDAPUR,GEN,BHIMRAO AANNA KADALE,M,35,SC,IND,246
24894,Maharashtra,2014,200,18,INDAPUR,GEN,SANTOSH HANUMANT BHISE,M,36,SC,IND,244
24895,Maharashtra,2014,200,19,INDAPUR,GEN,BHIMRAO (BHIMSEN) DHARMA CHAVAN,M,51,SC,IND,234
24896,Maharashtra,2014,200,20,INDAPUR,GEN,VISHNUNARAYAN SHAHAJI LADE,M,26,GEN,IND,197
24897,Maharashtra,2014,200,21,INDAPUR,GEN,NIVRUTTI RAMCHANDRA BHONG,M,49,GEN,IND,178
24898,Maharashtra,2014,200,22,INDAPUR,GEN,NAVNATH TANAJI SHEVALE,M,32,SC,IND,163
