ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
22634,Maharashtra,2009,27,1,JALGAON (JAMOD),GEN,DR. KUTE SANJAY SHRIRAM,M,40,GEN,BJP,49224
22635,Maharashtra,2009,27,2,JALGAON (JAMOD),GEN,PRASENJIT KISAN TAYADE,M,45,GEN,BBM,45177
22636,Maharashtra,2009,27,3,JALGAON (JAMOD),GEN,BURUNGLE RAMVIJAY,M,42,GEN,INC,43220
22637,Maharashtra,2009,27,4,JALGAON (JAMOD),GEN,VASANTRAO DANDGE,M,58,GEN,IND,5997
22638,Maharashtra,2009,27,5,JALGAON (JAMOD),GEN,VASUDEO NARAYAN,M,47,GEN,IND,3324
22639,Maharashtra,2009,27,6,JALGAON (JAMOD),GEN,DATTATRAY HARIBHAU,M,32,GEN,AUDF,2590
22640,Maharashtra,2009,27,7,JALGAON (JAMOD),GEN,WANKHADE ONKAR SHRIPAT,M,39,SC,IND,1862
22641,Maharashtra,2009,27,8,JALGAON (JAMOD),GEN,ADV. D.M. BHAGAT,M,37,SC,BSP,1184
22642,Maharashtra,2009,27,9,JALGAON (JAMOD),GEN,AB. AHAD AB. SAMAD,M,29,GEN,IND,814
22643,Maharashtra,2009,27,10,JALGAON (JAMOD),GEN,SK. SHAKIL SK. BURAN,M,33,GEN,IND,762
22644,Maharashtra,2009,27,11,JALGAON (JAMOD),GEN,SHIVSING VITTHALSING,M,65,GEN,PWPI,689
22645,Maharashtra,2009,27,12,JALGAON (JAMOD),GEN,RAMESH DATTATRAY,M,44,GEN,IND,671
22646,Maharashtra,2009,27,13,JALGAON (JAMOD),GEN,MAHENDRA SAMPATRAO,M,46,SC,IND,555
22647,Maharashtra,2009,27,14,JALGAON (JAMOD),GEN,PRASHANT KASHIRAM,M,29,GEN,IND,525
22648,Maharashtra,2009,27,15,JALGAON (JAMOD),GEN,KHAN ABDUL RAHIM ABDUL,M,30,GEN,IUML,493
22649,Maharashtra,2009,27,16,JALGAON (JAMOD),GEN,FUSE SANTOSH SHALIGRAM,M,36,GEN,IND,374
22650,Maharashtra,2009,27,17,JALGAON (JAMOD),GEN,SUROSHE PRABHAKAR,M,48,SC,IND,370
22651,Maharashtra,2009,27,18,JALGAON (JAMOD),GEN,JABIULLHASHAH,M,42,GEN,IND,300
22652,Maharashtra,2009,27,19,JALGAON (JAMOD),GEN,DABERAO PYARELAL,M,41,ST,IND,282
22653,Maharashtra,2009,27,20,JALGAON (JAMOD),GEN,ADV. SHASHIKANT,M,29,GEN,IND,270
22654,Maharashtra,2014,27,1,JALGAON (JAMOD),GEN,DR. KUTE SANJAY SHRIRAM,M,45,GEN,BJP,63888
22655,Maharashtra,2014,27,2,JALGAON (JAMOD),GEN,PRASENJIT KISAN TAYADE,M,49,GEN,BBM,59193
22656,Maharashtra,2014,27,3,JALGAON (JAMOD),GEN,BURUNGLE RAMVIJAY,M,47,GEN,INC,36461
22657,Maharashtra,2014,27,4,JALGAON (JAMOD),GEN,SANTOSH ANANDA GHATOL,M,30,GEN,SHS,9467
22658,Maharashtra,2014,27,5,JALGAON (JAMOD),GEN,GHOLAP RAMESH PUNJAJI,M,57,GEN,IND,6540
22659,Maharashtra,2014,27,6,JALGAON (JAMOD),GEN,DHOKANE PRAKASH TULSHIRAMJI,M,47,GEN,NCP,6056
22660,Maharashtra,2014,27,7,JALGAON (JAMOD),GEN,WAGH GAJANAN NAMDEVRAO,M,52,GEN,MNS,2327
22661,Maharashtra,2014,27,8,JALGAON (JAMOD),GEN,INGLE DNYANDEV VISHNU,M,44,SC,BSP,1099
22662,Maharashtra,2014,27,9,JALGAON (JAMOD),GEN,SUDHAKAR SHRIRAMSA NANDANE,M,40,GEN,IND,1036
22663,Maharashtra,2014,27,10,JALGAON (JAMOD),GEN,None of the Above,,,,NOTA,868
22664,Maharashtra,2014,27,11,JALGAON (JAMOD),GEN,WAMANRAO GANPAT AKHARE,M,58,GEN,IND,759
22665,Maharashtra,2014,27,12,JALGAON (JAMOD),GEN,LAHANE SUDHAKAR LAXMAN,M,63,GEN,IND,722
22666,Maharashtra,2014,27,13,JALGAON (JAMOD),GEN,ADV. PRAMOD KISANRAO GHATE,M,33,SC,BMUP,602
22667,Maharashtra,2014,27,14,JALGAON (JAMOD),GEN,ADV. KARIM SAMAD KHAN,M,41,GEN,IND,450
22668,Maharashtra,2014,27,15,JALGAON (JAMOD),GEN,SK. MOHINODDIN SK. SALIMODDIN,M,55,GEN,IND,394
22669,Maharashtra,2014,27,16,JALGAON (JAMOD),GEN,BHARAT SADASHIV INGLE,M,60,SC,IND,390
22670,Maharashtra,2014,27,17,JALGAON (JAMOD),GEN,SHRIKRUSHN TULASHIRAM KURWALE,M,35,GEN,IND,390
22671,Maharashtra,2014,27,18,JALGAON (JAMOD),GEN,HAJI DR. JAVED HUSAIN SHAHA,M,31,GEN,IND,283
22672,Maharashtra,2014,27,19,JALGAON (JAMOD),GEN,BODADE BABANRAO  GOTUJI,M,63,SC,IND,255
