ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
683,Maharashtra,1962,155,1,JALGAON,GEN,PRATIBHA NARAYANRAO PATIL,M,,,INC,19524
684,Maharashtra,1962,155,2,JALGAON,GEN,SADASHIV NARAYAN BHALERAO,M,,,CPI,8043
685,Maharashtra,1962,155,3,JALGAON,GEN,KESHAVRAO TRYAMBAKRAO BHOITE,M,,,JS,6226
686,Maharashtra,1962,155,4,JALGAON,GEN,DULICHAND LALCHAND JOSHI,M,,,PSP,1658
1561,Maharashtra,1967,87,1,JALGAON,GEN,T. T. SALUNKHE,M,,,INC,18543
1562,Maharashtra,1967,87,2,JALGAON,GEN,S. N. BHALERAO,M,,,CPI,16506
1563,Maharashtra,1967,87,3,JALGAON,GEN,P. K. ZARE,M,,,BJS,10410
1564,Maharashtra,1967,87,4,JALGAON,GEN,S. H. RAYASONI,M,,,PSP,1789
1565,Maharashtra,1967,87,5,JALGAON,GEN,N. T. JOSHI,M,,,IND,390
1566,Maharashtra,1967,87,6,JALGAON,GEN,F. B. SONAVANE,M,,,IND,159
2786,Maharashtra,1972,87,1,JALGAON,GEN,MADHUKAR ATMARAM PATIL,M,,,INC,23392
2787,Maharashtra,1972,87,2,JALGAON,GEN,BHALERAO SADASHIV NARAYAN,M,,,CPI,20199
2788,Maharashtra,1972,87,3,JALGAON,GEN,NIKAM RAGHUNATH JAYAWANTRAO,M,,,BJS,7144
2789,Maharashtra,1972,87,4,JALGAON,GEN,HEMAN SHANKAR KALE,M,,,IND,527
2790,Maharashtra,1972,87,5,JALGAON,GEN,GOVIND RAMCHANDRA AFALE,M,,,SHS,180
2791,Maharashtra,1972,87,6,JALGAON,GEN,FAKIRCHAND B. SONAWANE,M,,,IND,123
4139,Maharashtra,1978,95,1,JALGAON,GEN,JAIN ISHWARLAL SHANKARLAL,M,,,INC,30099
4140,Maharashtra,1978,95,2,JALGAON,GEN,SHIKH MO. ISMAIL IBRAHIM,M,,,JNP,22684
4141,Maharashtra,1978,95,3,JALGAON,GEN,SONAWANE SITARAM TOTARAM,M,,,IND,8453
4142,Maharashtra,1978,95,4,JALGAON,GEN,PATIL KASHINATH DODHU,M,,,INC,8372
4143,Maharashtra,1978,95,5,JALGAON,GEN,BHALERAO SADASHIV NARAYAN,M,,,CPI,4609
4144,Maharashtra,1978,95,6,JALGAON,GEN,KALE HAMANT SHANKAR,M,,,IND,179
4145,Maharashtra,1978,95,7,JALGAON,GEN,KEDARI MUSHTAKALI SIYADALI,M,,,IND,158
4146,Maharashtra,1978,95,8,JALGAON,GEN,CHAUDHARI EKNATH BHADU,M,,,IND,123
5925,Maharashtra,1980,95,1,JALGAON,GEN,JAIN SURESH BHIKAMCHAND,M,,,INC,43827
5926,Maharashtra,1980,95,2,JALGAON,GEN,CHAUDHARI TUKARAM SHRIPAT,M,,,INC(U),18946
5927,Maharashtra,1980,95,3,JALGAON,GEN,GAJANAN PANNALAL JOSHI,M,,,BJP,9380
5928,Maharashtra,1980,95,4,JALGAON,GEN,SAPKALE GORKHNATH DAULAT,M,,,IND,452
5929,Maharashtra,1980,95,5,JALGAON,GEN,TADVI HAMID VAJIR,M,,,JNP(SR),430
5930,Maharashtra,1980,95,6,JALGAON,GEN,NIKAM DEVCHAND RAMCHANDRA,M,,,IND,251
5931,Maharashtra,1980,95,7,JALGAON,GEN,V. N. PATIL,M,,,IND,182
5932,Maharashtra,1980,95,8,JALGAON,GEN,DODHU VANA BADGUJAR,M,,,IND,170
5933,Maharashtra,1980,95,8,JALGAON,GEN,PATIL RUPCHAND MAHIPAT,M,,,IND,170
7730,Maharashtra,1985,95,1,JALGAON,GEN,JAIN SURESHKUMAR BHIKAMCHAND,M,,,ICS,47629
7731,Maharashtra,1985,95,2,JALGAON,GEN,CHOUDHARI RAMESH PANDIT,M,,,INC,35819
7732,Maharashtra,1985,95,3,JALGAON,GEN,BHALERAO SADASHIV NARAYAN,M,,,CPI,2315
7733,Maharashtra,1985,95,4,JALGAON,GEN,GHADE RAJARAM ASARAM,M,,,IND,855
7734,Maharashtra,1985,95,5,JALGAON,GEN,BANDU NINA WAGH,M,,,IND,187
7735,Maharashtra,1985,95,6,JALGAON,GEN,PATIL MOTINAL SUKDEO,M,,,IND,183
7736,Maharashtra,1985,95,7,JALGAON,GEN,PATIL RAMSING RAOJI,M,,,IND,114
7737,Maharashtra,1985,95,8,JALGAON,GEN,SONAWANE GULAB KHOLU,M,,,IND,76
7738,Maharashtra,1985,95,9,JALGAON,GEN,PATHAK SHIVDAS BANDU,M,,,LKD,75
7739,Maharashtra,1985,95,10,JALGAON,GEN,BAVISKAR BHAGWAN TILA,M,,,IND,53
7740,Maharashtra,1985,95,11,JALGAON,GEN,SONAWANE GANSHAM MAHARU,M,,,IND,41
7741,Maharashtra,1985,95,12,JALGAON,GEN,SONAWANE FAKIRCHAND BHAVAJI,M,,,IND,27
10112,Maharashtra,1990,95,1,JALGAON,GEN,JAIN SURESHKUMAR BHIKAMCHAND,M,,,ICS(SCS),61562
10113,Maharashtra,1990,95,2,JALGAON,GEN,JAIN ISHWARLAL SHANKARKAL,M,,,INC,36792
10114,Maharashtra,1990,95,3,JALGAON,GEN,JAGTAP PRAKASH DAULAT,M,,,SHS,19710
10115,Maharashtra,1990,95,4,JALGAON,GEN,PATIL P. E. TATYA,M,,,IND,1169
10116,Maharashtra,1990,95,5,JALGAON,GEN,ALE HEMANT SHANKAR,M,,,IND,864
10117,Maharashtra,1990,95,6,JALGAON,GEN,YUVRAJ MANSING PATIL,M,,,LKD(B),543
10118,Maharashtra,1990,95,7,JALGAON,GEN,MARATHE CHUDAMAN BHAURAO,M,,,DDP,261
10119,Maharashtra,1990,95,8,JALGAON,GEN,EKANATH BHADU,M,,,IND,248
10120,Maharashtra,1990,95,9,JALGAON,GEN,SUMAN MURLIDHAR BODADE,F,,,IND,227
10121,Maharashtra,1990,95,10,JALGAON,GEN,BADGUJAR DODH WANA,M,,,IND,164
10122,Maharashtra,1990,95,11,JALGAON,GEN,UPADHAYA LAXMINARAYAN GANPATLAL,M,,,IND,111
10123,Maharashtra,1990,95,12,JALGAON,GEN,KOTHARI RAJENDRA MANGILAL,M,,,IND,101
10124,Maharashtra,1990,95,13,JALGAON,GEN,DIGAMBAR AUCHIT NANNAVARE,M,,,IND,98
10125,Maharashtra,1990,95,14,JALGAON,GEN,PANJABRAO SAMPATRAO DESHMUKH,M,,,IND,86
10126,Maharashtra,1990,95,15,JALGAON,GEN,PATIL SURESH TRIMBAK,M,,,IND,68
10127,Maharashtra,1990,95,16,JALGAON,GEN,AMADKAR VASANTRAO SHANKAROO,M,,,IND,58
10128,Maharashtra,1990,95,17,JALGAON,GEN,DEORE RAMESH PITAMBER,M,,,IND,43
10129,Maharashtra,1990,95,18,JALGAON,GEN,SONWADE VISHWANATH SUKDEO,M,,,IND,17
14187,Maharashtra,1995,95,1,JALGAON,GEN,JAIN SURESHKUMAR BHIKAMCHAND,M,,,INC,77172
14188,Maharashtra,1995,95,2,JALGAON,GEN,DR. ARJUN GANPAT BHANGALE,M,,,IND,38743
14189,Maharashtra,1995,95,3,JALGAON,GEN,DHEKALE SADASHIVRAO GANPATRAO,M,,,SHS,18419
14190,Maharashtra,1995,95,4,JALGAON,GEN,SUBHASH TARACHAND AGARWAL,M,,,IND,10577
14191,Maharashtra,1995,95,5,JALGAON,GEN,PROF. SHEKHAR MADHUKAR SONALKAR,M,,,JD,4651
14192,Maharashtra,1995,95,6,JALGAON,GEN,BHALERAO SADASHIV NARAYAN,M,,,IND,1911
14193,Maharashtra,1995,95,6,JALGAON,GEN,ADV. SONAWANE SURESH ANANDRAO,M,,,IND,1911
14194,Maharashtra,1995,95,8,JALGAON,GEN,PATIL SURESH TRAMBAK,M,,,IND,1589
14195,Maharashtra,1995,95,9,JALGAON,GEN,TALELE PRAKASH SITARAM,M,,,DDP,788
14196,Maharashtra,1995,95,10,JALGAON,GEN,SK. A. SALAM A. HAMID SHAIKH,M,,,MUL,781
14197,Maharashtra,1995,95,11,JALGAON,GEN,ZENDE ARUN VASANTRAO,M,,,IND,747
14198,Maharashtra,1995,95,12,JALGAON,GEN,BRAMHANE RAJRATNA BHASKAR,M,,,IND,633
14199,Maharashtra,1995,95,13,JALGAON,GEN,GAIKWAD LAXMAN SHANKAR,M,,,IND,533
14200,Maharashtra,1995,95,14,JALGAON,GEN,SONAWANE CHATRABHUJ SOMA,M,,,BBMS,465
14201,Maharashtra,1995,95,15,JALGAON,GEN,DR. ZAWAR LALCHAND RAMCHAND,M,,,IND,450
14202,Maharashtra,1995,95,16,JALGAON,GEN,MOHAMMED HANIF MOHD SHAFFI,M,,,IND,446
14203,Maharashtra,1995,95,17,JALGAON,GEN,BADGUJAR D.V.,M,,,IND,78
18281,Maharashtra,1999,95,1,JALGAON,GEN,JAIN SURESHKUMAR BHIKAMCHAND,M,,,SHS,63964
18282,Maharashtra,1999,95,2,JALGAON,GEN,DR. ARJUN GANPAT BHANGALE,M,,,INC,41280
18283,Maharashtra,1999,95,3,JALGAON,GEN,SONAWANE BHILABHAU GOTU,M,,,IND,24263
18284,Maharashtra,1999,95,4,JALGAON,GEN,SONAWANE KASHINATH RAGHO ALIAS DR.K.R. SONAWANE,M,,,NCP,6327
18285,Maharashtra,1999,95,5,JALGAON,GEN,AHIRE VIJAY SUKDEV,M,,,IND,630
18286,Maharashtra,1999,95,6,JALGAON,GEN,WANI PREMRAJ KASHINATH,M,,,IND,508
20447,Maharashtra,2004,95,11,JALGAON,GEN,SAPKALE NARAYAN PUNDLIK,M,32,SC,PRBP,276
20448,Maharashtra,2004,95,13,JALGAON,GEN,SHAIKH AMIN SHAIKH YASIN,M,42,GEN,SP,223
20449,Maharashtra,2004,95,6,JALGAON,GEN,FAKIR GULAM RASUL HABIBSHA,M,55,GEN,IND,504
20450,Maharashtra,2004,95,14,JALGAON,GEN,KOLI SURYABHAN TUKARAM,M,44,GEN,IND,201
20451,Maharashtra,2004,95,2,JALGAON,GEN,PRO. SONAWANE CHANDRAKANT,M,42,GEN,SHS,68099
20452,Maharashtra,2004,95,5,JALGAON,GEN,SHAIKH SALIM ISAMODDIN,M,35,GEN,IND,1716
20453,Maharashtra,2004,95,7,JALGAON,GEN,ATTARDE KIRAN SHALIGRAM,M,30,GEN,IND,494
20454,Maharashtra,2004,95,4,JALGAON,GEN,SONAWANE BABALU DAGADU,M,32,SC,BSP,2238
20455,Maharashtra,2004,95,8,JALGAON,GEN,MUKUND LOTU SAPAKALE,M,42,SC,RPI(A),461
20456,Maharashtra,2004,95,9,JALGAON,GEN,WAGH ANIL PITAMBAR,M,38,SC,IND,445
20457,Maharashtra,2004,95,12,JALGAON,GEN,PATEL JAHANGIR MUNAF,M,37,GEN,IND,230
20458,Maharashtra,2004,95,10,JALGAON,GEN,SONAWANE CHANDRAKANT,M,39,GEN,JD(U),321
20459,Maharashtra,2004,95,3,JALGAON,GEN,SUBHASH S. SONAWANE,M,35,GEN,IND,5255
20460,Maharashtra,2004,95,1,JALGAON,GEN,JAIN SURESHKUMAR BHIKAMCHAND,M,62,GEN,NCP,73987
22496,Maharashtra,2009,14,1,JALGAON RURAL,GEN,DEOKAR GULABRAO BABURAO,M,53,GEN,NCP,71556
22497,Maharashtra,2009,14,2,JALGAON RURAL,GEN,PATIL GULAB RAGHUNATH,M,43,GEN,SHS,66994
22498,Maharashtra,2009,14,3,JALGAON RURAL,GEN,LALIT VIJAY KOLHE,M,35,GEN,MNS,13570
22499,Maharashtra,2009,14,4,JALGAON RURAL,GEN,CHANDRAKANT ANKUSH,M,37,SC,BSP,2500
22500,Maharashtra,2009,14,5,JALGAON RURAL,GEN,BHAGWAN BHAWLAL PATIL,M,29,GEN,IND,2431
22501,Maharashtra,2009,14,6,JALGAON RURAL,GEN,FIRAKE SURESH KACHARU,M,59,GEN,RVNP,1847
22502,Maharashtra,2009,14,7,JALGAON RURAL,GEN,AMITKUMAR SHAMRAO,M,26,SC,LKSGM,1348
22503,Maharashtra,2014,14,1,JALGAON RURAL,GEN,PATIL GULAB RAGHUNATH,M,48,GEN,SHS,84020
22504,Maharashtra,2014,14,2,JALGAON RURAL,GEN,DEOKAR GULABRAO BABURAO,M,58,GEN,NCP,52653
22505,Maharashtra,2014,14,3,JALGAON RURAL,GEN,PATIL ABASAHEB P.C.,M,45,GEN,BJP,44011
22506,Maharashtra,2014,14,4,JALGAON RURAL,GEN,D.G. PATIL,M,55,GEN,INC,3968
22507,Maharashtra,2014,14,5,JALGAON RURAL,GEN,None of the Above,,,,NOTA,1608
22508,Maharashtra,2014,14,6,JALGAON RURAL,GEN,MUKUNDA AANNDA ROTE,M,33,GEN,MNS,1256
22509,Maharashtra,2014,14,7,JALGAON RURAL,GEN,MACHHINDRANATH ARJUN SONWANE,M,36,SC,IND,770
22510,Maharashtra,2014,14,8,JALGAON RURAL,GEN,MALI KIRAN SURESH,M,26,GEN,IND,477
22511,Maharashtra,2014,14,9,JALGAON RURAL,GEN,SUNIL GULABRAO SONWANE,M,38,SC,IND,415
22512,Maharashtra,2014,14,10,JALGAON RURAL,GEN,ARVIND BHIMRAO MANKARI,M,37,SC,ARP,307
22513,Maharashtra,2014,14,11,JALGAON RURAL,GEN,BIRHADE MOHAN  SHANKAR,M,48,SC,RSP(S),277
