ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
22486,Maharashtra,2009,13,1,JALGAON CITY,GEN,JAIN SURESHKUMAR,M,65,GEN,SHS,64706
22487,Maharashtra,2009,13,2,JALGAON CITY,GEN,MANOJ DAYARAM,M,38,GEN,IND,33301
22488,Maharashtra,2009,13,3,JALGAON CITY,GEN,PATEL SALIM BAPUMIYA,M,48,GEN,INC,17612
22489,Maharashtra,2009,13,4,JALGAON CITY,GEN,LOKHANDE SUNITA,F,34,SC,BSP,2299
22490,Maharashtra,2009,13,5,JALGAON CITY,GEN,SAPKALE MUKUNDA LOTU,M,47,SC,LJP,1338
22491,Maharashtra,2009,13,6,JALGAON CITY,GEN,ADV. RAMESH,M,66,SC,IND,1143
22492,Maharashtra,2009,13,7,JALGAON CITY,GEN,MADHAV NATTHUJI JADHAV,M,35,GEN,IND,555
22493,Maharashtra,2009,13,8,JALGAON CITY,GEN,ANAND DINANATH SHARMA,M,31,GEN,IND,512
22494,Maharashtra,2009,13,9,JALGAON CITY,GEN,ANIL PITAMBAR WAGH (SIR),M,38,SC,IND,502
22495,Maharashtra,2009,13,10,JALGAON CITY,GEN,JAHANGIR MUNAF PATEL,M,41,GEN,IND,392
22496,Maharashtra,2014,13,1,JALGAON CITY,GEN,HARIBHAU MADHAV JAWALE,M,61,GEN,BJP,65962
22497,Maharashtra,2014,13,2,JALGAON CITY,GEN,CHAUDHARI SHIRISH MADHUKARRAO,M,56,GEN,INC,55962
22498,Maharashtra,2014,13,3,JALGAON CITY,GEN,ABDUL GAFFAR MALIK,M,63,GEN,NCP,31271
22499,Maharashtra,2014,13,4,JALGAON CITY,GEN,MAHAJAN PRALHAD RAMDAS,M,58,GEN,SHS,14928
22500,Maharashtra,2014,13,5,JALGAON CITY,GEN,ISHWAR PUNDLIK TAYDE,M,40,SC,IND,4019
22501,Maharashtra,2014,13,6,JALGAON CITY,GEN,SAPKALE PRADIP BHIMRAO,M,36,SC,BSP,2828
22502,Maharashtra,2014,13,7,JALGAON CITY,GEN,SHAIKH RAUF HAFIJ,M,62,GEN,WPOI,1970
22503,Maharashtra,2014,13,8,JALGAON CITY,GEN,None of the Above,,,,NOTA,1722
22504,Maharashtra,2014,13,9,JALGAON CITY,GEN,JUGAL SHRINIVAS PATIL,M,26,GEN,MNS,1167
22505,Maharashtra,2014,13,10,JALGAON CITY,GEN,WANI D. D.(PHOTOGRAPHER),M,49,GEN,IND,1050
22506,Maharashtra,2014,13,11,JALGAON CITY,GEN,SHE. MAHEMUD SHE. MARU,M,58,GEN,MNDP,738
22507,Maharashtra,2014,13,12,JALGAON CITY,GEN,ASHOK RAMDAS BOREKAR,M,49,SC,RPI,594
22508,Maharashtra,2014,13,13,JALGAON CITY,GEN,TADVI SANJAY HAMID,M,35,ST,IND,452
22509,Maharashtra,2014,13,14,JALGAON CITY,GEN,MAHAJAN VILAS GHANSHYAM,M,49,GEN,IND,448
22510,Maharashtra,2014,13,15,JALGAON CITY,GEN,DILIP TANBAJI KAMBLE,M,52,SC,IND,415
22511,Maharashtra,2014,13,16,JALGAON CITY,GEN,TAYADE ASHOK GOVARDHAN,M,35,SC,RVNP,239
