ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
675,Maharashtra,1962,153,1,JAMNER,GEN,ABAJI NANA PATIL,M,,,INC,28009
676,Maharashtra,1962,153,2,JAMNER,GEN,MAHADEO RAMCHANDRA LALE,M,,,IND,8165
677,Maharashtra,1962,153,3,JAMNER,GEN,GULABSING RAMCHANDRA RAJPUT,M,,,JS,1660
678,Maharashtra,1962,153,4,JAMNER,GEN,SHENFADU DAGADU NIKAM,M,,,IND,897
1570,Maharashtra,1967,89,1,JAMNER,GEN,A. N. PATIL,M,,,INC,20302
1571,Maharashtra,1967,89,2,JAMNER,GEN,G. R. GARUD,M,,,PSP,15184
1572,Maharashtra,1967,89,3,JAMNER,GEN,M. R. LELE,M,,,BJS,9603
1573,Maharashtra,1967,89,4,JAMNER,GEN,S. H. RATHOD,M,,,SSP,2631
2796,Maharashtra,1972,89,1,JAMNER,GEN,NARAYAN KISAN PATIL,M,,,IND,26340
2797,Maharashtra,1972,89,2,JAMNER,GEN,KAK TARALI K. TAFAZULALI,M,,,INC,24990
4149,Maharashtra,1978,97,1,JAMNER,GEN,GARUD GAJANANRAO RAGHUNATHRAO,M,,,IND,15955
4150,Maharashtra,1978,97,2,JAMNER,GEN,PATIL NARAYAN SONAJI,M,,,INC,13536
4151,Maharashtra,1978,97,3,JAMNER,GEN,NAIK LAXMAN MAHARU,M,,,IND,11702
4152,Maharashtra,1978,97,4,JAMNER,GEN,RATHOD BABUSINGH DAGADUSING,M,,,INC,10914
4153,Maharashtra,1978,97,5,JAMNER,GEN,PATIL LAXMAN TUKARAM,M,,,IND,3456
4154,Maharashtra,1978,97,6,JAMNER,GEN,CHOUDHARI PRABHAKAR DHANAJI,M,,,IND,3021
4155,Maharashtra,1978,97,7,JAMNER,GEN,PATIL NARAYAN KISAN,M,,,IND,2282
4156,Maharashtra,1978,97,8,JAMNER,GEN,WAGH MANIKRAO MANSARAM,M,,,IND,1431
4157,Maharashtra,1978,97,9,JAMNER,GEN,NIKAM SHANFADU DAGADU,M,,,IND,856
4158,Maharashtra,1978,97,10,JAMNER,GEN,PATIL AMRUT CHINDU,M,,,IND,284
4159,Maharashtra,1978,97,11,JAMNER,GEN,SONAWANE FAKIRCHAND BHAWAJI,M,,,IND,283
4160,Maharashtra,1978,97,12,JAMNER,GEN,MAHAJAN KESHAV ANAND,M,,,IND,261
4161,Maharashtra,1978,97,13,JAMNER,GEN,SHINDE SURESH MANSARAM,M,,,IND,158
5937,Maharashtra,1980,97,1,JAMNER,GEN,JAIN ISHWARLAL SHANKARLAL,M,,,INC(U),31068
5938,Maharashtra,1980,97,2,JAMNER,GEN,RATHOD BABUSING DAGADUSING,M,,,INC,27206
5939,Maharashtra,1980,97,3,JAMNER,GEN,GARUD GAJANANRAO RAGHUNATHRAO,M,,,IND,6469
7747,Maharashtra,1985,97,1,JAMNER,GEN,BABUSING DAGADUSING RATHOD,M,,,INC,29964
7748,Maharashtra,1985,97,2,JAMNER,GEN,NARAYAN SONAJI PATIL,M,,,IND,16165
7749,Maharashtra,1985,97,3,JAMNER,GEN,PATIL SURESH MANSARAM,M,,,BJP,8089
7750,Maharashtra,1985,97,4,JAMNER,GEN,TAYADE NAMDEO SAMPAT,M,,,IND,3619
7751,Maharashtra,1985,97,5,JAMNER,GEN,KOLI HIRAMAN NATTHU,M,,,IND,1353
7752,Maharashtra,1985,97,6,JAMNER,GEN,CHAVAN MORSING SAKARU,M,,,IND,685
7753,Maharashtra,1985,97,7,JAMNER,GEN,SHAIKH ABDUL SAID A. RAJJAK,M,,,IND,683
7754,Maharashtra,1985,97,8,JAMNER,GEN,JADHAV LAXMAN WAGHO,M,,,IND,350
7755,Maharashtra,1985,97,9,JAMNER,GEN,TRIBHUVANE SOMA GOBA,M,,,IND,289
7756,Maharashtra,1985,97,10,JAMNER,GEN,PATIL PRABHAKAR DHANJI,M,,,IND,169
7757,Maharashtra,1985,97,11,JAMNER,GEN,TAYADE MARUTI DHANU,M,,,IND,142
7758,Maharashtra,1985,97,12,JAMNER,GEN,SOLUNKE YUBRAJ NAMDEO,M,,,IND,93
10139,Maharashtra,1990,97,1,JAMNER,GEN,MAHAJAN DATTATRAY UGHADU,M,,,INC,31531
10140,Maharashtra,1990,97,2,JAMNER,GEN,PATIL PRALHADRAO EKNATHRAO,M,,,ICS(SCS),27956
10141,Maharashtra,1990,97,3,JAMNER,GEN,MANOHAR GAJAMAL PATIL,M,,,SHS,26219
10142,Maharashtra,1990,97,4,JAMNER,GEN,BABUSING DAGADUSING RATHOD,M,,,IND,5032
10143,Maharashtra,1990,97,5,JAMNER,GEN,NUR AHAMAD SK. GULAB,M,,,DDP,414
10144,Maharashtra,1990,97,6,JAMNER,GEN,PATIL RAMKRISHNA SITARAM,M,,,LKD(B),412
10145,Maharashtra,1990,97,7,JAMNER,GEN,RAJU HAJARI CHAVAN,M,,,IND,263
10146,Maharashtra,1990,97,8,JAMNER,GEN,NAMDEO SAKHARAM,M,,,IND,142
10147,Maharashtra,1990,97,9,JAMNER,GEN,RATHOD MORSING DALPAT,M,,,IND,118
10148,Maharashtra,1990,97,10,JAMNER,GEN,VITHASING BABURAO PATIL,M,,,IND,88
14217,Maharashtra,1995,97,1,JAMNER,GEN,GIRISH DATTATRAY MAHAJAN,M,,,BJP,63661
14218,Maharashtra,1995,97,2,JAMNER,GEN,ISHWARLAL SHANKARLAL JAIN,M,,,INC,43624
14219,Maharashtra,1995,97,3,JAMNER,GEN,DR. MANOHAR GAJMAL PATIL,M,,,IND,7298
14220,Maharashtra,1995,97,4,JAMNER,GEN,PANDURANG EKNATH (P.E. TATYA),M,,,JD,1874
14221,Maharashtra,1995,97,5,JAMNER,GEN,PATIL JANARDHAN TUKARAM,M,,,IND,1173
14222,Maharashtra,1995,97,6,JAMNER,GEN,MALUTAI MURALIDHAR CHAUDHARI,F,,,IND,896
14223,Maharashtra,1995,97,7,JAMNER,GEN,PREMSING MAHARU RATHOD (SCULPTOR),M,,,BSP,680
14224,Maharashtra,1995,97,8,JAMNER,GEN,KOLI HIRAMAN NATHU,M,,,IND,551
14225,Maharashtra,1995,97,9,JAMNER,GEN,A. KADIR A. RASHID (GURUJI),M,,,IND,514
14226,Maharashtra,1995,97,10,JAMNER,GEN,PANDITSHETH WAGHOJI GHORPADE TALEGAONKAR,M,,,IND,486
14227,Maharashtra,1995,97,11,JAMNER,GEN,SAPKALE CHHABILDAS BHADU,M,,,DDP,395
14228,Maharashtra,1995,97,12,JAMNER,GEN,PATIL RAGHUNATH VISHWANATH,M,,,IND,290
14229,Maharashtra,1995,97,13,JAMNER,GEN,ANANDRAO ONKAR BHAGAT,M,,,ICS,279
14230,Maharashtra,1995,97,14,JAMNER,GEN,SONU DEVCHAND SURWADE,M,,,RPI,61
18294,Maharashtra,1999,97,1,JAMNER,GEN,MAHAJAN GIRISH DATTATRAYA,M,,,BJP,56416
18295,Maharashtra,1999,97,2,JAMNER,GEN,JAIN ISHWARLAL SHANKARLAL,M,,,NCP,41479
18296,Maharashtra,1999,97,3,JAMNER,GEN,DR. PATIL SURESH MANSARAM,M,,,INC,21375
18297,Maharashtra,1999,97,4,JAMNER,GEN,TADAVI HAIDAR RAMJAN,M,,,IND,465
20468,Maharashtra,2004,97,1,JAMNER,GEN,MAHAJAN GIRISH DATTATRAYA,M,41,GEN,BJP,71813
20469,Maharashtra,2004,97,5,JAMNER,GEN,SURVADE SHANTARAM LAXMAN,M,52,SC,BSP,1812
20470,Maharashtra,2004,97,2,JAMNER,GEN,GARUD SANJAY BHASKARRAO,M,43,GEN,IND,42500
20471,Maharashtra,2004,97,3,JAMNER,GEN,BOHRA SUBHASH CHAMPALAL ALISH,M,51,GEN,NCP,24189
20472,Maharashtra,2004,97,6,JAMNER,GEN,SONAWANE BHAGAWAN PANDIT,M,45,GEN,RPI(A),1687
20473,Maharashtra,2004,97,4,JAMNER,GEN,RATHOD SAHEBRAO DASHRATH,M,28,GEN,IND,3080
22550,Maharashtra,2009,19,1,JAMNER,GEN,MAHAJAN GIRISH DATTATRAY,M,49,GEN,BJP,89040
22551,Maharashtra,2009,19,2,JAMNER,GEN,GARUD SANJAY,M,49,GEN,INC,81523
22552,Maharashtra,2009,19,3,JAMNER,GEN,RAJPUT VILAS DHANSING,M,30,GEN,IND,3412
