ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
261,Maharashtra,1962,54,1,JUNNAR,GEN,VITHALRAO NARAYANRAO AWATE,M,,,PSP,17826
262,Maharashtra,1962,54,2,JUNNAR,GEN,SHIVAJI MAHADEO KALE,M,,,INC,17699
263,Maharashtra,1962,54,3,JUNNAR,GEN,KRISHNA RAMJI MUNDHE,M,,,PWP,4510
2210,Maharashtra,1967,225,1,JUNNAR,GEN,D. R. KAKADE,M,,,INC,18486
2211,Maharashtra,1967,225,2,JUNNAR,GEN,J. S. PHULE,M,,,SSP,17083
2212,Maharashtra,1967,225,3,JUNNAR,GEN,D. S. THORAT,M,,,PSP,2085
2213,Maharashtra,1967,225,4,JUNNAR,GEN,N. N. MORE,M,,,BJS,807
3425,Maharashtra,1972,225,1,JUNNAR,GEN,TAMBESHRIKISHNA RAMJI,M,,,INC,25542
3426,Maharashtra,1972,225,2,JUNNAR,GEN,PHULE JAGDISH SITARAM,M,,,SOP,19440
3427,Maharashtra,1972,225,3,JUNNAR,GEN,ARVIND BHATWA DEKAR,M,,,IND,828
5117,Maharashtra,1978,240,1,JUNNAR,GEN,KRISHNARAO MUNDHE,M,,,INC,29017
5118,Maharashtra,1978,240,2,JUNNAR,GEN,JAGDISH PHULE,M,,,JNP,28297
5119,Maharashtra,1978,240,3,JUNNAR,GEN,CHASKAR SHANKAR DHONDIBA,M,,,IND,7578
6713,Maharashtra,1980,240,1,JUNNAR,GEN,DILIP DHAMDHERE,M,,,INC(U),28484
6714,Maharashtra,1980,240,2,JUNNAR,GEN,BALASAHEB PURVANT,M,,,INC,16588
6715,Maharashtra,1980,240,3,JUNNAR,GEN,KHANDU NAWAJI GAWADE,M,,,IND,568
8883,Maharashtra,1985,240,1,JUNNAR,GEN,VELLABH DATTARAY BENAKE,M,,,ICS,41840
8884,Maharashtra,1985,240,2,JUNNAR,GEN,NIVRITTISHET NAMDEO SHERKAR,M,,,INC,38412
8885,Maharashtra,1985,240,3,JUNNAR,GEN,BABAN TUKARAM MEHER,M,,,IND,785
8886,Maharashtra,1985,240,4,JUNNAR,GEN,RAMBHAU VITHAL LANDE,M,,,IND,565
12502,Maharashtra,1990,240,1,JUNNAR,GEN,BENKE WALLABH DATTATRAY,M,,,INC,37953
12503,Maharashtra,1990,240,2,JUNNAR,GEN,GUNJAL MAHADEO RAKHAMA ALIAS TATYASAHEB,M,,,JNP,27577
12504,Maharashtra,1990,240,3,JUNNAR,GEN,BALASAHEB SAVALERAMBUVA DANGAT,M,,,SHS,22653
12505,Maharashtra,1990,240,4,JUNNAR,GEN,UTALE RAGHUNATH LAXMAN,M,,,IND,13833
12506,Maharashtra,1990,240,5,JUNNAR,GEN,KANKARIYA SUBHASH ALIAS MAMAJI RAMCHANDRA,M,,,BKUS,831
12507,Maharashtra,1990,240,6,JUNNAR,GEN,ZANJRE SUDHIR MAHADEO,M,,,IND,358
12508,Maharashtra,1990,240,7,JUNNAR,GEN,GORE MURALIDHAR GANGARAM,M,,,IND,265
12509,Maharashtra,1990,240,8,JUNNAR,GEN,TAMBOLI ALTAPH USMAN,M,,,IND,223
12510,Maharashtra,1990,240,9,JUNNAR,GEN,GAWADE KHANDU NAWAGI,M,,,HJP,139
17090,Maharashtra,1995,240,1,JUNNAR,GEN,BALASAHEB SAVALERAMBUVA DANGAT,M,,,SHS,59552
17091,Maharashtra,1995,240,2,JUNNAR,GEN,BENAKE VALLABH DATTARAY,M,45,GEN,INC,42545
17092,Maharashtra,1995,240,3,JUNNAR,GEN,FULAWADE GANPAT RAKHAMA,M,,,IND,26984
17093,Maharashtra,1995,240,4,JUNNAR,GEN,UTALE RAGHUNATH LAXMAN,M,,,BBMS,5618
17094,Maharashtra,1995,240,5,JUNNAR,GEN,FARIDA RAHIMATALLI SAYYAD,F,,,SJP(M),1050
17095,Maharashtra,1995,240,6,JUNNAR,GEN,INAMDAR USMAN FATTUBHAI,M,,,IND,766
17096,Maharashtra,1995,240,7,JUNNAR,GEN,SHINDE DEORAM BABURAO,M,,,IND,758
17097,Maharashtra,1995,240,8,JUNNAR,GEN,SHINDE CHANDRAKANT DAGADU,M,,,IND,351
17098,Maharashtra,1995,240,9,JUNNAR,GEN,KORHALE BHAGWAN SHIVAJI,M,,,IND,306
19394,Maharashtra,1999,240,1,JUNNAR,GEN,BALASAHEB SAVALERAMBUVA DANGAT,M,,,SHS,52284
19395,Maharashtra,1999,240,2,JUNNAR,GEN,BENAKE VALLABH DATTARAY,M,49,GEN,NCP,39865
19396,Maharashtra,1999,240,3,JUNNAR,GEN,SOPANSHETH NAMEDO SHERKAR,M,,,INC,18009
19397,Maharashtra,1999,240,4,JUNNAR,GEN,KALU KRISHNA SHELKANDE,M,,,CPM,4979
19398,Maharashtra,1999,240,5,JUNNAR,GEN,KAMBLE SANDIP SADASHIV,M,,,ABHS,962
19399,Maharashtra,1999,240,6,JUNNAR,GEN,BEG ABDUL RAJJAK ABDUL HAMID,M,,,IND,236
19400,Maharashtra,1999,240,7,JUNNAR,GEN,KHARAT RAVIKANT RAMESH,M,,,IND,167
19401,Maharashtra,1999,240,8,JUNNAR,GEN,BAREV BALSHIRAM MAHADU,M,,,IND,157
22006,Maharashtra,2004,240,2,JUNNAR,GEN,JANARDAN ALIAS BALASAHEB,M,52,GEN,SHS,59724
22007,Maharashtra,2004,240,4,JUNNAR,GEN,SUKHDEV GANPAT KHARAT,M,50,GEN,IND,2514
22008,Maharashtra,2004,240,6,JUNNAR,GEN,ASHOK GANGADHAR RATNAPARKHI,M,38,GEN,PRBP,1401
22009,Maharashtra,2004,240,1,JUNNAR,GEN,BENAKE VALLABH DATTARAY,M,54,GEN,NCP,73855
22010,Maharashtra,2004,240,7,JUNNAR,GEN,BALASAHEB DANGAT,M,42,GEN,IND,711
22011,Maharashtra,2004,240,3,JUNNAR,GEN,PHULAWADE GANPATRAO RAKHMAJI,M,52,GEN,IND,6751
22012,Maharashtra,2004,240,5,JUNNAR,GEN,DONGRE MANOHAR CHIMAJI,M,53,GEN,BSP,2205
22013,Maharashtra,2004,240,8,JUNNAR,GEN,UJWALA VISHWNATH PAWAR,F,46,GEN,IND,545
24815,Maharashtra,2009,195,1,JUNNAR,GEN,BENAKE VALLABH DATTARAY,M,59,GEN,NCP,79360
24816,Maharashtra,2009,195,2,JUNNAR,GEN,ASHATAI DATTATRAY BUCHKE,F,44,GEN,SHS,72902
24817,Maharashtra,2009,195,3,JUNNAR,GEN,ADV. KRISHNA DASHRATH,M,45,GEN,MNS,4741
24818,Maharashtra,2009,195,4,JUNNAR,GEN,SHINDE SHANKAR TUKARAM,M,39,GEN,IND,2088
24819,Maharashtra,2009,195,5,JUNNAR,GEN,RAKSHE POPAT SAKHARAM,M,45,SC,RPI(A),1413
24820,Maharashtra,2009,195,6,JUNNAR,GEN,CHILAP VASANT SAWALERAM,M,38,GEN,IND,1324
24821,Maharashtra,2009,195,7,JUNNAR,GEN,BHOSALE SUNIL RANGNATH,M,32,SC,BSP,1214
24822,Maharashtra,2009,195,8,JUNNAR,GEN,KHARAT SUKHDEO GANPAT,M,54,SC,IND,494
24823,Maharashtra,2014,195,1,JUNNAR,GEN,SHARADDADA BHIMAJI SONAVANE,M,42,GEN,MNS,60305
24824,Maharashtra,2014,195,2,JUNNAR,GEN,ASHATAI DATTATRAY BUCHKE,F,48,GEN,SHS,43382
24825,Maharashtra,2014,195,3,JUNNAR,GEN,ATUL VALLABH BENKE,M,34,GEN,NCP,40570
24826,Maharashtra,2014,195,4,JUNNAR,GEN,NETAJIDADA SURESH DOKE,M,51,GEN,BJP,22455
24827,Maharashtra,2014,195,5,JUNNAR,GEN,MARUTI DUBAJI WAYAL,M,39,ST,IND,12218
24828,Maharashtra,2014,195,6,JUNNAR,GEN,ADV.GAFFOOR AHAMADKHAN PATHAN,M,38,GEN,BSP,8603
24829,Maharashtra,2014,195,7,JUNNAR,GEN,GANPAT RAKHMAJI PHULAWADE,M,61,GEN,INC,4664
24830,Maharashtra,2014,195,8,JUNNAR,GEN,None of the Above,,,,NOTA,1756
24831,Maharashtra,2014,195,9,JUNNAR,GEN,RAJENDRA LAXMAN ALHAT,M,46,SC,IND,1365
24832,Maharashtra,2014,195,10,JUNNAR,GEN,BHADRIGE SHOBHA RAJU,F,43,GEN,HIPPA,867
24833,Maharashtra,2014,195,11,JUNNAR,GEN,CHHAJED MANOJ FULCHAND,M,43,GEN,IND,823
