ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
570,Maharashtra,1962,130,1,KALWAN,ST,DONGAR RAMA MORE,M,,,INC,11689
571,Maharashtra,1962,130,2,KALWAN,ST,RAMDAN PANDU BAGUL,M,,,IND,4660
572,Maharashtra,1962,130,3,KALWAN,ST,YEWAJI KASHIRAM GAWIT,M,,,CPI,4516
573,Maharashtra,1962,130,4,KALWAN,ST,AMBU RAMBHAU JADHAV,M,,,IND,3884
574,Maharashtra,1962,130,5,KALWAN,ST,KALU MAHADU NIKAM,M,,,PSP,2281
4047,Maharashtra,1978,78,1,KALVAN,ST,ARJUN TULSHIRAM PAWAR,M,40,ST,INC,31218
4048,Maharashtra,1978,78,2,KALVAN,ST,BAGUL BABULAL HIRAJI,M,,,JNP,11885
4049,Maharashtra,1978,78,3,KALVAN,ST,JADHAV AMBUJI RAMBHAU,M,,,INC,10418
5846,Maharashtra,1980,78,1,KALWAN,ST,ARJUN TULSHIRAM PAWAR,M,42,ST,INC,30490
5847,Maharashtra,1980,78,2,KALWAN,ST,GANGURDE RAMCHANDRA HANUMANTA,M,,,IND,10245
5848,Maharashtra,1980,78,3,KALWAN,ST,PAWAR MAHADU LASU,M,,,IND,995
7620,Maharashtra,1985,78,1,KALVAN,ST,BAHIRAM KASHINATH NARAYAN,M,,,ICS,37906
7621,Maharashtra,1985,78,2,KALVAN,ST,ARJUN TULSHIRAM PAWAR,M,47,ST,INC,34882
7622,Maharashtra,1985,78,3,KALVAN,ST,BAGUL KASHINATH BUDHA,M,,,IND,386
9935,Maharashtra,1990,78,1,KALVAN,ST,ARJUN TULSHIRAM PAWAR,M,52,ST,BJP,49516
9936,Maharashtra,1990,78,2,KALVAN,ST,BAHIRAM KASHINATH NARAYAN,M,,,INC,30088
9937,Maharashtra,1990,78,3,KALVAN,ST,BHOYE SUBASH MOTIRAM,M,,,CPI,3471
9938,Maharashtra,1990,78,4,KALVAN,ST,BAGUL RAMCHANDRA YEWAJI,M,,,IND,631
13987,Maharashtra,1995,78,1,KALVAN,ST,ARJUN TULSHIRAM PAWAR,M,57,ST,BJP,47896
13988,Maharashtra,1995,78,2,KALVAN,ST,BAHIRAM POPAT MOTIRAM,M,,,INC,41311
13989,Maharashtra,1995,78,3,KALVAN,ST,BAGUL SITABAI BALIRAM,F,,,IND,23631
13990,Maharashtra,1995,78,4,KALVAN,ST,SONAWANE KAILAS HARISHCHANDRA,M,,,IND,2985
13991,Maharashtra,1995,78,5,KALVAN,ST,PAWAR DHARMA BHIMJI,M,,,IND,1749
13992,Maharashtra,1995,78,6,KALVAN,ST,MALI POLAD SAMPAT,M,,,IND,622
18190,Maharashtra,1999,78,1,KALVAN,ST,ARJUN TULSHIRAM PAWAR,M,61,ST,NCP,42165
18191,Maharashtra,1999,78,2,KALVAN,ST,GANGURDE DHANRAJ KRISHNA,M,45,ST,BJP,31629
18192,Maharashtra,1999,78,3,KALVAN,ST,BAHIRAM POPAT MOTIRAM,M,,,INC,24065
18193,Maharashtra,1999,78,4,KALVAN,ST,BAGUL RAMCHANDRA YAWAJI,M,,,IND,228
20323,Maharashtra,2004,78,2,KALVAN,ST,GANGURDE DHANRAJ KRISHNA,M,49,ST,BJP,45514
20324,Maharashtra,2004,78,1,KALVAN,ST,ARJUN TULSHIRAM PAWAR,M,66,ST,NCP,74938
20325,Maharashtra,2004,78,4,KALVAN,ST,PAWAR PRAKASH KARBHARI,M,28,ST,BSP,2213
20326,Maharashtra,2004,78,3,KALVAN,ST,PAWAR YUVRAJ SUKARAM,M,36,ST,IND,3523
23914,Maharashtra,2009,117,1,KALWAN,ST,ARJUN TULSHIRAM PAWAR,M,71,ST,NCP,74388
23915,Maharashtra,2009,117,2,KALWAN,ST,GAVIT JIVA PANDU,M,60,ST,CPM,58135
23916,Maharashtra,2009,117,3,KALWAN,ST,DHOOM YADAV PANDU,M,57,ST,SHS,10628
23917,Maharashtra,2009,117,4,KALWAN,ST,PAWAR HARIBHAU KALU,M,48,ST,IND,2541
23918,Maharashtra,2009,117,5,KALWAN,ST,AMBEKAR DADAJI MHALU,M,47,ST,BSP,1335
23919,Maharashtra,2014,117,1,KALWAN,ST,GAVIT JIVA PANDU,M,64,ST,CPM,67795
23920,Maharashtra,2014,117,2,KALWAN,ST,ARJUN TULSHIRAM PAWAR,M,77,ST,NCP,63009
23921,Maharashtra,2014,117,3,KALWAN,ST,GAVALI YASHWANT LAXMAN,M,49,ST,BJP,25457
23922,Maharashtra,2014,117,4,KALWAN,ST,WAGHMARE BHARAT LAXMAN,M,34,ST,SHS,9024
23923,Maharashtra,2014,117,5,KALWAN,ST,GANGURDE DHANRAJ KRISHNA,M,60,ST,INC,5699
23924,Maharashtra,2014,117,6,KALWAN,ST,None of the Above,,,,NOTA,1623
23925,Maharashtra,2014,117,7,KALWAN,ST,KHOTARE TULSHIRAM CHIMAN,M,29,ST,BSP,1395
23926,Maharashtra,2014,117,8,KALWAN,ST,BAGUL WAMANRAO KADU,M,62,ST,IND,887
