ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
867,Maharashtra,1962,192,1,KAMPTEE,SC,ANANTRAM DAYAL CHOUDHARI,M,,,INC,20036
868,Maharashtra,1962,192,2,KAMPTEE,SC,BHALCHANDRA HARIBHAU SONTAKHE,M,,,REP,14986
869,Maharashtra,1962,192,3,KAMPTEE,SC,BALKRISHNA NAGOJI VAIDYA,M,,,IND,5996
870,Maharashtra,1962,192,4,KAMPTEE,SC,HIRALAL YELAYYA PIPAR,M,,,JS,3378
871,Maharashtra,1962,192,5,KAMPTEE,SC,SITARAM BHAKRUJI MENDHE,M,,,IND,1849
872,Maharashtra,1962,192,6,KAMPTEE,SC,BAKARAM VITHAL,M,,,IND,1030
1746,Maharashtra,1967,122,1,KAMPTEE,GEN,S.A. PATHAN,M,,,INC,22154
1747,Maharashtra,1967,122,2,KAMPTEE,GEN,N.H. KUMBHARE,M,,,RPI,14972
1748,Maharashtra,1967,122,3,KAMPTEE,GEN,J.J. KALE,M,,,IND,6926
1749,Maharashtra,1967,122,4,KAMPTEE,GEN,M.B. VYAS,M,,,BJS,5150
1750,Maharashtra,1967,122,5,KAMPTEE,GEN,M.S. YELNE,M,,,PSP,3046
1751,Maharashtra,1967,122,6,KAMPTEE,GEN,B.A. JAISWAL,M,,,IND,1135
2937,Maharashtra,1972,122,1,KAMPTEE,GEN,S. KHAN A. KGAN PATHAN,M,,,INC,25075
2938,Maharashtra,1972,122,2,KAMPTEE,GEN,RAMDAS VITHOBA MESHRAM,M,,,RPK,9481
2939,Maharashtra,1972,122,3,KAMPTEE,GEN,MOHMAD RAFIQUE LDU,M,,,IND,7044
2940,Maharashtra,1972,122,4,KAMPTEE,GEN,SOMESHCHANDER N. VIGHHRI,M,,,RPI,5476
2941,Maharashtra,1972,122,5,KAMPTEE,GEN,JAMILAHMED NOORMOHMAD,M,,,IND,1353
2942,Maharashtra,1972,122,6,KAMPTEE,GEN,KEWAL LAXMAN WASNIK,M,,,IND,317
2943,Maharashtra,1972,122,7,KAMPTEE,GEN,GAJBHIYE MUKUNDA SUDAM,M,,,IND,290
4402,Maharashtra,1978,132,1,KAMPTEE,GEN,BHOSLE TAJSINGRAO RAJELAXMANRAO,M,,,INC,41581
4403,Maharashtra,1978,132,2,KAMPTEE,GEN,RAI RAJNI KAUSHAL PRASAD,F,,,RPK,16090
4404,Maharashtra,1978,132,3,KAMPTEE,GEN,KUMBHARE NARAYANRAO HARIBHAU,M,,,RPI,7386
4405,Maharashtra,1978,132,4,KAMPTEE,GEN,DESHKAR MANOHAR MADHAORAO,M,,,CPI,6319
4406,Maharashtra,1978,132,5,KAMPTEE,GEN,BAGDI MANGANLAL RADHAKISHAN,M,,,IND,4522
4407,Maharashtra,1978,132,6,KAMPTEE,GEN,VARHADE VITHALRAO GANPATRAO,M,,,IND,552
4408,Maharashtra,1978,132,7,KAMPTEE,GEN,HINGNEKAR ARVIND MORUBHAU,M,,,IND,533
4409,Maharashtra,1978,132,8,KAMPTEE,GEN,BHANDARKAR CHANDRASHEKHAR WARLUSAO,M,,,IND,505
6137,Maharashtra,1980,132,1,KAMTHI,GEN,DEOTALE SURESHBABU BALIRAMJI,M,,,INC,26018
6138,Maharashtra,1980,132,2,KAMTHI,GEN,DR. MOHAMMAD SHAFI QURESHI,M,,,INC(U),6791
6139,Maharashtra,1980,132,3,KAMTHI,GEN,HYDARI JAINUL ABEDIN,M,,,BJP,5324
6140,Maharashtra,1980,132,4,KAMTHI,GEN,HEDAOO YESHWANT CHAITUSAO,M,,,IND,1953
6141,Maharashtra,1980,132,5,KAMTHI,GEN,VARMA PRAKASHCHAND GOVERDHANDAS,M,,,JNP,1204
6142,Maharashtra,1980,132,6,KAMTHI,GEN,GAJWAY MUKUND SUDAM,M,,,IND,249
8070,Maharashtra,1985,132,1,KAMPTEE,GEN,BHOYAR YADAVRAO KRUSHNARAO,M,47,GEN,INC,44718
8071,Maharashtra,1985,132,2,KAMPTEE,GEN,RAMTAKE SAMPAT MUKAJI,M,,,RPI,12648
