ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
417,Maharashtra,1962,93,1,KARAD NORTH,GEN,YESHVANTRAO BALAVANTRAO CHAVAN,M,,,INC,40713
418,Maharashtra,1962,93,2,KARAD NORTH,GEN,KESHAV PATALOJI PAWAR,M,,,PWP,15231
419,Maharashtra,1962,93,3,KARAD NORTH,GEN,MAHAMUD ABDUL AWTE,M,,,IND,697
420,Maharashtra,1962,93,4,KARAD NORTH,GEN,ALLI SILEMAN MULLA,M,,,IND,152
2323,Maharashtra,1967,250,1,KARAD NORTH,GEN,Y. B. PATAIL,M,,,INC,35285
2324,Maharashtra,1967,250,2,KARAD NORTH,GEN,A. G. PAWAR,M,,,PWP,18196
2325,Maharashtra,1967,250,3,KARAD NORTH,GEN,G. V. DESHPANDE,M,,,BJS,3283
2326,Maharashtra,1967,250,4,KARAD NORTH,GEN,S. V. JAGTAP,M,,,IND,2924
3525,Maharashtra,1972,250,1,KARAD NORTH,GEN,KOTWAL BABURAO RAMCHANDRA,M,,,INC,53094
3526,Maharashtra,1972,250,2,KARAD NORTH,GEN,D. M. PATIL,M,,,CPI,7899
3527,Maharashtra,1972,250,3,KARAD NORTH,GEN,VEER HANAMANT RAMCHANDRA,M,,,RPI,2737
3528,Maharashtra,1972,250,4,KARAD NORTH,GEN,RAMCHANDRA L. PANASKAR,M,,,BJS,2735
3529,Maharashtra,1972,250,5,KARAD NORTH,GEN,KAKASHEV R. THORAT,M,,,IND,2040
5284,Maharashtra,1978,266,1,KARAD NORTH,GEN,PAWAR KESHVRAO PATALOJI,M,,,PWP,35141
5285,Maharashtra,1978,266,2,KARAD NORTH,GEN,KOTWAL BABURAO RAMCHANDRA,M,,,INC,26843
5286,Maharashtra,1978,266,3,KARAD NORTH,GEN,SALUNKHE BHIKOBA APPAJI,M,,,INC,9180
5287,Maharashtra,1978,266,4,KARAD NORTH,GEN,CHAVAN RAGHUNATH GOVIND,M,,,IND,1989
5288,Maharashtra,1978,266,5,KARAD NORTH,GEN,MULLA BADASHAHA ALLI,M,,,CPI,1472
5289,Maharashtra,1978,266,6,KARAD NORTH,GEN,PATIL KAKASAHEB RAGHUNATH,M,,,IND,339
5290,Maharashtra,1978,266,7,KARAD NORTH,GEN,CHAVAN HANAMANT RAMCHANDRA,M,,,IND,337
5291,Maharashtra,1978,266,8,KARAD NORTH,GEN,KACCHI UNUS AHEMED,M,,,IND,225
6845,Maharashtra,1980,266,1,KARAD NORTH,GEN,PATIL PANDURANG DADASAHEB,M,,,INC(U),41650
6846,Maharashtra,1980,266,2,KARAD NORTH,GEN,LAD JAYSING BABURAO,M,,,INC,17707
6847,Maharashtra,1980,266,3,KARAD NORTH,GEN,PAWAR KESHAVRAO PATLOJI,M,,,PWP,12854
6848,Maharashtra,1980,266,4,KARAD NORTH,GEN,PAWAR ANNAJI GOVIND,M,,,BJP,3295
6849,Maharashtra,1980,266,5,KARAD NORTH,GEN,PATIL KAKASAHEB RAGHUNATH,M,,,IND,249
6850,Maharashtra,1980,266,6,KARAD NORTH,GEN,CHAVAN TANAJI VISHNU,M,,,IND,107
9065,Maharashtra,1985,266,1,KARAD NORTH,GEN,ASHTEKAR SHAM ALIAS JANARADHAN BALKRISHNA,M,,,ICS,48134
9066,Maharashtra,1985,266,2,KARAD NORTH,GEN,PATIL PANDURANG DADASAHEB,M,,,INC,40978
9067,Maharashtra,1985,266,3,KARAD NORTH,GEN,GOKHALE BHIKU RAMCHANDRA,M,,,RPI,958
12772,Maharashtra,1990,266,1,KARAD NORTH,GEN,ASHTEKAR SHYAM ALIAS JANARDAN BALKRISHNA,M,,,INC,58243
12773,Maharashtra,1990,266,2,KARAD NORTH,GEN,BABASAHEB CHOREKAR,M,,,IND,28014
12774,Maharashtra,1990,266,3,KARAD NORTH,GEN,KOTWAL BABURAO RAMCHANDRA,M,,,IND,9968
12775,Maharashtra,1990,266,4,KARAD NORTH,GEN,PAWAR RAVINDRA KESHAVRAO,M,,,PWP,8798
12776,Maharashtra,1990,266,5,KARAD NORTH,GEN,BHAUSAHEB SURYWANSHI,M,,,BJP,4677
12777,Maharashtra,1990,266,6,KARAD NORTH,GEN,BHINGARDEVE JIJABA TUKARAM,M,,,IND,1875
12778,Maharashtra,1990,266,7,KARAD NORTH,GEN,SHINDE GORKH GANPATI,M,,,IND,330
12779,Maharashtra,1990,266,8,KARAD NORTH,GEN,INJEKAR NAMDEO PANDURANG,M,,,IND,290
12780,Maharashtra,1990,266,9,KARAD NORTH,GEN,GHARE CHANDRAKANT VITTHAL,M,,,IND,107
12781,Maharashtra,1990,266,10,KARAD NORTH,GEN,MOHANPARASAD BALKARAN RAM,M,,,DDP,78
12782,Maharashtra,1990,266,11,KARAD NORTH,GEN,PATIL BALASO AABAJI,M,,,IND,72
17442,Maharashtra,1995,266,1,KARAD NORTH,GEN,P.D. PATIL,M,,,IND,67467
17443,Maharashtra,1995,266,2,KARAD NORTH,GEN,ANANDARAO RAGHOJI PATIL,M,,,INC,52779
17444,Maharashtra,1995,266,3,KARAD NORTH,GEN,RAJABHAV DESHPANDE,M,,,BJP,11001
17445,Maharashtra,1995,266,4,KARAD NORTH,GEN,KACHHI UNUS AHMED,M,,,JD,1422
17446,Maharashtra,1995,266,5,KARAD NORTH,GEN,BHOSALE ASHOK ANNA,M,,,IND,1289
17447,Maharashtra,1995,266,6,KARAD NORTH,GEN,HULWAN GAJANAN PANDURANG,M,,,BBMS,989
17448,Maharashtra,1995,266,7,KARAD NORTH,GEN,KAVALE RAMCHANDRA BHAU,M,,,SJP(M),939
17449,Maharashtra,1995,266,8,KARAD NORTH,GEN,PATIL INDUBAI KAKASAHEB,F,,,IND,929
17450,Maharashtra,1995,266,9,KARAD NORTH,GEN,SHINAGARE ARJUNRAO,M,,,IND,756
17451,Maharashtra,1995,266,10,KARAD NORTH,GEN,INJEKAR NAMDEO PANDURANG,M,,,IND,308
17452,Maharashtra,1995,266,11,KARAD NORTH,GEN,KHABALE BHIMRAO ABASO,M,,,IND,210
17453,Maharashtra,1995,266,12,KARAD NORTH,GEN,MAHAMUNI RAJENDRA ALIAS KAKASO SADASHIV,M,,,IND,197
17454,Maharashtra,1995,266,13,KARAD NORTH,GEN,MOURYA ASHOK KUMAR ABHIMANYU,M,,,DDP,159
19566,Maharashtra,1999,266,1,KARAD NORTH,GEN,BALASAHEB ALIAS SHAMRAO PANDURANG PATIL,M,37,GEN,NCP,59427
19567,Maharashtra,1999,266,2,KARAD NORTH,GEN,ANANDARAO RAGHOJI PATIL,M,,,INC,42322
19568,Maharashtra,1999,266,3,KARAD NORTH,GEN,PROF. BHINGARDEVE JIJABA TUKARAM (ABBA),M,,,BJP,9919
19569,Maharashtra,1999,266,4,KARAD NORTH,GEN,PATIL ASHOK YASHWANT,M,,,IND,9009
19570,Maharashtra,1999,266,5,KARAD NORTH,GEN,ADV. RAVINDRA KESHAVRAO PAWAR,M,,,PWPI,3952
22203,Maharashtra,2004,266,3,KARAD NORTH,GEN,PRADIP ASHOKRAO,M,29,GEN,BJP,4438
22204,Maharashtra,2004,266,5,KARAD NORTH,GEN,BHOSALE ASHOK ANNA,M,42,SC,BSP,1133
22205,Maharashtra,2004,266,4,KARAD NORTH,GEN,ADV.RAVINDRA KESHAVRAO PAWAR,M,53,GEN,IND,3516
22206,Maharashtra,2004,266,6,KARAD NORTH,GEN,BUDHE TUKARAM RAMCHANDRA,M,26,GEN,RSPS,670
