ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
4288,Maharashtra,1978,117,1,KARANJA,GEN,ARVIND KAMLKAR DESHMUKH,M,,,FBL,38584
4289,Maharashtra,1978,117,2,KARANJA,GEN,KORPE WAMANRAO RAMKRUSHNA ALIAS DR. ANNASAHEB,M,,,PWP,14006
4290,Maharashtra,1978,117,3,KARANJA,GEN,TIDKE SUBASRAO BHAGWANTRAO,M,,,INC,12026
4291,Maharashtra,1978,117,4,KARANJA,GEN,BOTHARA LAXMICHAND RUPCHAND,M,,,IND,2686
4292,Maharashtra,1978,117,5,KARANJA,GEN,DHENDULE RAMESHWAR PRABHATI,M,,,IND,924
4293,Maharashtra,1978,117,6,KARANJA,GEN,PRAGHANE ABHIMAN BALIRAM,M,,,IND,604
4294,Maharashtra,1978,117,7,KARANJA,GEN,HURPADE MAHADEO MOTIRAM,M,,,IND,64
6063,Maharashtra,1980,117,1,KARANJA,GEN,RATHI RAMKRUSHNA GANGARAMJI,M,,,INC,22045
6064,Maharashtra,1980,117,2,KARANJA,GEN,BANG MANOHAR MOTILALJI,M,,,PWP,17193
6065,Maharashtra,1980,117,3,KARANJA,GEN,AMBORE RAMDAS NARAYAN,M,,,RPI,9880
6066,Maharashtra,1980,117,4,KARANJA,GEN,AJIT FARUQUI AJIMODDIN FARUQUI,M,,,JNP,3208
6067,Maharashtra,1980,117,5,KARANJA,GEN,RACHWANI CHANDUMAL PARSUMAL,M,,,IND,687
7925,Maharashtra,1985,117,1,KARANJA,GEN,DESHMUKH ANANTRAO VITTHALRAO,M,,,INC,25376
7926,Maharashtra,1985,117,2,KARANJA,GEN,BANG MANOHAR MOTILALJI,M,,,PWP,20071
7927,Maharashtra,1985,117,3,KARANJA,GEN,K. P. MESHRAM,M,,,IND,12786
7928,Maharashtra,1985,117,4,KARANJA,GEN,MUBARAKKHA TAMIJKHA,M,,,IND,1955
7929,Maharashtra,1985,117,5,KARANJA,GEN,CHANDUMAL PURSUMAL,M,,,IND,1619
7930,Maharashtra,1985,117,6,KARANJA,GEN,TAYDE VIJAIKUMAR BABANJI,M,,,RPI,1579
7931,Maharashtra,1985,117,7,KARANJA,GEN,ISMALE HAJI JUSUB,M,,,IND,404
7932,Maharashtra,1985,117,8,KARANJA,GEN,KUTUBODDIN JAMALODDIN,M,,,IND,367
7933,Maharashtra,1985,117,9,KARANJA,GEN,MUKHLAL PRASAD JAGARDEO,M,,,IND,353
7934,Maharashtra,1985,117,10,KARANJA,GEN,PANDURANG BHIMA DESHBHARATAR,M,,,IND,201
7935,Maharashtra,1985,117,11,KARANJA,GEN,HUKUMCHAND SHYAMLALJI ROY,M,,,IND,57
10471,Maharashtra,1990,117,1,KARANJA,GEN,GAWANDE GULABRAO RAMRAO,M,,,SHS,35297
10472,Maharashtra,1990,117,2,KARANJA,GEN,BABASAHEB DHABEKAR,M,,,INC,25007
10473,Maharashtra,1990,117,3,KARANJA,GEN,RODE ARJUN BHIKURAM,M,,,BRP,15358
10474,Maharashtra,1990,117,4,KARANJA,GEN,KANKIRAD SHRIDHAR SHALIGRAM,M,,,PWP,7653
10475,Maharashtra,1990,117,5,KARANJA,GEN,TAYDE ARVIND SIKHDEORAO,M,,,LMD,449
10476,Maharashtra,1990,117,6,KARANJA,GEN,KATIYARA WASUDEO DWARKADAS,M,,,IND,358
10477,Maharashtra,1990,117,7,KARANJA,GEN,MOTAGHARE LAXMAN NARAYAN,M,,,IND,213
10478,Maharashtra,1990,117,8,KARANJA,GEN,RAMESH GANPATRAO SHIRBHATE,M,,,IND,186
10479,Maharashtra,1990,117,9,KARANJA,GEN,HASMANI ISMAIL HAJI JUSAB,M,,,BSP,168
10480,Maharashtra,1990,117,10,KARANJA,GEN,RACHWANI CHANDUMAL PURSUMAL,M,,,IND,149
10481,Maharashtra,1990,117,11,KARANJA,GEN,RAI NANDLAL GOPICHAND,M,,,IND,145
10482,Maharashtra,1990,117,12,KARANJA,GEN,CHAVAN TUKARAM DIPAJI,M,,,IND,144
10483,Maharashtra,1990,117,13,KARANJA,GEN,BARDE CHAMPATRAO MOTIRAM,M,,,IND,136
10484,Maharashtra,1990,117,14,KARANJA,GEN,DESHMUKH PRAKASHRAO BABARAO,M,,,ICS(SCS),117
10485,Maharashtra,1990,117,15,KARANJA,GEN,BAJAD PRALHADRAO PUNDLIKRAO,M,,,IND,114
10486,Maharashtra,1990,117,16,KARANJA,GEN,BHOLE PRALHAD BABARAO,M,,,DDP,110
10487,Maharashtra,1990,117,17,KARANJA,GEN,GULAB PAIRU INGOLE,M,,,IND,104
10488,Maharashtra,1990,117,18,KARANJA,GEN,MOHD. ANIS MOHD. HATAM,M,,,IND,99
10489,Maharashtra,1990,117,19,KARANJA,GEN,ATHAWALE SUKHDEO BABURAO,M,,,IND,92
10490,Maharashtra,1990,117,20,KARANJA,GEN,GAJHBHIYE MANOHAR PARASHRAM,M,,,IND,75
10491,Maharashtra,1990,117,21,KARANJA,GEN,AZIA PAREKH MOHD. USMAN PAREKH,M,,,DMM,62
10492,Maharashtra,1990,117,22,KARANJA,GEN,GULHANE DYNESHWAR KASHINATH,M,,,IND,61
10493,Maharashtra,1990,117,23,KARANJA,GEN,KHALIL AHAMAD GULAM RASUL,M,,,IND,52
10494,Maharashtra,1990,117,24,KARANJA,GEN,JADHAO RAMSINGH MEGHASING,M,,,IND,51
10495,Maharashtra,1990,117,24,KARANJA,GEN,AMARKUMAR GANUJI BHAGAT,M,,,IND,51
10496,Maharashtra,1990,117,26,KARANJA,GEN,WANKHADE PRADIP VINAYAK,M,,,IND,48
10497,Maharashtra,1990,117,27,KARANJA,GEN,PANDURANG BHIMRAO DESHBHRATAR,M,,,IND,42
10498,Maharashtra,1990,117,28,KARANJA,GEN,SUDHAKAR PRABHUJI GARJE,M,,,IND,25
14611,Maharashtra,1995,117,1,KARANJA,GEN,BABASAHEB DHABEKAR,M,,,IND,39025
14612,Maharashtra,1995,117,2,KARANJA,GEN,PRAKASH UTTAMRAO DAHAKE,M,37,GEN,INC,29304
14613,Maharashtra,1995,117,3,KARANJA,GEN,INGALE SHRAWAN SHEKOJI,M,,,BBMS,20871
14614,Maharashtra,1995,117,4,KARANJA,GEN,AMDABADKAR GAJANAN KASHINATH,M,,,IND,5490
14615,Maharashtra,1995,117,5,KARANJA,GEN,GHULE RAJENDRA MADHUKARRAO,M,,,SHS,4031
14616,Maharashtra,1995,117,6,KARANJA,GEN,MALANI THAKURDAS SUKHEDOJI,M,,,JD,3839
14617,Maharashtra,1995,117,7,KARANJA,GEN,ARVIND KAMLAKAR DESHMUKH,M,,,IND,1555
14618,Maharashtra,1995,117,8,KARANJA,GEN,USMAN PIRU GARWE,M,,,IND,1149
