ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
512,Maharashtra,1962,115,1,KARJAT,GEN,EKNATH BUWASAHEB NIMBALKAR,M,,,INC,21381
513,Maharashtra,1962,115,2,KARJAT,GEN,HIRABAI PRABHAKAR BHAPKAR,F,,,IND,9230
514,Maharashtra,1962,115,3,KARJAT,GEN,RAJARAM MURLIDHAR ZARKAR,M,,,JS,2958
515,Maharashtra,1962,115,4,KARJAT,GEN,KALYANRAO RAOSAHEB PATIL,M,,,IND,1259
2165,Maharashtra,1967,213,1,KARJAT,GEN,E. B. NIMBALKAR,M,,,INC,27142
2166,Maharashtra,1967,213,2,KARJAT,GEN,R. M. ZARKAR,M,,,BJS,8519
2167,Maharashtra,1967,213,3,KARJAT,GEN,B. E. NIKAM,M,,,CPI,7780
3386,Maharashtra,1972,213,1,KARJAT,GEN,NIMBALKAR RAO SAHEB,M,,,INC,35146
3387,Maharashtra,1972,213,2,KARJAT,GEN,ZARAKAR RAJARAM MURLIDHAR,M,,,BJS,8502
5052,Maharashtra,1978,227,1,KARJAT,SC,KAMBLE BAJIRAO DASHRATH,M,,,RPI,23157
5053,Maharashtra,1978,227,2,KARJAT,SC,BHARASKAR BABURAO MADHADEV,M,,,JNP,23133
5054,Maharashtra,1978,227,3,KARJAT,SC,SHINDE VIJAY PRABHAKAR,M,,,INC,4089
5055,Maharashtra,1978,227,4,KARJAT,SC,SHINDE GANPAT GOVIND,M,,,IND,1856
5056,Maharashtra,1978,227,5,KARJAT,SC,ROKADE BALKRISHNA RAMCHANDRA,M,,,IND,1752
5057,Maharashtra,1978,227,6,KARJAT,SC,SHINDE EKNATH BAPUJI,M,,,IND,1468
5058,Maharashtra,1978,227,7,KARJAT,SC,AVHAD KISAN SHANKAR,M,,,IND,459
6648,Maharashtra,1980,227,1,KARJAT,SC,NIKALJE DAGADU SAKHARAM,M,,,INC(U),26031
6649,Maharashtra,1980,227,2,KARJAT,SC,BUDHHIVANT TUKARAM KASHINATH,M,,,INC,19463
6650,Maharashtra,1980,227,3,KARJAT,SC,PAWAR SUBHASH YASHWANT,M,,,BJP,2916
6651,Maharashtra,1980,227,4,KARJAT,SC,GAJBHIV BHANUDAS HONAJI,M,,,JNP(SC),898
6652,Maharashtra,1980,227,5,KARJAT,SC,GAIKWAD RAMESH BHIMARAO,M,,,RPK,885
6653,Maharashtra,1980,227,6,KARJAT,SC,MURLIDHAR DURGAJI PAWAR,M,,,IND,108
8784,Maharashtra,1985,227,1,KARJAT,SC,DAGADU SAKHARAM NIKALJI (GURUJI),M,,,INC,21668
8785,Maharashtra,1985,227,2,KARJAT,SC,PRABHAKARAO RUPAWATE,M,,,IND,18116
8786,Maharashtra,1985,227,3,KARJAT,SC,RANJANA ONKAR PATIL,F,,,JNP,16900
8787,Maharashtra,1985,227,4,KARJAT,SC,SIDDHARTH MARUTI GHAITADAK,M,,,IND,2298
8788,Maharashtra,1985,227,5,KARJAT,SC,EKNATH BAPUJI SHINDE,M,,,IND,1535
8789,Maharashtra,1985,227,6,KARJAT,SC,KAMBLE PRATAP SHANKARRAO,M,,,IND,819
8790,Maharashtra,1985,227,7,KARJAT,SC,KANTA RAMCHANDRA BORADE,F,,,IND,705
8791,Maharashtra,1985,227,8,KARJAT,SC,LAXMAN GOVINDRAO FULAWALE,M,,,IND,666
8792,Maharashtra,1985,227,9,KARJAT,SC,SHINDE GANPAT GOVIND,M,,,IND,476
8793,Maharashtra,1985,227,10,KARJAT,SC,ADHAV SOPANARAO NANASAHEB,M,,,IND,249
12364,Maharashtra,1990,227,1,KARJAT,SC,BHAILUME VITTAL SAHADU,M,,,INC,40764
12365,Maharashtra,1990,227,2,KARJAT,SC,LOKHANDE SADASHIV KISAN,M,28,SC,BJP,22015
12366,Maharashtra,1990,227,3,KARJAT,SC,PATIL RANJANA ONKAR,F,,,JD,16961
12367,Maharashtra,1990,227,4,KARJAT,SC,WAGHMARE MADAN JANU,M,,,BRP,2198
12368,Maharashtra,1990,227,5,KARJAT,SC,VILAS LAXMAN TRYAMBAKE,M,,,IND,654
12369,Maharashtra,1990,227,6,KARJAT,SC,SUDAM SAKHARAM SONAWANE,M,,,IND,342
12370,Maharashtra,1990,227,7,KARJAT,SC,DHAGATE MADHUKAR RAMCHANDRA,M,,,IND,244
12371,Maharashtra,1990,227,8,KARJAT,SC,TUKARAM KASHINATH BUDHHIWANT,M,,,IND,230
12372,Maharashtra,1990,227,9,KARJAT,SC,MANIK SAKHARAM SAMUDRA,M,,,IND,175
12373,Maharashtra,1990,227,10,KARJAT,SC,SALVE PANDIT BABURAO,M,,,IND,93
16885,Maharashtra,1995,227,1,KARJAT,SC,LOKHANDE SADASHIV KISAN,M,33,SC,BJP,64269
16886,Maharashtra,1995,227,2,KARJAT,SC,PREMANAND DADASAHEB RUPWATE,M,,,INC,38834
16887,Maharashtra,1995,227,3,KARJAT,SC,KALOKHE SHAHURAO BHAURAO,M,,,JD,4333
16888,Maharashtra,1995,227,4,KARJAT,SC,CHAVAN BALASAHEB MANOHAR,M,,,IND,2911
16889,Maharashtra,1995,227,5,KARJAT,SC,KALE RADHAKRUSHNA MACHCHINDRA,M,,,IND,1359
16890,Maharashtra,1995,227,6,KARJAT,SC,ADHAV SOPAN NANA,M,,,HJP,1180
16891,Maharashtra,1995,227,7,KARJAT,SC,GHAYTADAK SIDDHARTH MARUTI,M,,,BBMS,1112
16892,Maharashtra,1995,227,8,KARJAT,SC,BHAILUME PANDIT SANTAJI,M,,,IND,1027
16893,Maharashtra,1995,227,9,KARJAT,SC,BHAILUME VINAYAK KHEMAJI,M,,,IND,858
16894,Maharashtra,1995,227,10,KARJAT,SC,GHODKE MANGESH TATYABA,M,,,BSP,458
16895,Maharashtra,1995,227,11,KARJAT,SC,PATIL RANJANATAI ONKAR,F,,,IND,453
16896,Maharashtra,1995,227,12,KARJAT,SC,SALVE RAMCHANDRA GANGARAM,M,,,IND,268
16897,Maharashtra,1995,227,13,KARJAT,SC,JAWALE VIKRAM SAKHARAM,M,,,RPI,245
16898,Maharashtra,1995,227,14,KARJAT,SC,ADHAV ANKUSH SAHADU,M,,,IND,208
16899,Maharashtra,1995,227,15,KARJAT,SC,SHINDE EKNATH BAPUJI,M,,,IND,188
16900,Maharashtra,1995,227,16,KARJAT,SC,DEDE BHIVA HANUMANTA,M,,,IND,59
